filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4469454_OQMD-EnID-306003.poscar,0.5143,Pm-3m
ID-4501572_OQMD-EnID-327087.poscar,0.2352,R-3m
ID-4513557_OQMD-EnID-337545.poscar,0.8551,P4/mmm
ID-5492966_OQMD-EnID-1105188.poscar,0.2266,Fm-3m
ID-5569511_OQMD-EnID-1218489.poscar,0.3507,F-43m
ID-5573588_OQMD-EnID-1228169.poscar,0.3742,P-6m2
ID-5631968_OQMD-EnID-1280990.poscar,0.1234,Pa-3
ID-5770080_OQMD-EnID-1416194.poscar,0.2279,Fm-3m
ID-5947099_OQMD-EnID-1589791.poscar,1.2858,Fd-3m
ID-4116480_OQMD-EnID-300953.poscar,0.9978,I4/mmm
ID-4136187_OQMD-EnID-311495.poscar,1.0302,Fm-3m
ID-4153590_OQMD-EnID-321692.poscar,0.8843,P63/mmc
ID-4796217_OQMD-EnID-346178.poscar,1.2904,Pm-3m
ID-5896107_OQMD-EnID-1520790.poscar,0.0396,Cmmm
ID-5726046_OQMD-EnID-1338381.poscar,0.1952,Cm
ID-5732109_OQMD-EnID-1343147.poscar,-0.0504,P2/c
ID-5911550_OQMD-EnID-1367063.poscar,-0.0891,P-1
ID-5576722_OQMD-EnID-1231655.poscar,0.3095,P42/mnm
ID-5598812_OQMD-EnID-1240810.poscar,0.0924,Fd-3m
ID-5770079_OQMD-EnID-1416193.poscar,0.5562,Fm-3m
ID-5813700_OQMD-EnID-1442792.poscar,-0.0271,Pn-3m
ID-5963867_OQMD-EnID-1594776.poscar,0.9835,Fd-3m
ID-4303155_OQMD-EnID-354416.poscar,0.5303,Pm-3m
ID-4811877_OQMD-EnID-425733.poscar,0.0404,R-3c
ID-4812987_OQMD-EnID-2435.poscar,-0.2813,Fdd2
ID-5816594_OQMD-EnID-1442521.poscar,0.0206,Pn-3m
ID-4115658_OQMD-EnID-300608.poscar,0.3712,I4/mmm
ID-4134954_OQMD-EnID-311150.poscar,0.3671,Fm-3m
ID-4154442_OQMD-EnID-322037.poscar,0.3721,P63/mmc
ID-4170249_OQMD-EnID-346523.poscar,0.4102,Pm-3m
ID-4890990_OQMD-EnID-359745.poscar,0.4532,P4/mmm
ID-6005193_OQMD-EnID-1603232.poscar,0.4846,P6/mmm
ID-4469454_OQMD-EnID-306003.poscar,0.5143,Pm-3m
ID-4501572_OQMD-EnID-327087.poscar,0.2352,R-3m
ID-4513557_OQMD-EnID-337545.poscar,0.8551,P4/mmm
ID-5492966_OQMD-EnID-1105188.poscar,0.2266,Fm-3m
ID-5569511_OQMD-EnID-1218489.poscar,0.3507,F-43m
ID-5573588_OQMD-EnID-1228169.poscar,0.3742,P-6m2
ID-5631968_OQMD-EnID-1280990.poscar,0.1234,Pa-3
ID-5770080_OQMD-EnID-1416194.poscar,0.2279,Fm-3m
ID-5947099_OQMD-EnID-1589791.poscar,1.2858,Fd-3m
ID-4116480_OQMD-EnID-300953.poscar,0.9978,I4/mmm
ID-4136187_OQMD-EnID-311495.poscar,1.0302,Fm-3m
ID-4153590_OQMD-EnID-321692.poscar,0.8843,P63/mmc
ID-4796217_OQMD-EnID-346178.poscar,1.2904,Pm-3m
ID-5896107_OQMD-EnID-1520790.poscar,0.0396,Cmmm
ID-5726046_OQMD-EnID-1338381.poscar,0.1952,Cm
ID-5732109_OQMD-EnID-1343147.poscar,-0.0504,P2/c
ID-5911550_OQMD-EnID-1367063.poscar,-0.0891,P-1
ID-5576722_OQMD-EnID-1231655.poscar,0.3095,P42/mnm
ID-5598812_OQMD-EnID-1240810.poscar,0.0924,Fd-3m
ID-5770079_OQMD-EnID-1416193.poscar,0.5562,Fm-3m
ID-5813700_OQMD-EnID-1442792.poscar,-0.0271,Pn-3m
ID-5963867_OQMD-EnID-1594776.poscar,0.9835,Fd-3m
ID-4303155_OQMD-EnID-354416.poscar,0.5303,Pm-3m
ID-4811877_OQMD-EnID-425733.poscar,0.0404,R-3c
ID-4812987_OQMD-EnID-2435.poscar,-0.2813,Fdd2
ID-5816594_OQMD-EnID-1442521.poscar,0.0206,Pn-3m
ID-4115658_OQMD-EnID-300608.poscar,0.3712,I4/mmm
ID-4134954_OQMD-EnID-311150.poscar,0.3671,Fm-3m
ID-4154442_OQMD-EnID-322037.poscar,0.3721,P63/mmc
ID-4170249_OQMD-EnID-346523.poscar,0.4102,Pm-3m
ID-4890990_OQMD-EnID-359745.poscar,0.4532,P4/mmm
ID-6005193_OQMD-EnID-1603232.poscar,0.4846,P6/mmm
ID-4469454_OQMD-EnID-306003.poscar,0.5143,Pm-3m
ID-4501572_OQMD-EnID-327087.poscar,0.2352,R-3m
ID-4513557_OQMD-EnID-337545.poscar,0.8551,P4/mmm
ID-5492966_OQMD-EnID-1105188.poscar,0.2266,Fm-3m
ID-5569511_OQMD-EnID-1218489.poscar,0.3507,F-43m
ID-5573588_OQMD-EnID-1228169.poscar,0.3742,P-6m2
ID-5631968_OQMD-EnID-1280990.poscar,0.1234,Pa-3
ID-5770080_OQMD-EnID-1416194.poscar,0.2279,Fm-3m
ID-5947099_OQMD-EnID-1589791.poscar,1.2858,Fd-3m
ID-4116480_OQMD-EnID-300953.poscar,0.9978,I4/mmm
ID-4136187_OQMD-EnID-311495.poscar,1.0302,Fm-3m
ID-4153590_OQMD-EnID-321692.poscar,0.8843,P63/mmc
ID-4796217_OQMD-EnID-346178.poscar,1.2904,Pm-3m
ID-5896107_OQMD-EnID-1520790.poscar,0.0396,Cmmm
ID-5726046_OQMD-EnID-1338381.poscar,0.1952,Cm
ID-5732109_OQMD-EnID-1343147.poscar,-0.0504,P2/c
ID-5911550_OQMD-EnID-1367063.poscar,-0.0891,P-1
ID-5576722_OQMD-EnID-1231655.poscar,0.3095,P42/mnm
ID-5598812_OQMD-EnID-1240810.poscar,0.0924,Fd-3m
ID-5770079_OQMD-EnID-1416193.poscar,0.5562,Fm-3m
ID-5813700_OQMD-EnID-1442792.poscar,-0.0271,Pn-3m
ID-5963867_OQMD-EnID-1594776.poscar,0.9835,Fd-3m
ID-4303155_OQMD-EnID-354416.poscar,0.5303,Pm-3m
ID-4811877_OQMD-EnID-425733.poscar,0.0404,R-3c
ID-4812987_OQMD-EnID-2435.poscar,-0.2813,Fdd2
ID-5816594_OQMD-EnID-1442521.poscar,0.0206,Pn-3m
ID-4115658_OQMD-EnID-300608.poscar,0.3712,I4/mmm
ID-4134954_OQMD-EnID-311150.poscar,0.3671,Fm-3m
ID-4154442_OQMD-EnID-322037.poscar,0.3721,P63/mmc
ID-4170249_OQMD-EnID-346523.poscar,0.4102,Pm-3m
ID-4890990_OQMD-EnID-359745.poscar,0.4532,P4/mmm
ID-6005193_OQMD-EnID-1603232.poscar,0.4846,P6/mmm
ID-4469454_OQMD-EnID-306003.poscar,0.5143,Pm-3m
ID-4501572_OQMD-EnID-327087.poscar,0.2352,R-3m
ID-4513557_OQMD-EnID-337545.poscar,0.8551,P4/mmm
ID-5492966_OQMD-EnID-1105188.poscar,0.2266,Fm-3m
ID-5569511_OQMD-EnID-1218489.poscar,0.3507,F-43m
ID-5573588_OQMD-EnID-1228169.poscar,0.3742,P-6m2
ID-5631968_OQMD-EnID-1280990.poscar,0.1234,Pa-3
ID-5770080_OQMD-EnID-1416194.poscar,0.2279,Fm-3m
ID-5947099_OQMD-EnID-1589791.poscar,1.2858,Fd-3m
ID-4116480_OQMD-EnID-300953.poscar,0.9978,I4/mmm
ID-4136187_OQMD-EnID-311495.poscar,1.0302,Fm-3m
ID-4153590_OQMD-EnID-321692.poscar,0.8843,P63/mmc
ID-4796217_OQMD-EnID-346178.poscar,1.2904,Pm-3m
ID-5896107_OQMD-EnID-1520790.poscar,0.0396,Cmmm
ID-5726046_OQMD-EnID-1338381.poscar,0.1952,Cm
ID-5732109_OQMD-EnID-1343147.poscar,-0.0504,P2/c
ID-5911550_OQMD-EnID-1367063.poscar,-0.0891,P-1
ID-5576722_OQMD-EnID-1231655.poscar,0.3095,P42/mnm
