filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4062393_OQMD-EnID-5183.poscar,-2.6824,Fm-3m
ID-4068087_OQMD-EnID-3061.poscar,-2.543,P4/nmm
ID-4068447_OQMD-EnID-22045.poscar,-2.6565,P63/mmc
ID-4469301_OQMD-EnID-305944.poscar,-2.3419,Pm-3m
ID-4501431_OQMD-EnID-327028.poscar,-2.6853,R-3m
ID-4513404_OQMD-EnID-337486.poscar,-2.1416,P4/mmm
ID-5492907_OQMD-EnID-1105129.poscar,-2.6858,Fm-3m
ID-5569665_OQMD-EnID-1218645.poscar,-2.6406,F-43m
ID-5731697_OQMD-EnID-1343705.poscar,-2.6865,R3
ID-5731733_OQMD-EnID-1343426.poscar,-2.6804,C2/m
ID-5731813_OQMD-EnID-1343612.poscar,-2.6634,P63mc
ID-5811159_OQMD-EnID-1442817.poscar,-2.6815,Fmmm
ID-5811751_OQMD-EnID-1443893.poscar,-2.6833,Fm-3m
ID-5812206_OQMD-EnID-1441700.poscar,-2.5681,Cmcm
ID-5812316_OQMD-EnID-1442284.poscar,-2.6802,Pmn21
ID-5812831_OQMD-EnID-1444229.poscar,-2.5703,I4/mmm
ID-5812958_OQMD-EnID-1443420.poscar,-2.6852,Abm2
ID-5813401_OQMD-EnID-1443445.poscar,-2.6803,C2/m
ID-5814729_OQMD-EnID-1440017.poscar,-2.6852,Pnma
ID-5815226_OQMD-EnID-1441809.poscar,-2.682,Pbcm
ID-5815268_OQMD-EnID-1443087.poscar,-2.6828,Pca21
ID-5815273_OQMD-EnID-1440385.poscar,-2.6845,Cmc21
ID-5815657_OQMD-EnID-1444123.poscar,-0.1847,Fd-3m
ID-5837442_OQMD-EnID-1472891.poscar,-2.685,R3m
ID-5839782_OQMD-EnID-1472694.poscar,-2.6821,Pmmn
ID-5911766_OQMD-EnID-1443345.poscar,-2.5462,Cmca
ID-5911971_OQMD-EnID-1443639.poscar,-2.4278,I4/mmm
ID-4064910_OQMD-EnID-4576.poscar,-2.1185,I4/mmm
ID-4065330_OQMD-EnID-22213.poscar,-1.9796,Cmmm
ID-5598962_OQMD-EnID-1240912.poscar,-0.9074,Fd-3m
ID-5947023_OQMD-EnID-1589768.poscar,-0.8535,Fd-3m
ID-4141611_OQMD-EnID-313549.poscar,-0.492,Fm-3m
ID-4153290_OQMD-EnID-321571.poscar,-0.5411,P63/mmc
ID-4169376_OQMD-EnID-346057.poscar,-0.4752,Pm-3m
ID-4791273_OQMD-EnID-303007.poscar,-0.4838,I4/mmm
ID-5576746_OQMD-EnID-1231810.poscar,-1.6407,P42/mnm
ID-5598959_OQMD-EnID-1240913.poscar,-1.4341,Fd-3m
ID-5959221_OQMD-EnID-1593043.poscar,0.3787,Fd-3m
ID-4285140_OQMD-EnID-351720.poscar,-1.7811,Pm-3m
ID-4811469_OQMD-EnID-425888.poscar,-1.9564,R-3c
ID-4841175_OQMD-EnID-678192.poscar,-1.9558,R-3c
ID-4115364_OQMD-EnID-300487.poscar,-0.184,I4/mmm
ID-4134513_OQMD-EnID-311029.poscar,0.1476,Fm-3m
ID-4159491_OQMD-EnID-324091.poscar,-0.9326,P63/mmc
ID-4173897_OQMD-EnID-348577.poscar,-0.0832,Pm-3m
ID-4883211_OQMD-EnID-357049.poscar,-2.0882,P4/mmm
ID-4062393_OQMD-EnID-5183.poscar,-2.6824,Fm-3m
ID-4068087_OQMD-EnID-3061.poscar,-2.543,P4/nmm
ID-4068447_OQMD-EnID-22045.poscar,-2.6565,P63/mmc
ID-4469301_OQMD-EnID-305944.poscar,-2.3419,Pm-3m
ID-4501431_OQMD-EnID-327028.poscar,-2.6853,R-3m
ID-4513404_OQMD-EnID-337486.poscar,-2.1416,P4/mmm
ID-5492907_OQMD-EnID-1105129.poscar,-2.6858,Fm-3m
ID-5569665_OQMD-EnID-1218645.poscar,-2.6406,F-43m
ID-5731697_OQMD-EnID-1343705.poscar,-2.6865,R3
ID-5731733_OQMD-EnID-1343426.poscar,-2.6804,C2/m
ID-5731813_OQMD-EnID-1343612.poscar,-2.6634,P63mc
ID-5811159_OQMD-EnID-1442817.poscar,-2.6815,Fmmm
ID-5811751_OQMD-EnID-1443893.poscar,-2.6833,Fm-3m
ID-5812206_OQMD-EnID-1441700.poscar,-2.5681,Cmcm
ID-5812316_OQMD-EnID-1442284.poscar,-2.6802,Pmn21
ID-5812831_OQMD-EnID-1444229.poscar,-2.5703,I4/mmm
ID-5812958_OQMD-EnID-1443420.poscar,-2.6852,Abm2
ID-5813401_OQMD-EnID-1443445.poscar,-2.6803,C2/m
ID-5814729_OQMD-EnID-1440017.poscar,-2.6852,Pnma
ID-5815226_OQMD-EnID-1441809.poscar,-2.682,Pbcm
ID-5815268_OQMD-EnID-1443087.poscar,-2.6828,Pca21
ID-5815273_OQMD-EnID-1440385.poscar,-2.6845,Cmc21
ID-5815657_OQMD-EnID-1444123.poscar,-0.1847,Fd-3m
ID-5837442_OQMD-EnID-1472891.poscar,-2.685,R3m
ID-5839782_OQMD-EnID-1472694.poscar,-2.6821,Pmmn
ID-5911766_OQMD-EnID-1443345.poscar,-2.5462,Cmca
ID-5911971_OQMD-EnID-1443639.poscar,-2.4278,I4/mmm
ID-4064910_OQMD-EnID-4576.poscar,-2.1185,I4/mmm
ID-4065330_OQMD-EnID-22213.poscar,-1.9796,Cmmm
ID-5598962_OQMD-EnID-1240912.poscar,-0.9074,Fd-3m
ID-5947023_OQMD-EnID-1589768.poscar,-0.8535,Fd-3m
ID-4141611_OQMD-EnID-313549.poscar,-0.492,Fm-3m
ID-4153290_OQMD-EnID-321571.poscar,-0.5411,P63/mmc
ID-4169376_OQMD-EnID-346057.poscar,-0.4752,Pm-3m
ID-4791273_OQMD-EnID-303007.poscar,-0.4838,I4/mmm
ID-5576746_OQMD-EnID-1231810.poscar,-1.6407,P42/mnm
ID-5598959_OQMD-EnID-1240913.poscar,-1.4341,Fd-3m
ID-5959221_OQMD-EnID-1593043.poscar,0.3787,Fd-3m
ID-4285140_OQMD-EnID-351720.poscar,-1.7811,Pm-3m
ID-4811469_OQMD-EnID-425888.poscar,-1.9564,R-3c
ID-4841175_OQMD-EnID-678192.poscar,-1.9558,R-3c
ID-4115364_OQMD-EnID-300487.poscar,-0.184,I4/mmm
ID-4134513_OQMD-EnID-311029.poscar,0.1476,Fm-3m
ID-4159491_OQMD-EnID-324091.poscar,-0.9326,P63/mmc
ID-4173897_OQMD-EnID-348577.poscar,-0.0832,Pm-3m
ID-4883211_OQMD-EnID-357049.poscar,-2.0882,P4/mmm
ID-4062393_OQMD-EnID-5183.poscar,-2.6824,Fm-3m
ID-4068087_OQMD-EnID-3061.poscar,-2.543,P4/nmm
ID-4068447_OQMD-EnID-22045.poscar,-2.6565,P63/mmc
ID-4469301_OQMD-EnID-305944.poscar,-2.3419,Pm-3m
ID-4501431_OQMD-EnID-327028.poscar,-2.6853,R-3m
ID-4513404_OQMD-EnID-337486.poscar,-2.1416,P4/mmm
ID-5492907_OQMD-EnID-1105129.poscar,-2.6858,Fm-3m
ID-5569665_OQMD-EnID-1218645.poscar,-2.6406,F-43m
ID-5731697_OQMD-EnID-1343705.poscar,-2.6865,R3
ID-5731733_OQMD-EnID-1343426.poscar,-2.6804,C2/m
ID-5731813_OQMD-EnID-1343612.poscar,-2.6634,P63mc
ID-5811159_OQMD-EnID-1442817.poscar,-2.6815,Fmmm
ID-5811751_OQMD-EnID-1443893.poscar,-2.6833,Fm-3m
ID-5812206_OQMD-EnID-1441700.poscar,-2.5681,Cmcm
ID-5812316_OQMD-EnID-1442284.poscar,-2.6802,Pmn21
ID-5812831_OQMD-EnID-1444229.poscar,-2.5703,I4/mmm
ID-5812958_OQMD-EnID-1443420.poscar,-2.6852,Abm2
ID-5813401_OQMD-EnID-1443445.poscar,-2.6803,C2/m
ID-5814729_OQMD-EnID-1440017.poscar,-2.6852,Pnma
ID-5815226_OQMD-EnID-1441809.poscar,-2.682,Pbcm
ID-5815268_OQMD-EnID-1443087.poscar,-2.6828,Pca21
ID-5815273_OQMD-EnID-1440385.poscar,-2.6845,Cmc21
ID-5815657_OQMD-EnID-1444123.poscar,-0.1847,Fd-3m
ID-5837442_OQMD-EnID-1472891.poscar,-2.685,R3m
ID-5839782_OQMD-EnID-1472694.poscar,-2.6821,Pmmn
ID-5911766_OQMD-EnID-1443345.poscar,-2.5462,Cmca
ID-5911971_OQMD-EnID-1443639.poscar,-2.4278,I4/mmm
ID-4064910_OQMD-EnID-4576.poscar,-2.1185,I4/mmm
ID-4065330_OQMD-EnID-22213.poscar,-1.9796,Cmmm
ID-5598962_OQMD-EnID-1240912.poscar,-0.9074,Fd-3m
ID-5947023_OQMD-EnID-1589768.poscar,-0.8535,Fd-3m
ID-4141611_OQMD-EnID-313549.poscar,-0.492,Fm-3m
ID-4153290_OQMD-EnID-321571.poscar,-0.5411,P63/mmc
ID-4169376_OQMD-EnID-346057.poscar,-0.4752,Pm-3m
ID-4791273_OQMD-EnID-303007.poscar,-0.4838,I4/mmm
ID-5576746_OQMD-EnID-1231810.poscar,-1.6407,P42/mnm
ID-5598959_OQMD-EnID-1240913.poscar,-1.4341,Fd-3m
ID-5959221_OQMD-EnID-1593043.poscar,0.3787,Fd-3m
ID-4285140_OQMD-EnID-351720.poscar,-1.7811,Pm-3m
ID-4811469_OQMD-EnID-425888.poscar,-1.9564,R-3c
ID-4841175_OQMD-EnID-678192.poscar,-1.9558,R-3c
ID-4115364_OQMD-EnID-300487.poscar,-0.184,I4/mmm
ID-4134513_OQMD-EnID-311029.poscar,0.1476,Fm-3m
ID-4159491_OQMD-EnID-324091.poscar,-0.9326,P63/mmc
ID-4173897_OQMD-EnID-348577.poscar,-0.0832,Pm-3m
ID-4883211_OQMD-EnID-357049.poscar,-2.0882,P4/mmm
ID-4062393_OQMD-EnID-5183.poscar,-2.6824,Fm-3m
ID-4068087_OQMD-EnID-3061.poscar,-2.543,P4/nmm
ID-4068447_OQMD-EnID-22045.poscar,-2.6565,P63/mmc
ID-4469301_OQMD-EnID-305944.poscar,-2.3419,Pm-3m
ID-4501431_OQMD-EnID-327028.poscar,-2.6853,R-3m
ID-4513404_OQMD-EnID-337486.poscar,-2.1416,P4/mmm
ID-5492907_OQMD-EnID-1105129.poscar,-2.6858,Fm-3m
ID-5569665_OQMD-EnID-1218645.poscar,-2.6406,F-43m
ID-5731697_OQMD-EnID-1343705.poscar,-2.6865,R3
ID-5731733_OQMD-EnID-1343426.poscar,-2.6804,C2/m
ID-5731813_OQMD-EnID-1343612.poscar,-2.6634,P63mc
ID-5811159_OQMD-EnID-1442817.poscar,-2.6815,Fmmm
ID-5811751_OQMD-EnID-1443893.poscar,-2.6833,Fm-3m
ID-5812206_OQMD-EnID-1441700.poscar,-2.5681,Cmcm
ID-5812316_OQMD-EnID-1442284.poscar,-2.6802,Pmn21
ID-5812831_OQMD-EnID-1444229.poscar,-2.5703,I4/mmm
ID-5812958_OQMD-EnID-1443420.poscar,-2.6852,Abm2
ID-5813401_OQMD-EnID-1443445.poscar,-2.6803,C2/m
ID-5814729_OQMD-EnID-1440017.poscar,-2.6852,Pnma
ID-5815226_OQMD-EnID-1441809.poscar,-2.682,Pbcm
ID-5815268_OQMD-EnID-1443087.poscar,-2.6828,Pca21
ID-5815273_OQMD-EnID-1440385.poscar,-2.6845,Cmc21
ID-5815657_OQMD-EnID-1444123.poscar,-0.1847,Fd-3m
ID-5837442_OQMD-EnID-1472891.poscar,-2.685,R3m
ID-5839782_OQMD-EnID-1472694.poscar,-2.6821,Pmmn
ID-5911766_OQMD-EnID-1443345.poscar,-2.5462,Cmca
ID-5911971_OQMD-EnID-1443639.poscar,-2.4278,I4/mmm
ID-4064910_OQMD-EnID-4576.poscar,-2.1185,I4/mmm
ID-4065330_OQMD-EnID-22213.poscar,-1.9796,Cmmm
ID-5598962_OQMD-EnID-1240912.poscar,-0.9074,Fd-3m
ID-5947023_OQMD-EnID-1589768.poscar,-0.8535,Fd-3m
ID-4141611_OQMD-EnID-313549.poscar,-0.492,Fm-3m
ID-4153290_OQMD-EnID-321571.poscar,-0.5411,P63/mmc
ID-4169376_OQMD-EnID-346057.poscar,-0.4752,Pm-3m
ID-4791273_OQMD-EnID-303007.poscar,-0.4838,I4/mmm
ID-5576746_OQMD-EnID-1231810.poscar,-1.6407,P42/mnm
ID-5598959_OQMD-EnID-1240913.poscar,-1.4341,Fd-3m
ID-5959221_OQMD-EnID-1593043.poscar,0.3787,Fd-3m
