filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4061895_OQMD-EnID-20737.poscar,-2.9604,F-43m
ID-4062777_OQMD-EnID-5180.poscar,-2.4867,Fm-3m
ID-4067844_OQMD-EnID-3167.poscar,-2.9662,P63mc
ID-4078980_OQMD-EnID-3721.poscar,-2.9504,P42/mnm
ID-4474968_OQMD-EnID-306404.poscar,-1.2631,Pm-3m
ID-4502832_OQMD-EnID-327488.poscar,-2.4863,R-3m
ID-4514694_OQMD-EnID-337946.poscar,-1.2613,P4/mmm
ID-4810623_OQMD-EnID-645434.poscar,-2.9659,P63mc
ID-5493369_OQMD-EnID-1105589.poscar,-2.4874,Fm-3m
ID-5569741_OQMD-EnID-1218721.poscar,-2.9601,F-43m
ID-5573808_OQMD-EnID-1228400.poscar,-2.0399,P-6m2
ID-5629113_OQMD-EnID-1277547.poscar,-2.9594,I-4m2
ID-5629114_OQMD-EnID-1277579.poscar,-2.9594,I-4m2
ID-5597241_OQMD-EnID-1238720.poscar,-1.1268,Fd-3m
ID-5946905_OQMD-EnID-1589723.poscar,0.8979,Fd-3m
ID-4116285_OQMD-EnID-300866.poscar,-0.3789,I4/mmm
ID-4135887_OQMD-EnID-311408.poscar,0.5391,Fm-3m
ID-4155603_OQMD-EnID-322507.poscar,0.3321,P63/mmc
ID-4171056_OQMD-EnID-346993.poscar,0.4765,Pm-3m
ID-6004446_OQMD-EnID-1602868.poscar,0.7257,P6/mmm
ID-5576758_OQMD-EnID-1231886.poscar,-0.8895,P42/mnm
ID-5597242_OQMD-EnID-1238721.poscar,-0.4577,Fd-3m
ID-5946215_OQMD-EnID-1589430.poscar,-0.0098,Fd-3m
ID-4290999_OQMD-EnID-352803.poscar,-0.8542,Pm-3m
ID-4811433_OQMD-EnID-425964.poscar,-1.6601,R-3c
ID-4117581_OQMD-EnID-301423.poscar,-0.3415,I4/mmm
ID-4137624_OQMD-EnID-311965.poscar,0.6065,Fm-3m
ID-4154232_OQMD-EnID-321950.poscar,-0.0459,Cmcm
ID-4170087_OQMD-EnID-346436.poscar,0.2369,Pm-3m
ID-4886325_OQMD-EnID-358132.poscar,-1.5104,P4/mmm
ID-6005109_OQMD-EnID-1603165.poscar,0.439,P6/mmm
ID-4061895_OQMD-EnID-20737.poscar,-2.9604,F-43m
ID-4062777_OQMD-EnID-5180.poscar,-2.4867,Fm-3m
ID-4067844_OQMD-EnID-3167.poscar,-2.9662,P63mc
ID-4078980_OQMD-EnID-3721.poscar,-2.9504,P42/mnm
ID-4474968_OQMD-EnID-306404.poscar,-1.2631,Pm-3m
ID-4502832_OQMD-EnID-327488.poscar,-2.4863,R-3m
ID-4514694_OQMD-EnID-337946.poscar,-1.2613,P4/mmm
ID-4810623_OQMD-EnID-645434.poscar,-2.9659,P63mc
ID-5493369_OQMD-EnID-1105589.poscar,-2.4874,Fm-3m
ID-5569741_OQMD-EnID-1218721.poscar,-2.9601,F-43m
ID-5573808_OQMD-EnID-1228400.poscar,-2.0399,P-6m2
ID-5629113_OQMD-EnID-1277547.poscar,-2.9594,I-4m2
ID-5629114_OQMD-EnID-1277579.poscar,-2.9594,I-4m2
ID-5597241_OQMD-EnID-1238720.poscar,-1.1268,Fd-3m
ID-5946905_OQMD-EnID-1589723.poscar,0.8979,Fd-3m
ID-4116285_OQMD-EnID-300866.poscar,-0.3789,I4/mmm
ID-4135887_OQMD-EnID-311408.poscar,0.5391,Fm-3m
ID-4155603_OQMD-EnID-322507.poscar,0.3321,P63/mmc
ID-4171056_OQMD-EnID-346993.poscar,0.4765,Pm-3m
ID-6004446_OQMD-EnID-1602868.poscar,0.7257,P6/mmm
ID-5576758_OQMD-EnID-1231886.poscar,-0.8895,P42/mnm
ID-5597242_OQMD-EnID-1238721.poscar,-0.4577,Fd-3m
