filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4063365_OQMD-EnID-5822.poscar,-0.7336,R3m
ID-4373574_OQMD-EnID-304550.poscar,-0.4385,Pm-3m
ID-4497582_OQMD-EnID-325634.poscar,-0.8234,R-3m
ID-4509669_OQMD-EnID-336092.poscar,-0.4234,P4/mmm
ID-5404246_OQMD-EnID-1039036.poscar,-0.8278,P63/mmc
ID-5404804_OQMD-EnID-1039114.poscar,-0.8338,Cmcm
ID-5491522_OQMD-EnID-1103736.poscar,-0.8194,Fm-3m
ID-5569816_OQMD-EnID-1218796.poscar,-0.7401,F-43m
ID-5573881_OQMD-EnID-1228475.poscar,-0.7749,P-6m2
ID-5818282_OQMD-EnID-1442276.poscar,-0.9986,P-3m1
ID-5911602_OQMD-EnID-1444227.poscar,1.4304,Fmm2
ID-4104033_OQMD-EnID-14331.poscar,-1.2851,C2/c
ID-4803048_OQMD-EnID-646993.poscar,-1.1721,Fm-3m
ID-5597715_OQMD-EnID-1239431.poscar,-1.0542,Fd-3m
ID-5947106_OQMD-EnID-1589795.poscar,0.5111,Fd-3m
ID-4139010_OQMD-EnID-312514.poscar,-0.1707,Fm-3m
ID-4146156_OQMD-EnID-318742.poscar,-0.1187,P63/mmc
ID-4164312_OQMD-EnID-343228.poscar,0.0151,Pm-3m
ID-4791141_OQMD-EnID-301972.poscar,-0.0764,I4/mmm
ID-4893411_OQMD-EnID-45552.poscar,-1.4261,I23
ID-4893708_OQMD-EnID-33120.poscar,-1.4264,I23
ID-5404528_OQMD-EnID-1039192.poscar,-0.4488,Pnnm
ID-5405458_OQMD-EnID-1039270.poscar,-0.5387,C2/m
ID-5405891_OQMD-EnID-1039348.poscar,-0.2061,I4/mcm
ID-5576770_OQMD-EnID-1231961.poscar,-0.4151,P42/mnm
ID-5597725_OQMD-EnID-1239432.poscar,0.0489,Fd-3m
ID-5964799_OQMD-EnID-1595073.poscar,0.7933,Fd-3m
ID-4072767_OQMD-EnID-21434.poscar,-1.3055,P-4m2
ID-4087734_OQMD-EnID-21544.poscar,-1.3839,Cc
ID-4089267_OQMD-EnID-5258.poscar,-1.111,Pn-3m
ID-4092063_OQMD-EnID-21433.poscar,-1.3295,P42/mcm
ID-4092159_OQMD-EnID-21435.poscar,-1.3928,R3m
ID-4318401_OQMD-EnID-355217.poscar,-0.8137,Pm-3m
ID-4811574_OQMD-EnID-426039.poscar,-1.4412,R-3c
ID-4818417_OQMD-EnID-2160.poscar,-1.4733,P21/c
ID-4820364_OQMD-EnID-21436.poscar,-1.4183,Fd-3m
ID-4821054_OQMD-EnID-27059.poscar,-1.4291,P31c
ID-4821591_OQMD-EnID-31148.poscar,-1.1152,P-4b2
ID-4821801_OQMD-EnID-7583.poscar,-1.4459,P-421c
ID-4821861_OQMD-EnID-36558.poscar,-1.474,P21/c
ID-4822146_OQMD-EnID-21438.poscar,-1.4521,Pbcn
ID-4822740_OQMD-EnID-36861.poscar,-1.4704,P21/c
ID-4822788_OQMD-EnID-109952.poscar,-1.3806,P21/c
ID-4853520_OQMD-EnID-23989.poscar,-1.4483,Pccn
ID-4853673_OQMD-EnID-51307.poscar,-1.4475,P-421c
ID-4876146_OQMD-EnID-5259.poscar,-1.1948,I23
ID-5024568_OQMD-EnID-21437.poscar,-1.4183,Ia-3
ID-5074968_OQMD-EnID-110918.poscar,-1.4492,P21/c
ID-5426683_OQMD-EnID-110156.poscar,-1.4592,Pa-3
ID-5592745_OQMD-EnID-1250628.poscar,-1.3201,P-1
ID-5628182_OQMD-EnID-1276749.poscar,-1.4311,Pnma
ID-5637623_OQMD-EnID-1285285.poscar,-1.3971,P-3m1
ID-5637624_OQMD-EnID-1285284.poscar,-1.3993,P-3m1
ID-5637625_OQMD-EnID-1285282.poscar,-1.4003,P-3m1
ID-5637626_OQMD-EnID-1285283.poscar,-0.9677,P-3m1
ID-5639115_OQMD-EnID-1286681.poscar,-1.3174,P-1
ID-5731855_OQMD-EnID-1343752.poscar,-1.2422,R-3m
ID-5812491_OQMD-EnID-1439840.poscar,-1.1688,I4/mmm
ID-5812578_OQMD-EnID-1441911.poscar,-1.3978,C2/m
ID-5812833_OQMD-EnID-1440732.poscar,0.0021,I4/mmm
ID-5816161_OQMD-EnID-1440981.poscar,-1.3455,Fdd2
ID-5816260_OQMD-EnID-1442865.poscar,-1.3946,Pnnm
ID-4126365_OQMD-EnID-308200.poscar,0.1207,Fm-3m
ID-4156959_OQMD-EnID-323056.poscar,-0.1764,P63/mmc
ID-4172100_OQMD-EnID-347542.poscar,0.2925,Pm-3m
ID-5528367_OQMD-EnID-1040168.poscar,-0.4302,Pnma
ID-4893486_OQMD-EnID-360546.poscar,-0.8327,P4/mmm
ID-4840461_OQMD-EnID-646777.poscar,-1.3992,P-1
ID-5632245_OQMD-EnID-1281188.poscar,-1.3031,Fd-3m
ID-5632246_OQMD-EnID-1281371.poscar,-1.2989,Fd-3m
ID-5632247_OQMD-EnID-1281317.poscar,-1.3025,Fd-3m
ID-5632248_OQMD-EnID-1281383.poscar,-1.3019,Fd-3m
ID-6005552_OQMD-EnID-1603236.poscar,0.4722,P6/mmm
ID-4063365_OQMD-EnID-5822.poscar,-0.7336,R3m
ID-4373574_OQMD-EnID-304550.poscar,-0.4385,Pm-3m
ID-4497582_OQMD-EnID-325634.poscar,-0.8234,R-3m
ID-4509669_OQMD-EnID-336092.poscar,-0.4234,P4/mmm
ID-5404246_OQMD-EnID-1039036.poscar,-0.8278,P63/mmc
ID-5404804_OQMD-EnID-1039114.poscar,-0.8338,Cmcm
ID-5491522_OQMD-EnID-1103736.poscar,-0.8194,Fm-3m
ID-5569816_OQMD-EnID-1218796.poscar,-0.7401,F-43m
ID-5573881_OQMD-EnID-1228475.poscar,-0.7749,P-6m2
ID-5818282_OQMD-EnID-1442276.poscar,-0.9986,P-3m1
ID-5911602_OQMD-EnID-1444227.poscar,1.4304,Fmm2
ID-4104033_OQMD-EnID-14331.poscar,-1.2851,C2/c
ID-4803048_OQMD-EnID-646993.poscar,-1.1721,Fm-3m
ID-5597715_OQMD-EnID-1239431.poscar,-1.0542,Fd-3m
ID-5947106_OQMD-EnID-1589795.poscar,0.5111,Fd-3m
ID-4139010_OQMD-EnID-312514.poscar,-0.1707,Fm-3m
ID-4146156_OQMD-EnID-318742.poscar,-0.1187,P63/mmc
ID-4164312_OQMD-EnID-343228.poscar,0.0151,Pm-3m
ID-4791141_OQMD-EnID-301972.poscar,-0.0764,I4/mmm
ID-4893411_OQMD-EnID-45552.poscar,-1.4261,I23
ID-4893708_OQMD-EnID-33120.poscar,-1.4264,I23
ID-5404528_OQMD-EnID-1039192.poscar,-0.4488,Pnnm
ID-5405458_OQMD-EnID-1039270.poscar,-0.5387,C2/m
ID-5405891_OQMD-EnID-1039348.poscar,-0.2061,I4/mcm
ID-5576770_OQMD-EnID-1231961.poscar,-0.4151,P42/mnm
ID-5597725_OQMD-EnID-1239432.poscar,0.0489,Fd-3m
ID-5964799_OQMD-EnID-1595073.poscar,0.7933,Fd-3m
ID-4072767_OQMD-EnID-21434.poscar,-1.3055,P-4m2
ID-4087734_OQMD-EnID-21544.poscar,-1.3839,Cc
ID-4089267_OQMD-EnID-5258.poscar,-1.111,Pn-3m
ID-4092063_OQMD-EnID-21433.poscar,-1.3295,P42/mcm
ID-4092159_OQMD-EnID-21435.poscar,-1.3928,R3m
ID-4318401_OQMD-EnID-355217.poscar,-0.8137,Pm-3m
ID-4811574_OQMD-EnID-426039.poscar,-1.4412,R-3c
ID-4818417_OQMD-EnID-2160.poscar,-1.4733,P21/c
ID-4820364_OQMD-EnID-21436.poscar,-1.4183,Fd-3m
ID-4821054_OQMD-EnID-27059.poscar,-1.4291,P31c
ID-4821591_OQMD-EnID-31148.poscar,-1.1152,P-4b2
ID-4821801_OQMD-EnID-7583.poscar,-1.4459,P-421c
ID-4821861_OQMD-EnID-36558.poscar,-1.474,P21/c
ID-4822146_OQMD-EnID-21438.poscar,-1.4521,Pbcn
ID-4822740_OQMD-EnID-36861.poscar,-1.4704,P21/c
ID-4822788_OQMD-EnID-109952.poscar,-1.3806,P21/c
ID-4853520_OQMD-EnID-23989.poscar,-1.4483,Pccn
ID-4853673_OQMD-EnID-51307.poscar,-1.4475,P-421c
ID-4876146_OQMD-EnID-5259.poscar,-1.1948,I23
ID-5024568_OQMD-EnID-21437.poscar,-1.4183,Ia-3
ID-5074968_OQMD-EnID-110918.poscar,-1.4492,P21/c
ID-5426683_OQMD-EnID-110156.poscar,-1.4592,Pa-3
ID-5592745_OQMD-EnID-1250628.poscar,-1.3201,P-1
ID-5628182_OQMD-EnID-1276749.poscar,-1.4311,Pnma
ID-5637623_OQMD-EnID-1285285.poscar,-1.3971,P-3m1
ID-5637624_OQMD-EnID-1285284.poscar,-1.3993,P-3m1
ID-5637625_OQMD-EnID-1285282.poscar,-1.4003,P-3m1
ID-5637626_OQMD-EnID-1285283.poscar,-0.9677,P-3m1
ID-5639115_OQMD-EnID-1286681.poscar,-1.3174,P-1
ID-5731855_OQMD-EnID-1343752.poscar,-1.2422,R-3m
ID-5812491_OQMD-EnID-1439840.poscar,-1.1688,I4/mmm
ID-5812578_OQMD-EnID-1441911.poscar,-1.3978,C2/m
ID-5812833_OQMD-EnID-1440732.poscar,0.0021,I4/mmm
ID-5816161_OQMD-EnID-1440981.poscar,-1.3455,Fdd2
ID-5816260_OQMD-EnID-1442865.poscar,-1.3946,Pnnm
ID-4126365_OQMD-EnID-308200.poscar,0.1207,Fm-3m
ID-4156959_OQMD-EnID-323056.poscar,-0.1764,P63/mmc
ID-4172100_OQMD-EnID-347542.poscar,0.2925,Pm-3m
ID-5528367_OQMD-EnID-1040168.poscar,-0.4302,Pnma
ID-4893486_OQMD-EnID-360546.poscar,-0.8327,P4/mmm
ID-4840461_OQMD-EnID-646777.poscar,-1.3992,P-1
ID-5632245_OQMD-EnID-1281188.poscar,-1.3031,Fd-3m
ID-5632246_OQMD-EnID-1281371.poscar,-1.2989,Fd-3m
ID-5632247_OQMD-EnID-1281317.poscar,-1.3025,Fd-3m
ID-5632248_OQMD-EnID-1281383.poscar,-1.3019,Fd-3m
ID-6005552_OQMD-EnID-1603236.poscar,0.4722,P6/mmm
ID-4063365_OQMD-EnID-5822.poscar,-0.7336,R3m
ID-4373574_OQMD-EnID-304550.poscar,-0.4385,Pm-3m
ID-4497582_OQMD-EnID-325634.poscar,-0.8234,R-3m
ID-4509669_OQMD-EnID-336092.poscar,-0.4234,P4/mmm
ID-5404246_OQMD-EnID-1039036.poscar,-0.8278,P63/mmc
ID-5404804_OQMD-EnID-1039114.poscar,-0.8338,Cmcm
ID-5491522_OQMD-EnID-1103736.poscar,-0.8194,Fm-3m
ID-5569816_OQMD-EnID-1218796.poscar,-0.7401,F-43m
ID-5573881_OQMD-EnID-1228475.poscar,-0.7749,P-6m2
ID-5818282_OQMD-EnID-1442276.poscar,-0.9986,P-3m1
ID-5911602_OQMD-EnID-1444227.poscar,1.4304,Fmm2
ID-4104033_OQMD-EnID-14331.poscar,-1.2851,C2/c
ID-4803048_OQMD-EnID-646993.poscar,-1.1721,Fm-3m
ID-5597715_OQMD-EnID-1239431.poscar,-1.0542,Fd-3m
ID-5947106_OQMD-EnID-1589795.poscar,0.5111,Fd-3m
ID-4139010_OQMD-EnID-312514.poscar,-0.1707,Fm-3m
