filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4480200_OQMD-EnID-306912.poscar,1.103,Pm-3m
ID-4516119_OQMD-EnID-338454.poscar,1.2597,P4/mmm
ID-5493875_OQMD-EnID-1106097.poscar,0.6858,Fm-3m
ID-5569890_OQMD-EnID-1218870.poscar,0.849,F-43m
ID-5573953_OQMD-EnID-1228549.poscar,0.8373,P-6m2
ID-5577680_OQMD-EnID-1234878.poscar,0.6897,R-3m
ID-5856613_OQMD-EnID-1482546.poscar,-0.2191,P1
ID-5596352_OQMD-EnID-1237666.poscar,0.4108,Fd-3m
ID-5856160_OQMD-EnID-1482496.poscar,-0.1153,P1
ID-5946977_OQMD-EnID-1589749.poscar,1.6386,Fd-3m
ID-4114761_OQMD-EnID-300238.poscar,1.177,I4/mmm
ID-4133499_OQMD-EnID-310780.poscar,1.2967,Fm-3m
ID-4158120_OQMD-EnID-323539.poscar,0.9184,P63/mmc
ID-4172928_OQMD-EnID-348025.poscar,1.4921,Pm-3m
ID-4802058_OQMD-EnID-646470.poscar,-0.1632,Pna21
ID-5576809_OQMD-EnID-1232035.poscar,0.3042,P42/mnm
ID-5596354_OQMD-EnID-1237667.poscar,-0.1799,Fd-3m
ID-5952611_OQMD-EnID-1591608.poscar,1.2793,Fd-3m
ID-4811508_OQMD-EnID-426113.poscar,0.4577,R-3c
ID-5066688_OQMD-EnID-69156.poscar,-0.1299,P21/c
ID-4120233_OQMD-EnID-302455.poscar,0.4827,I4/mmm
ID-4140207_OQMD-EnID-312997.poscar,0.8504,Fm-3m
ID-4152645_OQMD-EnID-321322.poscar,0.6124,P63/mmc
ID-4168890_OQMD-EnID-345808.poscar,0.8956,Pm-3m
ID-5855747_OQMD-EnID-1482497.poscar,-0.2097,P1
ID-6005731_OQMD-EnID-1603192.poscar,0.7216,P6/mmm
ID-4480200_OQMD-EnID-306912.poscar,1.103,Pm-3m
ID-4516119_OQMD-EnID-338454.poscar,1.2597,P4/mmm
ID-5493875_OQMD-EnID-1106097.poscar,0.6858,Fm-3m
ID-5569890_OQMD-EnID-1218870.poscar,0.849,F-43m
ID-5573953_OQMD-EnID-1228549.poscar,0.8373,P-6m2
ID-5577680_OQMD-EnID-1234878.poscar,0.6897,R-3m
ID-5856613_OQMD-EnID-1482546.poscar,-0.2191,P1
ID-5596352_OQMD-EnID-1237666.poscar,0.4108,Fd-3m
ID-5856160_OQMD-EnID-1482496.poscar,-0.1153,P1
ID-5946977_OQMD-EnID-1589749.poscar,1.6386,Fd-3m
ID-4114761_OQMD-EnID-300238.poscar,1.177,I4/mmm
ID-4133499_OQMD-EnID-310780.poscar,1.2967,Fm-3m
ID-4158120_OQMD-EnID-323539.poscar,0.9184,P63/mmc
ID-4172928_OQMD-EnID-348025.poscar,1.4921,Pm-3m
ID-4802058_OQMD-EnID-646470.poscar,-0.1632,Pna21
ID-5576809_OQMD-EnID-1232035.poscar,0.3042,P42/mnm
ID-5596354_OQMD-EnID-1237667.poscar,-0.1799,Fd-3m
ID-5952611_OQMD-EnID-1591608.poscar,1.2793,Fd-3m
ID-4811508_OQMD-EnID-426113.poscar,0.4577,R-3c
ID-5066688_OQMD-EnID-69156.poscar,-0.1299,P21/c
ID-4120233_OQMD-EnID-302455.poscar,0.4827,I4/mmm
ID-4140207_OQMD-EnID-312997.poscar,0.8504,Fm-3m
ID-4152645_OQMD-EnID-321322.poscar,0.6124,P63/mmc
ID-4168890_OQMD-EnID-345808.poscar,0.8956,Pm-3m
ID-5855747_OQMD-EnID-1482497.poscar,-0.2097,P1
ID-6005731_OQMD-EnID-1603192.poscar,0.7216,P6/mmm
ID-4480200_OQMD-EnID-306912.poscar,1.103,Pm-3m
ID-4516119_OQMD-EnID-338454.poscar,1.2597,P4/mmm
ID-5493875_OQMD-EnID-1106097.poscar,0.6858,Fm-3m
ID-5569890_OQMD-EnID-1218870.poscar,0.849,F-43m
ID-5573953_OQMD-EnID-1228549.poscar,0.8373,P-6m2
ID-5577680_OQMD-EnID-1234878.poscar,0.6897,R-3m
ID-5856613_OQMD-EnID-1482546.poscar,-0.2191,P1
ID-5596352_OQMD-EnID-1237666.poscar,0.4108,Fd-3m
ID-5856160_OQMD-EnID-1482496.poscar,-0.1153,P1
ID-5946977_OQMD-EnID-1589749.poscar,1.6386,Fd-3m
ID-4114761_OQMD-EnID-300238.poscar,1.177,I4/mmm
ID-4133499_OQMD-EnID-310780.poscar,1.2967,Fm-3m
ID-4158120_OQMD-EnID-323539.poscar,0.9184,P63/mmc
ID-4172928_OQMD-EnID-348025.poscar,1.4921,Pm-3m
ID-4802058_OQMD-EnID-646470.poscar,-0.1632,Pna21
ID-5576809_OQMD-EnID-1232035.poscar,0.3042,P42/mnm
ID-5596354_OQMD-EnID-1237667.poscar,-0.1799,Fd-3m
ID-5952611_OQMD-EnID-1591608.poscar,1.2793,Fd-3m
ID-4811508_OQMD-EnID-426113.poscar,0.4577,R-3c
ID-5066688_OQMD-EnID-69156.poscar,-0.1299,P21/c
ID-4120233_OQMD-EnID-302455.poscar,0.4827,I4/mmm
ID-4140207_OQMD-EnID-312997.poscar,0.8504,Fm-3m
ID-4152645_OQMD-EnID-321322.poscar,0.6124,P63/mmc
ID-4168890_OQMD-EnID-345808.poscar,0.8956,Pm-3m
ID-5855747_OQMD-EnID-1482497.poscar,-0.2097,P1
ID-6005731_OQMD-EnID-1603192.poscar,0.7216,P6/mmm
ID-4480200_OQMD-EnID-306912.poscar,1.103,Pm-3m
ID-4516119_OQMD-EnID-338454.poscar,1.2597,P4/mmm
ID-5493875_OQMD-EnID-1106097.poscar,0.6858,Fm-3m
ID-5569890_OQMD-EnID-1218870.poscar,0.849,F-43m
ID-5573953_OQMD-EnID-1228549.poscar,0.8373,P-6m2
ID-5577680_OQMD-EnID-1234878.poscar,0.6897,R-3m
ID-5856613_OQMD-EnID-1482546.poscar,-0.2191,P1
ID-5596352_OQMD-EnID-1237666.poscar,0.4108,Fd-3m
ID-5856160_OQMD-EnID-1482496.poscar,-0.1153,P1
ID-5946977_OQMD-EnID-1589749.poscar,1.6386,Fd-3m
ID-4114761_OQMD-EnID-300238.poscar,1.177,I4/mmm
ID-4133499_OQMD-EnID-310780.poscar,1.2967,Fm-3m
ID-4158120_OQMD-EnID-323539.poscar,0.9184,P63/mmc
ID-4172928_OQMD-EnID-348025.poscar,1.4921,Pm-3m
ID-4802058_OQMD-EnID-646470.poscar,-0.1632,Pna21
ID-5576809_OQMD-EnID-1232035.poscar,0.3042,P42/mnm
ID-5596354_OQMD-EnID-1237667.poscar,-0.1799,Fd-3m
ID-5952611_OQMD-EnID-1591608.poscar,1.2793,Fd-3m
ID-4811508_OQMD-EnID-426113.poscar,0.4577,R-3c
ID-5066688_OQMD-EnID-69156.poscar,-0.1299,P21/c
ID-4120233_OQMD-EnID-302455.poscar,0.4827,I4/mmm
ID-4140207_OQMD-EnID-312997.poscar,0.8504,Fm-3m
ID-4152645_OQMD-EnID-321322.poscar,0.6124,P63/mmc
ID-4168890_OQMD-EnID-345808.poscar,0.8956,Pm-3m
ID-5855747_OQMD-EnID-1482497.poscar,-0.2097,P1
ID-6005731_OQMD-EnID-1603192.poscar,0.7216,P6/mmm
ID-4480200_OQMD-EnID-306912.poscar,1.103,Pm-3m
ID-4516119_OQMD-EnID-338454.poscar,1.2597,P4/mmm
ID-5493875_OQMD-EnID-1106097.poscar,0.6858,Fm-3m
ID-5569890_OQMD-EnID-1218870.poscar,0.849,F-43m
ID-5573953_OQMD-EnID-1228549.poscar,0.8373,P-6m2
ID-5577680_OQMD-EnID-1234878.poscar,0.6897,R-3m
ID-5856613_OQMD-EnID-1482546.poscar,-0.2191,P1
ID-5596352_OQMD-EnID-1237666.poscar,0.4108,Fd-3m
ID-5856160_OQMD-EnID-1482496.poscar,-0.1153,P1
ID-5946977_OQMD-EnID-1589749.poscar,1.6386,Fd-3m
ID-4114761_OQMD-EnID-300238.poscar,1.177,I4/mmm
ID-4133499_OQMD-EnID-310780.poscar,1.2967,Fm-3m
ID-4158120_OQMD-EnID-323539.poscar,0.9184,P63/mmc
ID-4172928_OQMD-EnID-348025.poscar,1.4921,Pm-3m
ID-4802058_OQMD-EnID-646470.poscar,-0.1632,Pna21
ID-5576809_OQMD-EnID-1232035.poscar,0.3042,P42/mnm
ID-5596354_OQMD-EnID-1237667.poscar,-0.1799,Fd-3m
ID-5952611_OQMD-EnID-1591608.poscar,1.2793,Fd-3m
ID-4811508_OQMD-EnID-426113.poscar,0.4577,R-3c
ID-5066688_OQMD-EnID-69156.poscar,-0.1299,P21/c
ID-4120233_OQMD-EnID-302455.poscar,0.4827,I4/mmm
ID-4140207_OQMD-EnID-312997.poscar,0.8504,Fm-3m
ID-4152645_OQMD-EnID-321322.poscar,0.6124,P63/mmc
ID-4168890_OQMD-EnID-345808.poscar,0.8956,Pm-3m
ID-5855747_OQMD-EnID-1482497.poscar,-0.2097,P1
ID-6005731_OQMD-EnID-1603192.poscar,0.7216,P6/mmm
