filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4062327_OQMD-EnID-5181.poscar,-3.1937,Fm-3m
ID-4066485_OQMD-EnID-20481.poscar,-3.1233,P63mc
ID-4474362_OQMD-EnID-306347.poscar,-2.7052,Pm-3m
ID-4502568_OQMD-EnID-327431.poscar,-3.1951,R-3m
ID-4514535_OQMD-EnID-337889.poscar,-2.5488,P4/mmm
ID-4816896_OQMD-EnID-24007.poscar,-0.341,Fd-3m
ID-5493312_OQMD-EnID-1105532.poscar,-3.1959,Fm-3m
ID-5570035_OQMD-EnID-1219015.poscar,-3.0094,F-43m
ID-5574090_OQMD-EnID-1228694.poscar,-2.9425,P-6m2
ID-5731040_OQMD-EnID-1343581.poscar,-2.8188,Cmca
ID-5731754_OQMD-EnID-1343625.poscar,-2.8208,P4/nmm
ID-5731875_OQMD-EnID-1343913.poscar,-3.1953,P3121
ID-5811500_OQMD-EnID-1442031.poscar,-3.1948,Immm
ID-5811511_OQMD-EnID-1443174.poscar,-3.1919,I4/mmm
ID-5811983_OQMD-EnID-1444347.poscar,-3.1936,Immm
ID-5811985_OQMD-EnID-1444451.poscar,-3.1936,C2/m
ID-5812270_OQMD-EnID-1442200.poscar,-3.0621,P63/mmc
ID-5812318_OQMD-EnID-1442287.poscar,-3.1949,Pmn21
ID-5812389_OQMD-EnID-1442541.poscar,-2.6741,P42/mmc
ID-5812740_OQMD-EnID-1443822.poscar,-3.1254,P63/mmc
ID-5814683_OQMD-EnID-1439998.poscar,-3.1952,Pnma
ID-5815186_OQMD-EnID-1441810.poscar,-3.1949,Pbcm
ID-5815267_OQMD-EnID-1443085.poscar,-3.1956,Pca21
ID-5815283_OQMD-EnID-1443347.poscar,-2.8181,Cmc21
ID-5817856_OQMD-EnID-1443988.poscar,-2.9888,Pm-3n
ID-5855007_OQMD-EnID-1479342.poscar,-2.9005,C2/c
ID-4066803_OQMD-EnID-3853.poscar,-2.1732,I4/mmm
ID-4814037_OQMD-EnID-661940.poscar,-2.1734,I4/mmm
ID-5598276_OQMD-EnID-1240176.poscar,-0.9292,Fd-3m
ID-5759168_OQMD-EnID-1367693.poscar,-2.2799,C2/c
ID-5946936_OQMD-EnID-1589734.poscar,-0.9069,Fd-3m
ID-4109766_OQMD-EnID-298155.poscar,-0.7765,I4/mmm
ID-4127604_OQMD-EnID-308688.poscar,-0.6405,Fm-3m
ID-4155291_OQMD-EnID-322379.poscar,-0.8968,P63/mmc
ID-4796769_OQMD-EnID-346865.poscar,-0.7833,Pm-3m
ID-5576864_OQMD-EnID-1232180.poscar,-1.8732,P42/mnm
ID-5598266_OQMD-EnID-1240177.poscar,-1.6637,Fd-3m
ID-5948797_OQMD-EnID-1590483.poscar,0.4207,Fd-3m
ID-4811562_OQMD-EnID-426258.poscar,-2.1765,R-3c
ID-4840617_OQMD-EnID-678216.poscar,-2.176,R-3
ID-5628185_OQMD-EnID-1276744.poscar,-2.4845,Pnma
ID-5628186_OQMD-EnID-1276745.poscar,-2.4845,Pnma
ID-5629703_OQMD-EnID-1278128.poscar,-2.1627,R-3
ID-4117278_OQMD-EnID-301295.poscar,-0.2902,I4/mmm
ID-4137297_OQMD-EnID-311837.poscar,0.0746,Fm-3m
ID-4147377_OQMD-EnID-319230.poscar,-0.1444,P63/mmc
ID-4165170_OQMD-EnID-343716.poscar,-0.155,Pm-3m
ID-5632261_OQMD-EnID-1281168.poscar,-1.8421,Fd-3m
ID-5632262_OQMD-EnID-1281450.poscar,-1.8429,Fd-3m
ID-6005464_OQMD-EnID-1603177.poscar,0.5028,P6/mmm
ID-4062327_OQMD-EnID-5181.poscar,-3.1937,Fm-3m
ID-4066485_OQMD-EnID-20481.poscar,-3.1233,P63mc
ID-4474362_OQMD-EnID-306347.poscar,-2.7052,Pm-3m
ID-4502568_OQMD-EnID-327431.poscar,-3.1951,R-3m
ID-4514535_OQMD-EnID-337889.poscar,-2.5488,P4/mmm
ID-4816896_OQMD-EnID-24007.poscar,-0.341,Fd-3m
ID-5493312_OQMD-EnID-1105532.poscar,-3.1959,Fm-3m
ID-5570035_OQMD-EnID-1219015.poscar,-3.0094,F-43m
ID-5574090_OQMD-EnID-1228694.poscar,-2.9425,P-6m2
ID-5731040_OQMD-EnID-1343581.poscar,-2.8188,Cmca
ID-5731754_OQMD-EnID-1343625.poscar,-2.8208,P4/nmm
ID-5731875_OQMD-EnID-1343913.poscar,-3.1953,P3121
ID-5811500_OQMD-EnID-1442031.poscar,-3.1948,Immm
ID-5811511_OQMD-EnID-1443174.poscar,-3.1919,I4/mmm
