filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4061682_OQMD-EnID-11469.poscar,-0.6734,Fm-3m
ID-4066608_OQMD-EnID-3294.poscar,-0.8058,C2/c
ID-4068486_OQMD-EnID-12668.poscar,-0.8028,Cc
ID-4474707_OQMD-EnID-306380.poscar,-0.2121,Pm-3m
ID-4502721_OQMD-EnID-327464.poscar,-0.6708,R-3m
ID-4514625_OQMD-EnID-337922.poscar,0.0404,P4/mmm
ID-4813986_OQMD-EnID-671141.poscar,-0.8058,C2/c
ID-4957647_OQMD-EnID-711592.poscar,-0.1227,I4/mmm
ID-4957692_OQMD-EnID-711593.poscar,-0.1218,I4/mmm
ID-4958430_OQMD-EnID-711603.poscar,-0.656,Pnma
ID-4960500_OQMD-EnID-711602.poscar,-0.6426,P42/nmc
ID-5493345_OQMD-EnID-1105565.poscar,-0.6719,Fm-3m
ID-5570492_OQMD-EnID-1222199.poscar,-0.6511,F-43m
ID-5574520_OQMD-EnID-1229170.poscar,-0.4813,P-6m2
ID-5731094_OQMD-EnID-1344120.poscar,-0.7739,P42/m
ID-5731752_OQMD-EnID-1343815.poscar,-0.642,P63mc
ID-5731765_OQMD-EnID-1344015.poscar,-0.4863,Cmcm
ID-5731771_OQMD-EnID-1343583.poscar,-0.8315,P42/mmc
ID-5731831_OQMD-EnID-1343817.poscar,-0.6844,Pmmn
ID-5731877_OQMD-EnID-1343432.poscar,-0.6947,P1
ID-5811496_OQMD-EnID-1442026.poscar,-0.6718,Immm
ID-5811756_OQMD-EnID-1444344.poscar,-0.6696,Immm
ID-5811759_OQMD-EnID-1444448.poscar,-0.6703,P-1
ID-5812127_OQMD-EnID-1440222.poscar,-0.6744,P4/nmm
ID-5812264_OQMD-EnID-1442190.poscar,-0.6138,P63/mmc
ID-5812311_OQMD-EnID-1443823.poscar,-0.6895,P63/mmc
ID-5813668_OQMD-EnID-1442497.poscar,-0.6919,P3121
ID-5815279_OQMD-EnID-1443262.poscar,-0.8116,C2/c
ID-5816270_OQMD-EnID-1443148.poscar,-0.6625,C2/m
ID-5817808_OQMD-EnID-1443990.poscar,-0.6099,Pm-3n
ID-5817829_OQMD-EnID-1444261.poscar,-0.5488,P63/mmc
ID-5849292_OQMD-EnID-1473984.poscar,-0.6716,R3m
ID-4068585_OQMD-EnID-16596.poscar,-0.4112,C2/m
ID-4810836_OQMD-EnID-78037.poscar,-0.1056,Fmmm
ID-4851171_OQMD-EnID-685498.poscar,-0.4167,Cmcm
ID-4957401_OQMD-EnID-711601.poscar,-0.2396,C2/m
ID-4957422_OQMD-EnID-711599.poscar,-0.1198,Immm
ID-4957449_OQMD-EnID-711598.poscar,-0.2702,P1
ID-4957728_OQMD-EnID-711596.poscar,-0.177,P1
ID-5597098_OQMD-EnID-1238618.poscar,0.1058,Fd-3m
ID-5632003_OQMD-EnID-1280950.poscar,-0.5159,Pa-3
ID-5946975_OQMD-EnID-1589743.poscar,0.8555,Fd-3m
ID-4112469_OQMD-EnID-299291.poscar,0.3596,I4/mmm
ID-4130922_OQMD-EnID-309833.poscar,0.8408,Fm-3m
ID-4155462_OQMD-EnID-322448.poscar,0.8391,P63/mmc
ID-4170969_OQMD-EnID-346934.poscar,0.9446,Pm-3m
ID-4956966_OQMD-EnID-711600.poscar,0.9268,Pm-3m
ID-4957521_OQMD-EnID-711597.poscar,0.3386,C2/m
ID-4957773_OQMD-EnID-711595.poscar,1.0662,I41/amd
ID-5726038_OQMD-EnID-1338385.poscar,-0.1048,Cm
ID-5732111_OQMD-EnID-1343151.poscar,-0.2397,P2/c
ID-5757185_OQMD-EnID-1368065.poscar,-0.3653,P2/m
ID-4074939_OQMD-EnID-5184.poscar,-0.684,Pn-3m
ID-4810533_OQMD-EnID-643065.poscar,-0.6844,Pn-3m
ID-5577046_OQMD-EnID-1232656.poscar,-0.4815,P42/mnm
ID-5597099_OQMD-EnID-1238619.poscar,-0.5731,Fd-3m
ID-5811521_OQMD-EnID-1440140.poscar,-0.4174,P-3m1
ID-5811557_OQMD-EnID-1440458.poscar,-0.2705,Fm-3m
ID-5811662_OQMD-EnID-1442902.poscar,0.0119,F-43m
ID-5813582_OQMD-EnID-1442278.poscar,-0.1528,P63/mmc
ID-5814025_OQMD-EnID-1443727.poscar,-0.5975,P21/m
ID-5817399_OQMD-EnID-1440991.poscar,-0.5886,P21/c
ID-5817401_OQMD-EnID-1442019.poscar,-0.5484,P43212
ID-5817521_OQMD-EnID-1441622.poscar,-0.5738,P212121
ID-5817684_OQMD-EnID-1443246.poscar,-0.3748,Pmna
ID-5818185_OQMD-EnID-1443011.poscar,-0.4817,C2221
ID-5911673_OQMD-EnID-1444275.poscar,-0.5543,P21
ID-5951183_OQMD-EnID-1591154.poscar,0.4699,Fd-3m
ID-4297518_OQMD-EnID-353442.poscar,0.04,Pm-3m
ID-5232414_OQMD-EnID-426734.poscar,-0.6024,R-3c
ID-5816220_OQMD-EnID-1440980.poscar,-0.6426,Fdd2
ID-5816247_OQMD-EnID-1442519.poscar,-0.3734,Pn-3m
ID-4117446_OQMD-EnID-301364.poscar,-0.0397,I4/mmm
ID-4137480_OQMD-EnID-311906.poscar,-0.0288,Fm-3m
ID-4150194_OQMD-EnID-320375.poscar,-0.0893,P63/mmc
ID-4167174_OQMD-EnID-344861.poscar,-0.037,Pm-3m
ID-5634698_OQMD-EnID-1283570.poscar,-0.6215,Fd-3m
ID-4958688_OQMD-EnID-711604.poscar,-0.2468,P1
ID-4504788_OQMD-EnID-13995.poscar,-0.7476,I41/amd
ID-4888434_OQMD-EnID-358771.poscar,-0.3219,P4/mmm
ID-6005112_OQMD-EnID-1603186.poscar,0.2753,P6/mmm
ID-4085868_OQMD-EnID-11717.poscar,-0.1824,Amm2
ID-4061682_OQMD-EnID-11469.poscar,-0.6734,Fm-3m
ID-4066608_OQMD-EnID-3294.poscar,-0.8058,C2/c
ID-4068486_OQMD-EnID-12668.poscar,-0.8028,Cc
ID-4474707_OQMD-EnID-306380.poscar,-0.2121,Pm-3m
ID-4502721_OQMD-EnID-327464.poscar,-0.6708,R-3m
ID-4514625_OQMD-EnID-337922.poscar,0.0404,P4/mmm
ID-4813986_OQMD-EnID-671141.poscar,-0.8058,C2/c
