filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4474932_OQMD-EnID-306400.poscar,-2.3797,Pm-3m
ID-4514685_OQMD-EnID-337942.poscar,-2.1081,P4/mmm
ID-5493365_OQMD-EnID-1105585.poscar,-3.0082,Fm-3m
ID-5570555_OQMD-EnID-1222263.poscar,-2.9259,F-43m
ID-5572942_OQMD-EnID-1225748.poscar,-2.8194,P63mc
ID-5574583_OQMD-EnID-1229234.poscar,-2.7622,P-6m2
ID-5577735_OQMD-EnID-1234933.poscar,-3.0067,R-3m
ID-6033234_OQMD-EnID-1733403.poscar,-3.1413,P4/nmm
ID-6035089_OQMD-EnID-1739200.poscar,-3.1416,Cmca
ID-6040010_OQMD-EnID-1741708.poscar,-3.0951,P42/mmc
ID-5596679_OQMD-EnID-1238093.poscar,-2.4959,Fd-3m
ID-5759471_OQMD-EnID-1368476.poscar,-3.2717,C2/m
ID-5947058_OQMD-EnID-1589778.poscar,-0.8934,Fd-3m
ID-4114743_OQMD-EnID-300232.poscar,-1.726,I4/mmm
ID-4133472_OQMD-EnID-310774.poscar,-1.7928,Fm-3m
ID-4155576_OQMD-EnID-322498.poscar,-1.7747,P63/mmc
ID-4171041_OQMD-EnID-346984.poscar,-1.7124,Pm-3m
ID-5577055_OQMD-EnID-1232720.poscar,-1.964,P42/mnm
ID-5596687_OQMD-EnID-1238094.poscar,-1.0825,Fd-3m
ID-5961557_OQMD-EnID-1593801.poscar,0.5797,Fd-3m
ID-4070760_OQMD-EnID-20294.poscar,-3.7878,P-3m1
ID-4082781_OQMD-EnID-5434.poscar,-3.8373,I213
ID-4307805_OQMD-EnID-354794.poscar,-2.9045,Pm-3m
ID-4508844_OQMD-EnID-20308.poscar,-3.8069,C2/m
ID-4811718_OQMD-EnID-426798.poscar,-3.798,R-3c
ID-5014587_OQMD-EnID-7457.poscar,-3.85,Ia-3
ID-5731361_OQMD-EnID-1343309.poscar,-3.7135,Pnma
ID-5812946_OQMD-EnID-1442700.poscar,-3.6406,P321
ID-5813204_OQMD-EnID-1444196.poscar,-3.6376,P-62m
ID-4117554_OQMD-EnID-301414.poscar,-0.1184,I4/mmm
ID-4137597_OQMD-EnID-311956.poscar,0.1995,Fm-3m
ID-4152627_OQMD-EnID-321316.poscar,-0.8815,P63/mmc
ID-4168878_OQMD-EnID-345802.poscar,0.014,Pm-3m
ID-4892421_OQMD-EnID-360123.poscar,-3.1322,P4/mmm
ID-6005548_OQMD-EnID-1603219.poscar,0.7927,P6/mmm
ID-4474932_OQMD-EnID-306400.poscar,-2.3797,Pm-3m
ID-4514685_OQMD-EnID-337942.poscar,-2.1081,P4/mmm
ID-5493365_OQMD-EnID-1105585.poscar,-3.0082,Fm-3m
ID-5570555_OQMD-EnID-1222263.poscar,-2.9259,F-43m
ID-5572942_OQMD-EnID-1225748.poscar,-2.8194,P63mc
ID-5574583_OQMD-EnID-1229234.poscar,-2.7622,P-6m2
ID-5577735_OQMD-EnID-1234933.poscar,-3.0067,R-3m
ID-6033234_OQMD-EnID-1733403.poscar,-3.1413,P4/nmm
ID-6035089_OQMD-EnID-1739200.poscar,-3.1416,Cmca
ID-6040010_OQMD-EnID-1741708.poscar,-3.0951,P42/mmc
ID-5596679_OQMD-EnID-1238093.poscar,-2.4959,Fd-3m
ID-5759471_OQMD-EnID-1368476.poscar,-3.2717,C2/m
ID-5947058_OQMD-EnID-1589778.poscar,-0.8934,Fd-3m
ID-4114743_OQMD-EnID-300232.poscar,-1.726,I4/mmm
ID-4133472_OQMD-EnID-310774.poscar,-1.7928,Fm-3m
ID-4155576_OQMD-EnID-322498.poscar,-1.7747,P63/mmc
ID-4171041_OQMD-EnID-346984.poscar,-1.7124,Pm-3m
ID-5577055_OQMD-EnID-1232720.poscar,-1.964,P42/mnm
ID-5596687_OQMD-EnID-1238094.poscar,-1.0825,Fd-3m
ID-5961557_OQMD-EnID-1593801.poscar,0.5797,Fd-3m
ID-4070760_OQMD-EnID-20294.poscar,-3.7878,P-3m1
ID-4082781_OQMD-EnID-5434.poscar,-3.8373,I213
ID-4307805_OQMD-EnID-354794.poscar,-2.9045,Pm-3m
ID-4508844_OQMD-EnID-20308.poscar,-3.8069,C2/m
ID-4811718_OQMD-EnID-426798.poscar,-3.798,R-3c
ID-5014587_OQMD-EnID-7457.poscar,-3.85,Ia-3
ID-5731361_OQMD-EnID-1343309.poscar,-3.7135,Pnma
ID-5812946_OQMD-EnID-1442700.poscar,-3.6406,P321
ID-5813204_OQMD-EnID-1444196.poscar,-3.6376,P-62m
ID-4117554_OQMD-EnID-301414.poscar,-0.1184,I4/mmm
ID-4137597_OQMD-EnID-311956.poscar,0.1995,Fm-3m
ID-4152627_OQMD-EnID-321316.poscar,-0.8815,P63/mmc
ID-4168878_OQMD-EnID-345802.poscar,0.014,Pm-3m
ID-4892421_OQMD-EnID-360123.poscar,-3.1322,P4/mmm
ID-6005548_OQMD-EnID-1603219.poscar,0.7927,P6/mmm
ID-4474932_OQMD-EnID-306400.poscar,-2.3797,Pm-3m
ID-4514685_OQMD-EnID-337942.poscar,-2.1081,P4/mmm
ID-5493365_OQMD-EnID-1105585.poscar,-3.0082,Fm-3m
ID-5570555_OQMD-EnID-1222263.poscar,-2.9259,F-43m
ID-5572942_OQMD-EnID-1225748.poscar,-2.8194,P63mc
ID-5574583_OQMD-EnID-1229234.poscar,-2.7622,P-6m2
ID-5577735_OQMD-EnID-1234933.poscar,-3.0067,R-3m
ID-6033234_OQMD-EnID-1733403.poscar,-3.1413,P4/nmm
ID-6035089_OQMD-EnID-1739200.poscar,-3.1416,Cmca
ID-6040010_OQMD-EnID-1741708.poscar,-3.0951,P42/mmc
ID-5596679_OQMD-EnID-1238093.poscar,-2.4959,Fd-3m
ID-5759471_OQMD-EnID-1368476.poscar,-3.2717,C2/m
ID-5947058_OQMD-EnID-1589778.poscar,-0.8934,Fd-3m
ID-4114743_OQMD-EnID-300232.poscar,-1.726,I4/mmm
ID-4133472_OQMD-EnID-310774.poscar,-1.7928,Fm-3m
ID-4155576_OQMD-EnID-322498.poscar,-1.7747,P63/mmc
ID-4171041_OQMD-EnID-346984.poscar,-1.7124,Pm-3m
ID-5577055_OQMD-EnID-1232720.poscar,-1.964,P42/mnm
ID-5596687_OQMD-EnID-1238094.poscar,-1.0825,Fd-3m
ID-5961557_OQMD-EnID-1593801.poscar,0.5797,Fd-3m
ID-4070760_OQMD-EnID-20294.poscar,-3.7878,P-3m1
ID-4082781_OQMD-EnID-5434.poscar,-3.8373,I213
ID-4307805_OQMD-EnID-354794.poscar,-2.9045,Pm-3m
ID-4508844_OQMD-EnID-20308.poscar,-3.8069,C2/m
ID-4811718_OQMD-EnID-426798.poscar,-3.798,R-3c
ID-5014587_OQMD-EnID-7457.poscar,-3.85,Ia-3
ID-5731361_OQMD-EnID-1343309.poscar,-3.7135,Pnma
ID-5812946_OQMD-EnID-1442700.poscar,-3.6406,P321
ID-5813204_OQMD-EnID-1444196.poscar,-3.6376,P-62m
