filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4482603_OQMD-EnID-307168.poscar,-3.1319,Pm-3m
ID-4505853_OQMD-EnID-328252.poscar,-3.3965,R-3m
ID-4516797_OQMD-EnID-338710.poscar,-2.8992,P4/mmm
ID-4803456_OQMD-EnID-647197.poscar,-3.3956,Fm-3m
ID-5494130_OQMD-EnID-1106353.poscar,-3.396,Fm-3m
ID-5570680_OQMD-EnID-1222388.poscar,-3.2085,F-43m
ID-5574707_OQMD-EnID-1229359.poscar,-3.2517,Amm2
ID-5731041_OQMD-EnID-1343894.poscar,-3.2086,Cmca
ID-5731756_OQMD-EnID-1343302.poscar,-3.2102,P4/nmm
ID-5731814_OQMD-EnID-1343704.poscar,-3.3084,Cmc21
ID-5762818_OQMD-EnID-1243475.poscar,-3.2689,P63/mmc
ID-5762819_OQMD-EnID-1243476.poscar,-3.3502,P63/mmc
ID-5815307_OQMD-EnID-1443633.poscar,-3.3953,I4/mmm
ID-4077030_OQMD-EnID-30117.poscar,-1.9545,P4/nmm
ID-5595077_OQMD-EnID-1236729.poscar,-1.3033,Fd-3m
ID-5756852_OQMD-EnID-1370011.poscar,-1.96,Fm-3m
ID-5947054_OQMD-EnID-1589775.poscar,-1.38,Fd-3m
ID-4124991_OQMD-EnID-304329.poscar,-1.1722,I4/mmm
ID-4144830_OQMD-EnID-314871.poscar,-1.1707,Fm-3m
ID-4159362_OQMD-EnID-324039.poscar,-1.17,P63/mmc
ID-4173810_OQMD-EnID-348525.poscar,-1.0345,Pm-3m
ID-5577073_OQMD-EnID-1232845.poscar,-2.077,P42/mnm
ID-5595089_OQMD-EnID-1236730.poscar,-1.7621,Fd-3m
ID-5960708_OQMD-EnID-1593573.poscar,0.0451,Fd-3m
ID-4274847_OQMD-EnID-350233.poscar,-2.1986,Pm-3m
ID-4517385_OQMD-EnID-30116.poscar,-2.565,C2/m
ID-4812345_OQMD-EnID-426923.poscar,-2.514,R-3c
ID-4817001_OQMD-EnID-665876.poscar,-2.5644,C2/m
ID-4842417_OQMD-EnID-678201.poscar,-2.5128,R-3
ID-5013342_OQMD-EnID-7280.poscar,-2.5044,Ia-3
ID-5082303_OQMD-EnID-5436.poscar,-2.5039,I213
ID-5812776_OQMD-EnID-1440421.poscar,-2.5681,P-3m1
ID-5812821_OQMD-EnID-1442708.poscar,-2.3853,C2
ID-4121421_OQMD-EnID-302955.poscar,-0.4535,I4/mmm
ID-4141470_OQMD-EnID-313497.poscar,-0.0096,Fm-3m
ID-4162830_OQMD-EnID-325413.poscar,-1.2909,P63/mmc
ID-4176246_OQMD-EnID-349899.poscar,-0.2955,Pm-3m
ID-4870809_OQMD-EnID-2935.poscar,-2.8238,Pnma
ID-5905966_OQMD-EnID-1540528.poscar,-2.7211,I41/amd
ID-4880694_OQMD-EnID-355562.poscar,-2.5792,P4/mmm
ID-6006007_OQMD-EnID-1603216.poscar,0.5029,P6/mmm
ID-4482603_OQMD-EnID-307168.poscar,-3.1319,Pm-3m
ID-4505853_OQMD-EnID-328252.poscar,-3.3965,R-3m
ID-4516797_OQMD-EnID-338710.poscar,-2.8992,P4/mmm
ID-4803456_OQMD-EnID-647197.poscar,-3.3956,Fm-3m
ID-5494130_OQMD-EnID-1106353.poscar,-3.396,Fm-3m
ID-5570680_OQMD-EnID-1222388.poscar,-3.2085,F-43m
ID-5574707_OQMD-EnID-1229359.poscar,-3.2517,Amm2
ID-5731041_OQMD-EnID-1343894.poscar,-3.2086,Cmca
ID-5731756_OQMD-EnID-1343302.poscar,-3.2102,P4/nmm
ID-5731814_OQMD-EnID-1343704.poscar,-3.3084,Cmc21
ID-5762818_OQMD-EnID-1243475.poscar,-3.2689,P63/mmc
ID-5762819_OQMD-EnID-1243476.poscar,-3.3502,P63/mmc
ID-5815307_OQMD-EnID-1443633.poscar,-3.3953,I4/mmm
ID-4077030_OQMD-EnID-30117.poscar,-1.9545,P4/nmm
ID-5595077_OQMD-EnID-1236729.poscar,-1.3033,Fd-3m
ID-5756852_OQMD-EnID-1370011.poscar,-1.96,Fm-3m
ID-5947054_OQMD-EnID-1589775.poscar,-1.38,Fd-3m
ID-4124991_OQMD-EnID-304329.poscar,-1.1722,I4/mmm
ID-4144830_OQMD-EnID-314871.poscar,-1.1707,Fm-3m
ID-4159362_OQMD-EnID-324039.poscar,-1.17,P63/mmc
ID-4173810_OQMD-EnID-348525.poscar,-1.0345,Pm-3m
ID-5577073_OQMD-EnID-1232845.poscar,-2.077,P42/mnm
ID-5595089_OQMD-EnID-1236730.poscar,-1.7621,Fd-3m
ID-5960708_OQMD-EnID-1593573.poscar,0.0451,Fd-3m
ID-4274847_OQMD-EnID-350233.poscar,-2.1986,Pm-3m
ID-4517385_OQMD-EnID-30116.poscar,-2.565,C2/m
ID-4812345_OQMD-EnID-426923.poscar,-2.514,R-3c
ID-4817001_OQMD-EnID-665876.poscar,-2.5644,C2/m
ID-4842417_OQMD-EnID-678201.poscar,-2.5128,R-3
ID-5013342_OQMD-EnID-7280.poscar,-2.5044,Ia-3
ID-5082303_OQMD-EnID-5436.poscar,-2.5039,I213
ID-5812776_OQMD-EnID-1440421.poscar,-2.5681,P-3m1
ID-5812821_OQMD-EnID-1442708.poscar,-2.3853,C2
ID-4121421_OQMD-EnID-302955.poscar,-0.4535,I4/mmm
ID-4141470_OQMD-EnID-313497.poscar,-0.0096,Fm-3m
ID-4162830_OQMD-EnID-325413.poscar,-1.2909,P63/mmc
ID-4176246_OQMD-EnID-349899.poscar,-0.2955,Pm-3m
