filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4379688_OQMD-EnID-305101.poscar,-0.6004,Pm-3m
ID-4511184_OQMD-EnID-336643.poscar,-0.3925,P4/mmm
ID-5492068_OQMD-EnID-1104287.poscar,-1.0605,Fm-3m
ID-5570859_OQMD-EnID-1222568.poscar,-1.2479,F-43m
ID-5574879_OQMD-EnID-1229539.poscar,-0.9221,P-6m2
ID-5577755_OQMD-EnID-1234953.poscar,-1.059,R-3m
ID-5812129_OQMD-EnID-1440368.poscar,-1.657,R3m
ID-5814364_OQMD-EnID-1439594.poscar,-1.6507,P63/mmc
ID-5854681_OQMD-EnID-1482554.poscar,-1.7868,Imm2
ID-4957176_OQMD-EnID-711625.poscar,-1.2833,R-3m
ID-4958565_OQMD-EnID-711624.poscar,-1.5472,P1
ID-5596666_OQMD-EnID-1238089.poscar,-1.1524,Fd-3m
ID-5768543_OQMD-EnID-1415731.poscar,-1.1856,Fm-3m
ID-5946967_OQMD-EnID-1589745.poscar,0.6157,Fd-3m
ID-4110843_OQMD-EnID-298614.poscar,-0.2246,I4/mmm
ID-4128780_OQMD-EnID-309152.poscar,0.1425,Fm-3m
ID-4148985_OQMD-EnID-319880.poscar,0.1342,P63/mmc
ID-4166340_OQMD-EnID-344366.poscar,0.2756,Pm-3m
ID-4956888_OQMD-EnID-711626.poscar,-0.2875,Pm-3m
ID-4957860_OQMD-EnID-711621.poscar,-1.0144,C2/m
ID-4959789_OQMD-EnID-711623.poscar,-0.7604,P1
ID-4968456_OQMD-EnID-711627.poscar,-0.6858,Pbca
ID-5033541_OQMD-EnID-711622.poscar,-0.7475,P1
ID-5577198_OQMD-EnID-1233025.poscar,-0.5027,P42/mnm
ID-5596673_OQMD-EnID-1238090.poscar,0.0328,Fd-3m
ID-5768542_OQMD-EnID-1415730.poscar,-0.2541,Fm-3m
ID-5951558_OQMD-EnID-1591307.poscar,0.3095,Fd-3m
ID-4089168_OQMD-EnID-5337.poscar,-2.0729,R-3c
ID-4089405_OQMD-EnID-6425.poscar,-2.1008,C2/m
ID-4092378_OQMD-EnID-20544.poscar,-1.8145,Cmcm
ID-4285143_OQMD-EnID-351879.poscar,-1.0338,Pm-3m
ID-5628982_OQMD-EnID-1277433.poscar,-1.8446,Ia-3d
ID-5731082_OQMD-EnID-1343398.poscar,-0.9993,P1
ID-5731187_OQMD-EnID-1343764.poscar,-2.0187,Cc
ID-5731437_OQMD-EnID-1343770.poscar,-2.0963,P21/c
ID-5731500_OQMD-EnID-1343872.poscar,-2.0733,Ia-3
ID-5812809_OQMD-EnID-1440433.poscar,-1.921,P-3m1
ID-5816285_OQMD-EnID-1440967.poscar,-2.074,C2/c
ID-6035480_OQMD-EnID-1732099.poscar,-2.0306,P63/mmc
ID-4957293_OQMD-EnID-711620.poscar,-0.7139,P4/mmm
ID-4111293_OQMD-EnID-298799.poscar,-0.155,I4/mmm
ID-4129275_OQMD-EnID-309338.poscar,-0.0405,Fm-3m
ID-4148508_OQMD-EnID-319694.poscar,-0.1198,P63/mmc
ID-4794516_OQMD-EnID-344180.poscar,-0.1296,Pm-3m
ID-4958724_OQMD-EnID-711628.poscar,-1.036,P1
ID-4883316_OQMD-EnID-357208.poscar,-1.5869,P4/mmm
ID-6005113_OQMD-EnID-1603188.poscar,0.2316,P6/mmm
ID-4960689_OQMD-EnID-711629.poscar,-1.9238,P4332
ID-4379688_OQMD-EnID-305101.poscar,-0.6004,Pm-3m
ID-4511184_OQMD-EnID-336643.poscar,-0.3925,P4/mmm
ID-5492068_OQMD-EnID-1104287.poscar,-1.0605,Fm-3m
ID-5570859_OQMD-EnID-1222568.poscar,-1.2479,F-43m
ID-5574879_OQMD-EnID-1229539.poscar,-0.9221,P-6m2
ID-5577755_OQMD-EnID-1234953.poscar,-1.059,R-3m
ID-5812129_OQMD-EnID-1440368.poscar,-1.657,R3m
ID-5814364_OQMD-EnID-1439594.poscar,-1.6507,P63/mmc
ID-5854681_OQMD-EnID-1482554.poscar,-1.7868,Imm2
ID-4957176_OQMD-EnID-711625.poscar,-1.2833,R-3m
ID-4958565_OQMD-EnID-711624.poscar,-1.5472,P1
ID-5596666_OQMD-EnID-1238089.poscar,-1.1524,Fd-3m
ID-5768543_OQMD-EnID-1415731.poscar,-1.1856,Fm-3m
ID-5946967_OQMD-EnID-1589745.poscar,0.6157,Fd-3m
ID-4110843_OQMD-EnID-298614.poscar,-0.2246,I4/mmm
ID-4128780_OQMD-EnID-309152.poscar,0.1425,Fm-3m
