filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4063095_OQMD-EnID-4731.poscar,-2.8876,F-43m
ID-4435731_OQMD-EnID-305611.poscar,-2.4125,Pm-3m
ID-4512483_OQMD-EnID-337153.poscar,-2.4053,P4/mmm
ID-5492574_OQMD-EnID-1104796.poscar,-3.0082,Fm-3m
ID-5570917_OQMD-EnID-1222626.poscar,-2.8874,F-43m
ID-5573033_OQMD-EnID-1226111.poscar,-2.9714,P63mc
ID-5574937_OQMD-EnID-1229597.poscar,-2.757,P-6m2
ID-5577763_OQMD-EnID-1234961.poscar,-3.007,R-3m
ID-5596707_OQMD-EnID-1238110.poscar,-2.4534,Fd-3m
ID-5947055_OQMD-EnID-1589776.poscar,-0.9393,Fd-3m
ID-4113621_OQMD-EnID-299769.poscar,-1.708,I4/mmm
ID-4132308_OQMD-EnID-310311.poscar,-1.7953,Fm-3m
ID-4151604_OQMD-EnID-320922.poscar,-1.7615,P63/mmc
ID-4168152_OQMD-EnID-345408.poscar,-1.7036,Pm-3m
ID-5577205_OQMD-EnID-1233083.poscar,-1.9509,P42/mnm
ID-5596704_OQMD-EnID-1238111.poscar,-1.0594,Fd-3m
ID-5961048_OQMD-EnID-1593649.poscar,0.5304,Fd-3m
ID-4070793_OQMD-EnID-20292.poscar,-3.7419,P-3m1
ID-4082784_OQMD-EnID-5435.poscar,-3.78,I213
ID-4295271_OQMD-EnID-352983.poscar,-2.8499,Pm-3m
ID-4508805_OQMD-EnID-20306.poscar,-3.7547,C2/m
ID-4812003_OQMD-EnID-427161.poscar,-3.739,R-3c
ID-4840671_OQMD-EnID-678220.poscar,-3.7388,R-3
ID-5012109_OQMD-EnID-7281.poscar,-3.7926,Ia-3
ID-5731416_OQMD-EnID-1343367.poscar,-3.6629,Pnma
ID-5812952_OQMD-EnID-1442709.poscar,-3.5827,P321
ID-5813158_OQMD-EnID-1444194.poscar,-3.5794,P-62m
ID-4113786_OQMD-EnID-299838.poscar,-0.1193,I4/mmm
ID-4132473_OQMD-EnID-310380.poscar,0.1875,Fm-3m
ID-4151424_OQMD-EnID-320853.poscar,-0.8631,P63/mmc
ID-4795536_OQMD-EnID-345339.poscar,-0.0108,Pm-3m
ID-4887198_OQMD-EnID-358312.poscar,-3.091,P4/mmm
