filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4437006_OQMD-EnID-305628.poscar,-0.5037,Pm-3m
ID-4512528_OQMD-EnID-337170.poscar,-0.3184,P4/mmm
ID-5492591_OQMD-EnID-1104813.poscar,-0.8549,Fm-3m
ID-5570974_OQMD-EnID-1222683.poscar,-0.8007,F-43m
ID-5574994_OQMD-EnID-1229654.poscar,-0.719,P-6m2
ID-5577768_OQMD-EnID-1234966.poscar,-0.8441,R-3m
ID-5731042_OQMD-EnID-1343395.poscar,-1.2679,Cmca
ID-5731676_OQMD-EnID-1343905.poscar,-1.0796,R3m
ID-5731926_OQMD-EnID-1344085.poscar,-1.3452,Pnma
ID-5766125_OQMD-EnID-1244009.poscar,-0.7636,P63/mmc
ID-5766283_OQMD-EnID-1244010.poscar,-0.7713,P63/mmc
ID-5812209_OQMD-EnID-1441707.poscar,-1.1614,Cmcm
ID-6033235_OQMD-EnID-1733404.poscar,-1.2735,P4/nmm
ID-4071318_OQMD-EnID-2476.poscar,-1.8889,P42/mnm
ID-4073292_OQMD-EnID-20164.poscar,-1.8856,Pnnm
ID-4083639_OQMD-EnID-12165.poscar,-1.8864,P3221
ID-4083921_OQMD-EnID-22613.poscar,-1.8877,P3121
ID-4095105_OQMD-EnID-4420.poscar,-1.8825,P41212
ID-4106913_OQMD-EnID-16304.poscar,-1.8447,Pbcn
ID-4107027_OQMD-EnID-16305.poscar,-1.6648,Pa-3
ID-4810947_OQMD-EnID-644803.poscar,-1.8867,Pnnm
ID-4813188_OQMD-EnID-644805.poscar,-1.6645,Pa-3
ID-4813203_OQMD-EnID-644804.poscar,-1.85,Pbcn
ID-4852953_OQMD-EnID-684132.poscar,-1.8607,P21/c
ID-5595955_OQMD-EnID-1237252.poscar,-1.7743,Fd-3m
ID-5731346_OQMD-EnID-1343346.poscar,-1.8701,I-42d
ID-5731511_OQMD-EnID-1343381.poscar,-1.6814,Pbam
ID-5731849_OQMD-EnID-1344051.poscar,-1.8371,I41/amd
ID-5768005_OQMD-EnID-1415587.poscar,-1.2315,Fm-3m
ID-5811539_OQMD-EnID-1440172.poscar,-1.7454,P-3m1
ID-5811608_OQMD-EnID-1440815.poscar,-1.7533,C2/m
ID-5812124_OQMD-EnID-1444250.poscar,-1.1232,P2/m
ID-5814053_OQMD-EnID-1444270.poscar,-1.657,Pmm2
ID-5814306_OQMD-EnID-1442695.poscar,-1.6104,Ibam
ID-5814935_OQMD-EnID-1443665.poscar,-1.8847,I-42d
ID-5815452_OQMD-EnID-1440705.poscar,-1.8573,C2/m
ID-5815814_OQMD-EnID-1443268.poscar,-1.8259,P6222
ID-5815820_OQMD-EnID-1443960.poscar,-1.8361,R32
ID-5815875_OQMD-EnID-1444330.poscar,-1.8542,P3121
ID-5816305_OQMD-EnID-1444289.poscar,-1.7352,P1
ID-5816823_OQMD-EnID-1439689.poscar,-1.7788,C2/m
ID-5816851_OQMD-EnID-1439863.poscar,-1.7839,Pnma
ID-5816999_OQMD-EnID-1440624.poscar,-1.855,Pna21
ID-5817281_OQMD-EnID-1441616.poscar,-1.8906,P212121
ID-5817418_OQMD-EnID-1441671.poscar,-1.8287,P21/m
ID-5817621_OQMD-EnID-1443008.poscar,-1.8255,C2221
ID-5817634_OQMD-EnID-1443383.poscar,-1.8249,C2/c
ID-5817785_OQMD-EnID-1443546.poscar,-1.6885,Pm
ID-5817786_OQMD-EnID-1443548.poscar,-1.576,P2
ID-5817802_OQMD-EnID-1443542.poscar,-1.8237,C2
ID-5817844_OQMD-EnID-1443958.poscar,-1.7316,I4122
ID-5817849_OQMD-EnID-1444376.poscar,-1.8577,I4/m
ID-5817853_OQMD-EnID-1443670.poscar,-1.8862,P-4
ID-5817866_OQMD-EnID-1443544.poscar,-1.7759,I212121
ID-5817876_OQMD-EnID-1444296.poscar,-1.8244,Fddd
ID-5817900_OQMD-EnID-1443540.poscar,-1.8626,Ima2
ID-5818182_OQMD-EnID-1441437.poscar,-1.8111,P1
ID-5838326_OQMD-EnID-1473891.poscar,-1.2239,P63/mmc
ID-5838421_OQMD-EnID-1473957.poscar,-1.7749,R-3m
ID-5838450_OQMD-EnID-1473037.poscar,-1.2131,P63/mmc
ID-5839013_OQMD-EnID-1472670.poscar,-1.7405,P42/nmc
ID-5841838_OQMD-EnID-1473235.poscar,-1.7718,P-1
ID-5845807_OQMD-EnID-1472785.poscar,-1.8539,P3121
ID-5911723_OQMD-EnID-1473543.poscar,-1.2138,P63/mmc
ID-5912764_OQMD-EnID-1442960.poscar,-1.852,P21/c
ID-5946968_OQMD-EnID-1589746.poscar,0.6223,Fd-3m
ID-4111827_OQMD-EnID-299026.poscar,0.0932,I4/mmm
