filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4065381_OQMD-EnID-3506.poscar,-0.3247,Immm
ID-4076274_OQMD-EnID-4517.poscar,-0.4544,P3121
ID-4079652_OQMD-EnID-2854.poscar,-0.453,Pnma
ID-4378749_OQMD-EnID-305045.poscar,-0.0113,Pm-3m
ID-4511025_OQMD-EnID-336587.poscar,-0.0034,P4/mmm
ID-4781739_OQMD-EnID-6184.poscar,-0.4483,P-1
ID-5492013_OQMD-EnID-1104231.poscar,-0.3256,Fm-3m
ID-5571139_OQMD-EnID-1222848.poscar,-0.3678,F-43m
ID-5575157_OQMD-EnID-1229819.poscar,-0.2154,P-6m2
ID-5577804_OQMD-EnID-1235002.poscar,-0.3168,R-3m
ID-5731043_OQMD-EnID-1343810.poscar,-0.2016,Cmc21
ID-5731738_OQMD-EnID-1343525.poscar,-0.3431,C2/c
ID-5731753_OQMD-EnID-1343458.poscar,-0.3691,Cmc21
ID-5763200_OQMD-EnID-1243621.poscar,-0.2567,P63/mmc
ID-5763281_OQMD-EnID-1243622.poscar,-0.27,P63/mmc
ID-5811510_OQMD-EnID-1443172.poscar,-0.3212,I4/mmm
ID-5811845_OQMD-EnID-1440226.poscar,-0.1647,P4/nmm
ID-5811982_OQMD-EnID-1444343.poscar,-0.3232,C2/m
ID-5812243_OQMD-EnID-1441855.poscar,-0.3722,P63mc
ID-5812317_OQMD-EnID-1442286.poscar,-0.3251,Pmmn
ID-5812388_OQMD-EnID-1442540.poscar,-0.3294,P42/mmc
ID-5814032_OQMD-EnID-1443480.poscar,-0.4603,P3221
ID-5911508_OQMD-EnID-1473473.poscar,-0.3255,R3m
ID-4801818_OQMD-EnID-646333.poscar,-0.1344,C2/m
ID-4813905_OQMD-EnID-671355.poscar,-0.1344,C2/m
ID-4850103_OQMD-EnID-671493.poscar,-0.1344,C2/m
ID-5595457_OQMD-EnID-1236870.poscar,0.6234,Fd-3m
ID-5778647_OQMD-EnID-1416634.poscar,0.2988,Fm-3m
ID-5947101_OQMD-EnID-1589792.poscar,0.8953,Fd-3m
ID-4120953_OQMD-EnID-302755.poscar,0.7962,I4/mmm
ID-4140969_OQMD-EnID-313297.poscar,0.9079,Fm-3m
ID-4148757_OQMD-EnID-319788.poscar,0.9796,P63/mmc
ID-4166157_OQMD-EnID-344274.poscar,1.0596,Pm-3m
ID-5726331_OQMD-EnID-1338388.poscar,0.0988,Cm
ID-5732112_OQMD-EnID-1343154.poscar,-0.1291,P2/c
ID-5577232_OQMD-EnID-1233305.poscar,0.0102,P42/mnm
ID-5595402_OQMD-EnID-1236871.poscar,0.0498,Fd-3m
ID-5743711_OQMD-EnID-1360802.poscar,-0.09,I-4c2
ID-5745901_OQMD-EnID-1361131.poscar,-0.1316,I41/amd
ID-5778645_OQMD-EnID-1416633.poscar,0.0503,Fm-3m
ID-5964112_OQMD-EnID-1594850.poscar,0.6819,Fd-3m
ID-4300707_OQMD-EnID-354205.poscar,0.2466,Pm-3m
ID-4812237_OQMD-EnID-427383.poscar,-0.0864,R-3c
ID-4111059_OQMD-EnID-298708.poscar,0.2842,I4/mmm
ID-4129038_OQMD-EnID-309246.poscar,0.2987,Fm-3m
ID-4158864_OQMD-EnID-323839.poscar,0.0419,P63/mmc
ID-4797879_OQMD-EnID-348325.poscar,0.2899,Pm-3m
ID-4890687_OQMD-EnID-359534.poscar,0.0074,P4/mmm
ID-5632323_OQMD-EnID-1281167.poscar,0.0294,Fd-3m
ID-5632324_OQMD-EnID-1281362.poscar,0.0328,Fd-3m
ID-6005428_OQMD-EnID-1603233.poscar,0.4682,P6/mmm
ID-4065381_OQMD-EnID-3506.poscar,-0.3247,Immm
ID-4076274_OQMD-EnID-4517.poscar,-0.4544,P3121
ID-4079652_OQMD-EnID-2854.poscar,-0.453,Pnma
ID-4378749_OQMD-EnID-305045.poscar,-0.0113,Pm-3m
ID-4511025_OQMD-EnID-336587.poscar,-0.0034,P4/mmm
ID-4781739_OQMD-EnID-6184.poscar,-0.4483,P-1
ID-5492013_OQMD-EnID-1104231.poscar,-0.3256,Fm-3m
ID-5571139_OQMD-EnID-1222848.poscar,-0.3678,F-43m
ID-5575157_OQMD-EnID-1229819.poscar,-0.2154,P-6m2
ID-5577804_OQMD-EnID-1235002.poscar,-0.3168,R-3m
ID-5731043_OQMD-EnID-1343810.poscar,-0.2016,Cmc21
ID-5731738_OQMD-EnID-1343525.poscar,-0.3431,C2/c
ID-5731753_OQMD-EnID-1343458.poscar,-0.3691,Cmc21
ID-5763200_OQMD-EnID-1243621.poscar,-0.2567,P63/mmc
ID-5763281_OQMD-EnID-1243622.poscar,-0.27,P63/mmc
ID-5811510_OQMD-EnID-1443172.poscar,-0.3212,I4/mmm
ID-5811845_OQMD-EnID-1440226.poscar,-0.1647,P4/nmm
ID-5811982_OQMD-EnID-1444343.poscar,-0.3232,C2/m
ID-5812243_OQMD-EnID-1441855.poscar,-0.3722,P63mc
ID-5812317_OQMD-EnID-1442286.poscar,-0.3251,Pmmn
ID-5812388_OQMD-EnID-1442540.poscar,-0.3294,P42/mmc
ID-5814032_OQMD-EnID-1443480.poscar,-0.4603,P3221
ID-5911508_OQMD-EnID-1473473.poscar,-0.3255,R3m
ID-4801818_OQMD-EnID-646333.poscar,-0.1344,C2/m
ID-4813905_OQMD-EnID-671355.poscar,-0.1344,C2/m
ID-4850103_OQMD-EnID-671493.poscar,-0.1344,C2/m
ID-5595457_OQMD-EnID-1236870.poscar,0.6234,Fd-3m
ID-5778647_OQMD-EnID-1416634.poscar,0.2988,Fm-3m
ID-5947101_OQMD-EnID-1589792.poscar,0.8953,Fd-3m
ID-4120953_OQMD-EnID-302755.poscar,0.7962,I4/mmm
ID-4140969_OQMD-EnID-313297.poscar,0.9079,Fm-3m
ID-4148757_OQMD-EnID-319788.poscar,0.9796,P63/mmc
ID-4166157_OQMD-EnID-344274.poscar,1.0596,Pm-3m
ID-5726331_OQMD-EnID-1338388.poscar,0.0988,Cm
ID-5732112_OQMD-EnID-1343154.poscar,-0.1291,P2/c
ID-5577232_OQMD-EnID-1233305.poscar,0.0102,P42/mnm
ID-5595402_OQMD-EnID-1236871.poscar,0.0498,Fd-3m
ID-5743711_OQMD-EnID-1360802.poscar,-0.09,I-4c2
ID-5745901_OQMD-EnID-1361131.poscar,-0.1316,I41/amd
ID-5778645_OQMD-EnID-1416633.poscar,0.0503,Fm-3m
ID-5964112_OQMD-EnID-1594850.poscar,0.6819,Fd-3m
ID-4300707_OQMD-EnID-354205.poscar,0.2466,Pm-3m
ID-4812237_OQMD-EnID-427383.poscar,-0.0864,R-3c
ID-4111059_OQMD-EnID-298708.poscar,0.2842,I4/mmm
ID-4129038_OQMD-EnID-309246.poscar,0.2987,Fm-3m
ID-4158864_OQMD-EnID-323839.poscar,0.0419,P63/mmc
ID-4797879_OQMD-EnID-348325.poscar,0.2899,Pm-3m
ID-4890687_OQMD-EnID-359534.poscar,0.0074,P4/mmm
ID-5632323_OQMD-EnID-1281167.poscar,0.0294,Fd-3m
ID-5632324_OQMD-EnID-1281362.poscar,0.0328,Fd-3m
ID-6005428_OQMD-EnID-1603233.poscar,0.4682,P6/mmm
ID-4065381_OQMD-EnID-3506.poscar,-0.3247,Immm
ID-4076274_OQMD-EnID-4517.poscar,-0.4544,P3121
ID-4079652_OQMD-EnID-2854.poscar,-0.453,Pnma
ID-4378749_OQMD-EnID-305045.poscar,-0.0113,Pm-3m
ID-4511025_OQMD-EnID-336587.poscar,-0.0034,P4/mmm
ID-4781739_OQMD-EnID-6184.poscar,-0.4483,P-1
ID-5492013_OQMD-EnID-1104231.poscar,-0.3256,Fm-3m
ID-5571139_OQMD-EnID-1222848.poscar,-0.3678,F-43m
ID-5575157_OQMD-EnID-1229819.poscar,-0.2154,P-6m2
ID-5577804_OQMD-EnID-1235002.poscar,-0.3168,R-3m
ID-5731043_OQMD-EnID-1343810.poscar,-0.2016,Cmc21
ID-5731738_OQMD-EnID-1343525.poscar,-0.3431,C2/c
ID-5731753_OQMD-EnID-1343458.poscar,-0.3691,Cmc21
ID-5763200_OQMD-EnID-1243621.poscar,-0.2567,P63/mmc
ID-5763281_OQMD-EnID-1243622.poscar,-0.27,P63/mmc
ID-5811510_OQMD-EnID-1443172.poscar,-0.3212,I4/mmm
ID-5811845_OQMD-EnID-1440226.poscar,-0.1647,P4/nmm
ID-5811982_OQMD-EnID-1444343.poscar,-0.3232,C2/m
ID-5812243_OQMD-EnID-1441855.poscar,-0.3722,P63mc
ID-5812317_OQMD-EnID-1442286.poscar,-0.3251,Pmmn
ID-5812388_OQMD-EnID-1442540.poscar,-0.3294,P42/mmc
ID-5814032_OQMD-EnID-1443480.poscar,-0.4603,P3221
ID-5911508_OQMD-EnID-1473473.poscar,-0.3255,R3m
ID-4801818_OQMD-EnID-646333.poscar,-0.1344,C2/m
ID-4813905_OQMD-EnID-671355.poscar,-0.1344,C2/m
ID-4850103_OQMD-EnID-671493.poscar,-0.1344,C2/m
