filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4484166_OQMD-EnID-307332.poscar,-2.3573,Pm-3m
ID-4517262_OQMD-EnID-338874.poscar,-2.0893,P4/mmm
ID-5494294_OQMD-EnID-1106517.poscar,-3.0023,Fm-3m
ID-5571192_OQMD-EnID-1222901.poscar,-2.9405,F-43m
ID-5575208_OQMD-EnID-1229872.poscar,-2.7611,P-6m2
ID-5577806_OQMD-EnID-1235004.poscar,-3.0015,R-3m
ID-5758452_OQMD-EnID-1364536.poscar,-3.2861,C2/m
ID-5947059_OQMD-EnID-1589779.poscar,-0.8684,Fd-3m
ID-4112838_OQMD-EnID-299444.poscar,-1.7312,I4/mmm
ID-4131417_OQMD-EnID-309986.poscar,-1.7891,Fm-3m
ID-4160085_OQMD-EnID-324329.poscar,-1.7779,P63/mmc
ID-4174347_OQMD-EnID-348815.poscar,-1.7136,Pm-3m
ID-5577239_OQMD-EnID-1233358.poscar,-1.9677,P42/mnm
ID-5961758_OQMD-EnID-1593878.poscar,0.6,Fd-3m
ID-4070838_OQMD-EnID-20295.poscar,-3.806,P-3m1
ID-4082778_OQMD-EnID-5433.poscar,-3.8617,I213
ID-4287207_OQMD-EnID-351811.poscar,-2.9272,Pm-3m
ID-4811985_OQMD-EnID-427436.poscar,-3.8229,R-3c
ID-4815678_OQMD-EnID-26924.poscar,-3.8291,C2/m
ID-4999701_OQMD-EnID-5389.poscar,-3.8741,Ia-3
ID-5731567_OQMD-EnID-1343365.poscar,-3.8234,P21/m
ID-5812955_OQMD-EnID-1442712.poscar,-3.6648,P321
ID-5813211_OQMD-EnID-1444199.poscar,-3.6627,P321
ID-5816308_OQMD-EnID-1440969.poscar,-3.8206,C2/c
ID-4122108_OQMD-EnID-303245.poscar,-0.1215,I4/mmm
ID-4142169_OQMD-EnID-313787.poscar,0.2025,Fm-3m
ID-4150581_OQMD-EnID-320528.poscar,-0.891,P63/mmc
ID-4795230_OQMD-EnID-345014.poscar,0.0171,Pm-3m
ID-4884039_OQMD-EnID-357140.poscar,-3.1129,P4/mmm
ID-6005550_OQMD-EnID-1603220.poscar,0.7913,P6/mmm
ID-4484166_OQMD-EnID-307332.poscar,-2.3573,Pm-3m
ID-4517262_OQMD-EnID-338874.poscar,-2.0893,P4/mmm
ID-5494294_OQMD-EnID-1106517.poscar,-3.0023,Fm-3m
ID-5571192_OQMD-EnID-1222901.poscar,-2.9405,F-43m
ID-5575208_OQMD-EnID-1229872.poscar,-2.7611,P-6m2
ID-5577806_OQMD-EnID-1235004.poscar,-3.0015,R-3m
ID-5758452_OQMD-EnID-1364536.poscar,-3.2861,C2/m
ID-5947059_OQMD-EnID-1589779.poscar,-0.8684,Fd-3m
ID-4112838_OQMD-EnID-299444.poscar,-1.7312,I4/mmm
ID-4131417_OQMD-EnID-309986.poscar,-1.7891,Fm-3m
ID-4160085_OQMD-EnID-324329.poscar,-1.7779,P63/mmc
