filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4481109_OQMD-EnID-307009.poscar,-0.6167,Pm-3m
ID-4516389_OQMD-EnID-338551.poscar,-0.6065,P4/mmm
ID-5493972_OQMD-EnID-1106194.poscar,-1.0708,Fm-3m
ID-5571295_OQMD-EnID-1223004.poscar,-1.2396,F-43m
ID-5575310_OQMD-EnID-1229975.poscar,-0.925,Amm2
ID-5577821_OQMD-EnID-1235019.poscar,-1.0695,R-3m
ID-5854733_OQMD-EnID-1482556.poscar,-1.5541,Immm
ID-6045142_OQMD-EnID-1742276.poscar,-1.3141,Cm
ID-5637987_OQMD-EnID-1285522.poscar,-1.1788,Pnma
ID-5947021_OQMD-EnID-1589762.poscar,0.469,Fd-3m
ID-4127286_OQMD-EnID-308555.poscar,-0.0486,Fm-3m
ID-4158573_OQMD-EnID-323718.poscar,-0.0284,P63/mmc
ID-4173252_OQMD-EnID-348204.poscar,0.0379,Pm-3m
ID-5577297_OQMD-EnID-1233461.poscar,-0.5093,P42/mnm
ID-5744259_OQMD-EnID-1360985.poscar,-0.0327,Fd-3m
ID-5957245_OQMD-EnID-1592590.poscar,0.4738,Fd-3m
ID-6033945_OQMD-EnID-1739206.poscar,-0.7972,C2/m
ID-6042218_OQMD-EnID-1745787.poscar,-0.3149,Fm-3m
ID-4082880_OQMD-EnID-6308.poscar,-1.8311,I213
ID-4089138_OQMD-EnID-3314.poscar,-1.8141,R-3c
ID-4291476_OQMD-EnID-352557.poscar,-0.9498,Pm-3m
ID-4822317_OQMD-EnID-20543.poscar,-1.5989,Pnma
ID-4822479_OQMD-EnID-116705.poscar,-1.5937,Pnma
ID-4822629_OQMD-EnID-22376.poscar,-1.7961,Pbcn
ID-4844646_OQMD-EnID-679393.poscar,-1.8177,R-3
ID-4862154_OQMD-EnID-2940.poscar,-1.844,Ia-3
ID-4862256_OQMD-EnID-682630.poscar,-1.7377,Pnma
ID-5188623_OQMD-EnID-826127.poscar,-1.6806,R-3c
ID-5628985_OQMD-EnID-1277436.poscar,-1.6182,Ia-3d
ID-5731189_OQMD-EnID-1343860.poscar,-1.7628,C2/c
ID-5731196_OQMD-EnID-1343964.poscar,-1.7525,C2/m
ID-5731433_OQMD-EnID-1343406.poscar,-1.6638,P21/c
ID-5731606_OQMD-EnID-1343334.poscar,-1.7345,I41/amd
ID-5812781_OQMD-EnID-1440424.poscar,-1.6719,P-3m1
ID-5812939_OQMD-EnID-1442231.poscar,-1.7525,R3m
ID-5813121_OQMD-EnID-1441377.poscar,-1.6461,R-3m
ID-5816170_OQMD-EnID-1441684.poscar,-1.657,Cmcm
ID-5816722_OQMD-EnID-1443962.poscar,-1.7339,P1
ID-5846061_OQMD-EnID-1472497.poscar,-1.6348,P1
ID-6035482_OQMD-EnID-1732101.poscar,-1.76,P63/mmc
ID-4140666_OQMD-EnID-313176.poscar,-0.0072,Fm-3m
ID-4794024_OQMD-EnID-343583.poscar,-0.0778,Pm-3m
ID-4885932_OQMD-EnID-357886.poscar,-1.4543,P4/mmm
ID-5632333_OQMD-EnID-1281182.poscar,-1.4159,Fd-3m
ID-5632334_OQMD-EnID-1281189.poscar,-1.4099,Fd-3m
ID-6005422_OQMD-EnID-1603204.poscar,0.3062,P6/mmm
ID-4481109_OQMD-EnID-307009.poscar,-0.6167,Pm-3m
ID-4516389_OQMD-EnID-338551.poscar,-0.6065,P4/mmm
ID-5493972_OQMD-EnID-1106194.poscar,-1.0708,Fm-3m
ID-5571295_OQMD-EnID-1223004.poscar,-1.2396,F-43m
ID-5575310_OQMD-EnID-1229975.poscar,-0.925,Amm2
ID-5577821_OQMD-EnID-1235019.poscar,-1.0695,R-3m
ID-5854733_OQMD-EnID-1482556.poscar,-1.5541,Immm
ID-6045142_OQMD-EnID-1742276.poscar,-1.3141,Cm
ID-5637987_OQMD-EnID-1285522.poscar,-1.1788,Pnma
ID-5947021_OQMD-EnID-1589762.poscar,0.469,Fd-3m
ID-4127286_OQMD-EnID-308555.poscar,-0.0486,Fm-3m
ID-4158573_OQMD-EnID-323718.poscar,-0.0284,P63/mmc
ID-4173252_OQMD-EnID-348204.poscar,0.0379,Pm-3m
ID-5577297_OQMD-EnID-1233461.poscar,-0.5093,P42/mnm
ID-5744259_OQMD-EnID-1360985.poscar,-0.0327,Fd-3m
ID-5957245_OQMD-EnID-1592590.poscar,0.4738,Fd-3m
ID-6033945_OQMD-EnID-1739206.poscar,-0.7972,C2/m
ID-6042218_OQMD-EnID-1745787.poscar,-0.3149,Fm-3m
ID-4082880_OQMD-EnID-6308.poscar,-1.8311,I213
