filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4488543_OQMD-EnID-307799.poscar,0.7778,Pm-3m
ID-4508325_OQMD-EnID-328883.poscar,0.3099,R-3m
ID-4518552_OQMD-EnID-339341.poscar,1.1524,P4/mmm
ID-5494758_OQMD-EnID-1106984.poscar,0.7792,Fm-3m
ID-5571345_OQMD-EnID-1223054.poscar,0.4505,F-43m
ID-5575359_OQMD-EnID-1230025.poscar,0.4457,P-6m2
ID-4074885_OQMD-EnID-10054.poscar,-1.0643,P42/mnm
ID-5592867_OQMD-EnID-1250635.poscar,-0.97,Pa-3
ID-5597930_OQMD-EnID-1239621.poscar,-0.3144,Fd-3m
ID-5632033_OQMD-EnID-1280877.poscar,-0.9667,Pa-3
ID-5637635_OQMD-EnID-1285292.poscar,-0.6696,Fm-3m
ID-5637636_OQMD-EnID-1285291.poscar,-0.6696,Fm-3m
ID-5731067_OQMD-EnID-1343605.poscar,-1.0569,P21/c
ID-5731271_OQMD-EnID-1343577.poscar,-0.9597,Pbcn
ID-5731460_OQMD-EnID-1344084.poscar,-0.9406,I4/m
ID-5731467_OQMD-EnID-1344006.poscar,-1.0122,Pnma
ID-5731793_OQMD-EnID-1343987.poscar,-1.0564,P21/c
ID-5731993_OQMD-EnID-1343207.poscar,-0.9964,C2/m
ID-5769092_OQMD-EnID-1415994.poscar,-0.6723,Fm-3m
ID-5813039_OQMD-EnID-1439729.poscar,-1.0662,Pnnm
ID-5813510_OQMD-EnID-1442560.poscar,-0.7998,P63mc
ID-5813521_OQMD-EnID-1442803.poscar,-0.2868,Pn-3m
ID-5838325_OQMD-EnID-1474156.poscar,-0.8122,P-3m1
ID-5838424_OQMD-EnID-1473399.poscar,-0.8084,P-3m1
ID-5848906_OQMD-EnID-1472995.poscar,-0.7397,Pbca
ID-5947097_OQMD-EnID-1589789.poscar,1.4986,Fd-3m
ID-6047184_OQMD-EnID-1753568.poscar,-0.801,I41/amd
ID-4110828_OQMD-EnID-298609.poscar,0.5181,I4/mmm
ID-4128768_OQMD-EnID-309147.poscar,0.5228,Fm-3m
ID-4162521_OQMD-EnID-325288.poscar,0.1735,P63/mmc
ID-4799130_OQMD-EnID-349774.poscar,0.952,Pm-3m
ID-4857357_OQMD-EnID-690788.poscar,-0.7798,C2/m
ID-4906047_OQMD-EnID-694982.poscar,-0.7156,C2
ID-4906167_OQMD-EnID-694981.poscar,-0.7947,C2
ID-5121996_OQMD-EnID-825007.poscar,-0.7769,C2
ID-5122092_OQMD-EnID-825035.poscar,-0.6605,P1
ID-5122158_OQMD-EnID-825034.poscar,-0.6593,P1
ID-5783687_OQMD-EnID-1376066.poscar,-0.8429,R-3c
ID-6009346_OQMD-EnID-1708421.poscar,-0.8407,R-3c
ID-6009525_OQMD-EnID-1710517.poscar,-0.6528,P4/nmm
ID-6014360_OQMD-EnID-1710518.poscar,-0.7565,P6/mmm
ID-6058469_OQMD-EnID-1758933.poscar,-0.6515,P21/m
ID-6058473_OQMD-EnID-1758934.poscar,-0.7215,P4/ncc
ID-5701071_OQMD-EnID-1270036.poscar,-0.3511,C2/m
ID-5726341_OQMD-EnID-1338389.poscar,-0.3515,C2/m
ID-5732113_OQMD-EnID-1343155.poscar,-0.5091,P2/c
ID-5758040_OQMD-EnID-1373178.poscar,-0.6093,P2/m
ID-5577303_OQMD-EnID-1233511.poscar,0.9932,P42/mnm
ID-5597933_OQMD-EnID-1239622.poscar,1.3617,Fd-3m
ID-5769091_OQMD-EnID-1415993.poscar,1.0587,Fm-3m
ID-5963533_OQMD-EnID-1594625.poscar,1.61,Fd-3m
ID-4304193_OQMD-EnID-354267.poscar,0.4315,Pm-3m
ID-4811379_OQMD-EnID-427589.poscar,-0.5545,R-3c
ID-6044726_OQMD-EnID-1744303.poscar,-0.6784,C2/m
ID-6048070_OQMD-EnID-1753393.poscar,-0.5528,C2/c
ID-4900578_OQMD-EnID-694434.poscar,-0.581,Cm
ID-4900812_OQMD-EnID-694433.poscar,-0.5777,P1
ID-5814365_OQMD-EnID-1443330.poscar,-0.7744,C2/m
ID-5814448_OQMD-EnID-1444130.poscar,-0.4623,C2
ID-4124670_OQMD-EnID-304204.poscar,0.6131,I4/mmm
ID-4144533_OQMD-EnID-314746.poscar,0.6555,Fm-3m
ID-4148493_OQMD-EnID-319689.poscar,0.5149,P63/mmc
ID-4794513_OQMD-EnID-344175.poscar,1.0527,Pm-3m
