filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4079322_OQMD-EnID-4777.poscar,-1.2654,Cmca
ID-4481349_OQMD-EnID-307034.poscar,-0.6906,Pm-3m
ID-4793460_OQMD-EnID-338576.poscar,-0.6572,P4/mmm
ID-5493997_OQMD-EnID-1106219.poscar,-0.6646,Fm-3m
ID-5571393_OQMD-EnID-1223103.poscar,-0.5361,F-43m
ID-5575408_OQMD-EnID-1230074.poscar,-0.6511,P-6m2
ID-5577827_OQMD-EnID-1235025.poscar,-0.6631,R-3m
ID-4065456_OQMD-EnID-6949.poscar,-1.0817,I4/mmm
ID-4810302_OQMD-EnID-115588.poscar,-1.0748,I4/mmm
ID-4815732_OQMD-EnID-45036.poscar,-0.9918,C2/c
ID-5597772_OQMD-EnID-1239462.poscar,1.0274,Fd-3m
ID-5769124_OQMD-EnID-1415971.poscar,0.4957,Fm-3m
ID-5946935_OQMD-EnID-1589733.poscar,0.0042,Fd-3m
ID-4111929_OQMD-EnID-299069.poscar,0.8104,I4/mmm
ID-4130166_OQMD-EnID-309611.poscar,0.8236,Fm-3m
ID-4158693_OQMD-EnID-323766.poscar,0.0918,P63/mmc
ID-4784277_OQMD-EnID-5502.poscar,-0.8802,I4/mcm
ID-4797813_OQMD-EnID-348252.poscar,0.7835,Pm-3m
ID-4817517_OQMD-EnID-48974.poscar,-0.881,I4/mcm
ID-4064562_OQMD-EnID-8501.poscar,-1.1637,Fm-3m
ID-5577309_OQMD-EnID-1233560.poscar,-1.1367,P42/mnm
ID-5597753_OQMD-EnID-1239463.poscar,-0.9621,Fd-3m
ID-5731177_OQMD-EnID-1343477.poscar,-1.1065,R-3m
ID-5731237_OQMD-EnID-1343292.poscar,-1.1259,Pnma
ID-5731334_OQMD-EnID-1343726.poscar,-0.9509,Pn-3m
ID-5731533_OQMD-EnID-1343901.poscar,-1.1038,R3
ID-5731711_OQMD-EnID-1343749.poscar,-1.1624,R-3m
ID-5731952_OQMD-EnID-1343957.poscar,-1.1084,Fdd2
ID-5811762_OQMD-EnID-1440138.poscar,-1.081,P-3m1
ID-5813056_OQMD-EnID-1439943.poscar,-1.0905,C2/m
ID-5813319_OQMD-EnID-1440203.poscar,-1.0315,P63/mmc
ID-5813325_OQMD-EnID-1440521.poscar,-1.0923,P4/nmm
ID-5813791_OQMD-EnID-1443213.poscar,-1.0342,Cmcm
ID-5838413_OQMD-EnID-1473847.poscar,-1.1137,P63mc
ID-5838637_OQMD-EnID-1472933.poscar,-1.1591,P1
ID-5839014_OQMD-EnID-1472832.poscar,-1.1623,P42/nmc
ID-5839319_OQMD-EnID-1472539.poscar,-0.9815,Ibam
ID-5839369_OQMD-EnID-1473492.poscar,-0.9803,Ibam
ID-5842806_OQMD-EnID-1473098.poscar,-1.1218,P212121
ID-5845934_OQMD-EnID-1472630.poscar,-1.0983,P21/c
ID-5948545_OQMD-EnID-1590408.poscar,0.1948,Fd-3m
ID-4336515_OQMD-EnID-353567.poscar,0.1662,Pm-3m
ID-4812759_OQMD-EnID-427638.poscar,-0.3993,R-3c
ID-4832004_OQMD-EnID-681099.poscar,-0.3322,P4mm
ID-4847334_OQMD-EnID-678217.poscar,-0.3995,R-3
ID-4862343_OQMD-EnID-682719.poscar,-0.842,Pnma
ID-5189619_OQMD-EnID-826181.poscar,0.0696,R-3c
ID-4120773_OQMD-EnID-302682.poscar,-0.2003,I4/mmm
ID-4140792_OQMD-EnID-313224.poscar,-0.1849,Fm-3m
ID-4149642_OQMD-EnID-320153.poscar,-0.7434,P63/mmc
ID-4794909_OQMD-EnID-344639.poscar,-0.2739,Pm-3m
ID-5782806_OQMD-EnID-1373738.poscar,-0.8748,P63/mcm
ID-4888770_OQMD-EnID-358896.poscar,-1.0066,P4/mmm
ID-6005747_OQMD-EnID-1603176.poscar,0.2933,P6/mmm
ID-4079322_OQMD-EnID-4777.poscar,-1.2654,Cmca
ID-4481349_OQMD-EnID-307034.poscar,-0.6906,Pm-3m
ID-4793460_OQMD-EnID-338576.poscar,-0.6572,P4/mmm
ID-5493997_OQMD-EnID-1106219.poscar,-0.6646,Fm-3m
ID-5571393_OQMD-EnID-1223103.poscar,-0.5361,F-43m
ID-5575408_OQMD-EnID-1230074.poscar,-0.6511,P-6m2
ID-5577827_OQMD-EnID-1235025.poscar,-0.6631,R-3m
ID-4065456_OQMD-EnID-6949.poscar,-1.0817,I4/mmm
ID-4810302_OQMD-EnID-115588.poscar,-1.0748,I4/mmm
ID-4815732_OQMD-EnID-45036.poscar,-0.9918,C2/c
ID-5597772_OQMD-EnID-1239462.poscar,1.0274,Fd-3m
ID-5769124_OQMD-EnID-1415971.poscar,0.4957,Fm-3m
ID-5946935_OQMD-EnID-1589733.poscar,0.0042,Fd-3m
ID-4111929_OQMD-EnID-299069.poscar,0.8104,I4/mmm
ID-4130166_OQMD-EnID-309611.poscar,0.8236,Fm-3m
ID-4158693_OQMD-EnID-323766.poscar,0.0918,P63/mmc
ID-4784277_OQMD-EnID-5502.poscar,-0.8802,I4/mcm
ID-4797813_OQMD-EnID-348252.poscar,0.7835,Pm-3m
ID-4817517_OQMD-EnID-48974.poscar,-0.881,I4/mcm
ID-4064562_OQMD-EnID-8501.poscar,-1.1637,Fm-3m
ID-5577309_OQMD-EnID-1233560.poscar,-1.1367,P42/mnm
ID-5597753_OQMD-EnID-1239463.poscar,-0.9621,Fd-3m
ID-5731177_OQMD-EnID-1343477.poscar,-1.1065,R-3m
ID-5731237_OQMD-EnID-1343292.poscar,-1.1259,Pnma
ID-5731334_OQMD-EnID-1343726.poscar,-0.9509,Pn-3m
ID-5731533_OQMD-EnID-1343901.poscar,-1.1038,R3
ID-5731711_OQMD-EnID-1343749.poscar,-1.1624,R-3m
ID-5731952_OQMD-EnID-1343957.poscar,-1.1084,Fdd2
ID-5811762_OQMD-EnID-1440138.poscar,-1.081,P-3m1
ID-5813056_OQMD-EnID-1439943.poscar,-1.0905,C2/m
ID-5813319_OQMD-EnID-1440203.poscar,-1.0315,P63/mmc
ID-5813325_OQMD-EnID-1440521.poscar,-1.0923,P4/nmm
ID-5813791_OQMD-EnID-1443213.poscar,-1.0342,Cmcm
ID-5838413_OQMD-EnID-1473847.poscar,-1.1137,P63mc
ID-5838637_OQMD-EnID-1472933.poscar,-1.1591,P1
ID-5839014_OQMD-EnID-1472832.poscar,-1.1623,P42/nmc
ID-5839319_OQMD-EnID-1472539.poscar,-0.9815,Ibam
ID-5839369_OQMD-EnID-1473492.poscar,-0.9803,Ibam
ID-5842806_OQMD-EnID-1473098.poscar,-1.1218,P212121
ID-5845934_OQMD-EnID-1472630.poscar,-1.0983,P21/c
ID-5948545_OQMD-EnID-1590408.poscar,0.1948,Fd-3m
ID-4336515_OQMD-EnID-353567.poscar,0.1662,Pm-3m
ID-4812759_OQMD-EnID-427638.poscar,-0.3993,R-3c
ID-4832004_OQMD-EnID-681099.poscar,-0.3322,P4mm
ID-4847334_OQMD-EnID-678217.poscar,-0.3995,R-3
ID-4862343_OQMD-EnID-682719.poscar,-0.842,Pnma
ID-5189619_OQMD-EnID-826181.poscar,0.0696,R-3c
ID-4120773_OQMD-EnID-302682.poscar,-0.2003,I4/mmm
ID-4140792_OQMD-EnID-313224.poscar,-0.1849,Fm-3m
ID-4149642_OQMD-EnID-320153.poscar,-0.7434,P63/mmc
ID-4794909_OQMD-EnID-344639.poscar,-0.2739,Pm-3m
ID-5782806_OQMD-EnID-1373738.poscar,-0.8748,P63/mcm
ID-4888770_OQMD-EnID-358896.poscar,-1.0066,P4/mmm
ID-6005747_OQMD-EnID-1603176.poscar,0.2933,P6/mmm
ID-4079322_OQMD-EnID-4777.poscar,-1.2654,Cmca
ID-4481349_OQMD-EnID-307034.poscar,-0.6906,Pm-3m
ID-4793460_OQMD-EnID-338576.poscar,-0.6572,P4/mmm
ID-5493997_OQMD-EnID-1106219.poscar,-0.6646,Fm-3m
ID-5571393_OQMD-EnID-1223103.poscar,-0.5361,F-43m
ID-5575408_OQMD-EnID-1230074.poscar,-0.6511,P-6m2
ID-5577827_OQMD-EnID-1235025.poscar,-0.6631,R-3m
ID-4065456_OQMD-EnID-6949.poscar,-1.0817,I4/mmm
ID-4810302_OQMD-EnID-115588.poscar,-1.0748,I4/mmm
ID-4815732_OQMD-EnID-45036.poscar,-0.9918,C2/c
ID-5597772_OQMD-EnID-1239462.poscar,1.0274,Fd-3m
ID-5769124_OQMD-EnID-1415971.poscar,0.4957,Fm-3m
ID-5946935_OQMD-EnID-1589733.poscar,0.0042,Fd-3m
ID-4111929_OQMD-EnID-299069.poscar,0.8104,I4/mmm
ID-4130166_OQMD-EnID-309611.poscar,0.8236,Fm-3m
ID-4158693_OQMD-EnID-323766.poscar,0.0918,P63/mmc
ID-4784277_OQMD-EnID-5502.poscar,-0.8802,I4/mcm
ID-4797813_OQMD-EnID-348252.poscar,0.7835,Pm-3m
ID-4817517_OQMD-EnID-48974.poscar,-0.881,I4/mcm
ID-4064562_OQMD-EnID-8501.poscar,-1.1637,Fm-3m
ID-5577309_OQMD-EnID-1233560.poscar,-1.1367,P42/mnm
ID-5597753_OQMD-EnID-1239463.poscar,-0.9621,Fd-3m
ID-5731177_OQMD-EnID-1343477.poscar,-1.1065,R-3m
ID-5731237_OQMD-EnID-1343292.poscar,-1.1259,Pnma
ID-5731334_OQMD-EnID-1343726.poscar,-0.9509,Pn-3m
ID-5731533_OQMD-EnID-1343901.poscar,-1.1038,R3
ID-5731711_OQMD-EnID-1343749.poscar,-1.1624,R-3m
ID-5731952_OQMD-EnID-1343957.poscar,-1.1084,Fdd2
ID-5811762_OQMD-EnID-1440138.poscar,-1.081,P-3m1
ID-5813056_OQMD-EnID-1439943.poscar,-1.0905,C2/m
ID-5813319_OQMD-EnID-1440203.poscar,-1.0315,P63/mmc
ID-5813325_OQMD-EnID-1440521.poscar,-1.0923,P4/nmm
ID-5813791_OQMD-EnID-1443213.poscar,-1.0342,Cmcm
ID-5838413_OQMD-EnID-1473847.poscar,-1.1137,P63mc
ID-5838637_OQMD-EnID-1472933.poscar,-1.1591,P1
ID-5839014_OQMD-EnID-1472832.poscar,-1.1623,P42/nmc
ID-5839319_OQMD-EnID-1472539.poscar,-0.9815,Ibam
ID-5839369_OQMD-EnID-1473492.poscar,-0.9803,Ibam
ID-5842806_OQMD-EnID-1473098.poscar,-1.1218,P212121
ID-5845934_OQMD-EnID-1472630.poscar,-1.0983,P21/c
ID-5948545_OQMD-EnID-1590408.poscar,0.1948,Fd-3m
ID-4336515_OQMD-EnID-353567.poscar,0.1662,Pm-3m
ID-4812759_OQMD-EnID-427638.poscar,-0.3993,R-3c
ID-4832004_OQMD-EnID-681099.poscar,-0.3322,P4mm
ID-4847334_OQMD-EnID-678217.poscar,-0.3995,R-3
ID-4862343_OQMD-EnID-682719.poscar,-0.842,Pnma
ID-5189619_OQMD-EnID-826181.poscar,0.0696,R-3c
ID-4120773_OQMD-EnID-302682.poscar,-0.2003,I4/mmm
ID-4140792_OQMD-EnID-313224.poscar,-0.1849,Fm-3m
ID-4149642_OQMD-EnID-320153.poscar,-0.7434,P63/mmc
ID-4794909_OQMD-EnID-344639.poscar,-0.2739,Pm-3m
ID-5782806_OQMD-EnID-1373738.poscar,-0.8748,P63/mcm
ID-4888770_OQMD-EnID-358896.poscar,-1.0066,P4/mmm
ID-6005747_OQMD-EnID-1603176.poscar,0.2933,P6/mmm
ID-4079322_OQMD-EnID-4777.poscar,-1.2654,Cmca
ID-4481349_OQMD-EnID-307034.poscar,-0.6906,Pm-3m
ID-4793460_OQMD-EnID-338576.poscar,-0.6572,P4/mmm
ID-5493997_OQMD-EnID-1106219.poscar,-0.6646,Fm-3m
ID-5571393_OQMD-EnID-1223103.poscar,-0.5361,F-43m
ID-5575408_OQMD-EnID-1230074.poscar,-0.6511,P-6m2
ID-5577827_OQMD-EnID-1235025.poscar,-0.6631,R-3m
ID-4065456_OQMD-EnID-6949.poscar,-1.0817,I4/mmm
ID-4810302_OQMD-EnID-115588.poscar,-1.0748,I4/mmm
ID-4815732_OQMD-EnID-45036.poscar,-0.9918,C2/c
ID-5597772_OQMD-EnID-1239462.poscar,1.0274,Fd-3m
ID-5769124_OQMD-EnID-1415971.poscar,0.4957,Fm-3m
ID-5946935_OQMD-EnID-1589733.poscar,0.0042,Fd-3m
ID-4111929_OQMD-EnID-299069.poscar,0.8104,I4/mmm
ID-4130166_OQMD-EnID-309611.poscar,0.8236,Fm-3m
ID-4158693_OQMD-EnID-323766.poscar,0.0918,P63/mmc
ID-4784277_OQMD-EnID-5502.poscar,-0.8802,I4/mcm
ID-4797813_OQMD-EnID-348252.poscar,0.7835,Pm-3m
ID-4817517_OQMD-EnID-48974.poscar,-0.881,I4/mcm
ID-4064562_OQMD-EnID-8501.poscar,-1.1637,Fm-3m
ID-5577309_OQMD-EnID-1233560.poscar,-1.1367,P42/mnm
ID-5597753_OQMD-EnID-1239463.poscar,-0.9621,Fd-3m
ID-5731177_OQMD-EnID-1343477.poscar,-1.1065,R-3m
ID-5731237_OQMD-EnID-1343292.poscar,-1.1259,Pnma
ID-5731334_OQMD-EnID-1343726.poscar,-0.9509,Pn-3m
ID-5731533_OQMD-EnID-1343901.poscar,-1.1038,R3
ID-5731711_OQMD-EnID-1343749.poscar,-1.1624,R-3m
ID-5731952_OQMD-EnID-1343957.poscar,-1.1084,Fdd2
ID-5811762_OQMD-EnID-1440138.poscar,-1.081,P-3m1
ID-5813056_OQMD-EnID-1439943.poscar,-1.0905,C2/m
ID-5813319_OQMD-EnID-1440203.poscar,-1.0315,P63/mmc
ID-5813325_OQMD-EnID-1440521.poscar,-1.0923,P4/nmm
ID-5813791_OQMD-EnID-1443213.poscar,-1.0342,Cmcm
ID-5838413_OQMD-EnID-1473847.poscar,-1.1137,P63mc
ID-5838637_OQMD-EnID-1472933.poscar,-1.1591,P1
ID-5839014_OQMD-EnID-1472832.poscar,-1.1623,P42/nmc
ID-5839319_OQMD-EnID-1472539.poscar,-0.9815,Ibam
ID-5839369_OQMD-EnID-1473492.poscar,-0.9803,Ibam
ID-5842806_OQMD-EnID-1473098.poscar,-1.1218,P212121
ID-5845934_OQMD-EnID-1472630.poscar,-1.0983,P21/c
ID-5948545_OQMD-EnID-1590408.poscar,0.1948,Fd-3m
ID-4336515_OQMD-EnID-353567.poscar,0.1662,Pm-3m
ID-4812759_OQMD-EnID-427638.poscar,-0.3993,R-3c
ID-4832004_OQMD-EnID-681099.poscar,-0.3322,P4mm
ID-4847334_OQMD-EnID-678217.poscar,-0.3995,R-3
