filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4472205_OQMD-EnID-306149.poscar,-2.5026,Pm-3m
ID-4513971_OQMD-EnID-337691.poscar,-2.4847,P4/mmm
ID-5493114_OQMD-EnID-1105334.poscar,-3.0676,Fm-3m
ID-5571441_OQMD-EnID-1223151.poscar,-2.891,F-43m
ID-5575456_OQMD-EnID-1230122.poscar,-2.7531,P-6m2
ID-5577828_OQMD-EnID-1235026.poscar,-3.0676,R-3m
ID-5593034_OQMD-EnID-1250619.poscar,-2.8905,F-43m
ID-5637565_OQMD-EnID-1285232.poscar,-2.8881,F-43m
ID-5637566_OQMD-EnID-1285234.poscar,-2.8881,F-43m
ID-5637567_OQMD-EnID-1285233.poscar,-2.8881,F-43m
ID-5764768_OQMD-EnID-1243781.poscar,-2.7835,P63/mmc
ID-5764771_OQMD-EnID-1243782.poscar,-2.9827,P63/mmc
ID-5812560_OQMD-EnID-1443460.poscar,-3.0654,Cmma
ID-5816017_OQMD-EnID-1443566.poscar,-2.9071,Cmca
ID-5595779_OQMD-EnID-1237028.poscar,-2.5157,Fd-3m
ID-5758764_OQMD-EnID-1366127.poscar,-3.2115,C2/m
ID-5947033_OQMD-EnID-1589769.poscar,-1.1417,Fd-3m
ID-4114773_OQMD-EnID-300243.poscar,-1.6821,I4/mmm
ID-4133523_OQMD-EnID-310785.poscar,-1.8452,Fm-3m
ID-4154286_OQMD-EnID-321976.poscar,-1.7739,P63/mmc
ID-4796433_OQMD-EnID-346462.poscar,-1.7008,Pm-3m
ID-5577315_OQMD-EnID-1233608.poscar,-1.9285,P42/mnm
ID-5959498_OQMD-EnID-1593118.poscar,0.2249,Fd-3m
ID-4073769_OQMD-EnID-10085.poscar,-3.6873,P-3m1
ID-4092903_OQMD-EnID-10228.poscar,-3.6877,P-3m1
ID-4298886_OQMD-EnID-351063.poscar,-2.8246,Pm-3m
ID-4509024_OQMD-EnID-20301.poscar,-3.6828,C2/m
ID-4812432_OQMD-EnID-427686.poscar,-3.6561,R-3c
ID-5027598_OQMD-EnID-30652.poscar,-3.7125,Ia-3
ID-5731372_OQMD-EnID-1343489.poscar,-3.6048,Pnma
ID-5812972_OQMD-EnID-1442704.poscar,-3.4753,P321
ID-4116330_OQMD-EnID-300892.poscar,-0.2447,I4/mmm
