filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4477608_OQMD-EnID-306645.poscar,-2.2501,Pm-3m
ID-4515384_OQMD-EnID-338187.poscar,-1.9886,P4/mmm
ID-5493610_OQMD-EnID-1105830.poscar,-2.9674,Fm-3m
ID-5571534_OQMD-EnID-1223244.poscar,-2.9845,F-43m
ID-5575546_OQMD-EnID-1230215.poscar,-2.739,P-6m2
ID-5577834_OQMD-EnID-1235032.poscar,-2.9668,R-3m
ID-4114875_OQMD-EnID-300285.poscar,-1.7471,I4/mmm
ID-4133709_OQMD-EnID-310827.poscar,-1.7685,Fm-3m
ID-4156812_OQMD-EnID-322992.poscar,-1.7545,P63/mmc
ID-4171986_OQMD-EnID-347478.poscar,-1.712,Pm-3m
ID-5577327_OQMD-EnID-1233701.poscar,-1.9685,P42/mnm
ID-5962492_OQMD-EnID-1594180.poscar,0.6296,Fd-3m
ID-4071561_OQMD-EnID-20298.poscar,-3.8678,P-3m1
ID-4082886_OQMD-EnID-6311.poscar,-3.9533,I213
ID-4285419_OQMD-EnID-351264.poscar,-3.0043,Pm-3m
ID-4508853_OQMD-EnID-20310.poscar,-3.9045,C2/m
ID-4812414_OQMD-EnID-427779.poscar,-3.913,R-3c
ID-5011833_OQMD-EnID-7279.poscar,-3.9616,Ia-3
ID-5816157_OQMD-EnID-1440975.poscar,-3.9091,C2/c
ID-4118955_OQMD-EnID-301908.poscar,-0.1152,I4/mmm
ID-4138854_OQMD-EnID-312450.poscar,0.2,Fm-3m
ID-4152771_OQMD-EnID-321369.poscar,0.0184,P63/mmc
ID-4795974_OQMD-EnID-345855.poscar,0.0357,Pm-3m
ID-4886229_OQMD-EnID-356593.poscar,-3.182,P4/mmm
ID-6005584_OQMD-EnID-1603224.poscar,0.7742,P6/mmm
ID-4477608_OQMD-EnID-306645.poscar,-2.2501,Pm-3m
ID-4515384_OQMD-EnID-338187.poscar,-1.9886,P4/mmm
ID-5493610_OQMD-EnID-1105830.poscar,-2.9674,Fm-3m
ID-5571534_OQMD-EnID-1223244.poscar,-2.9845,F-43m
ID-5575546_OQMD-EnID-1230215.poscar,-2.739,P-6m2
ID-5577834_OQMD-EnID-1235032.poscar,-2.9668,R-3m
ID-4114875_OQMD-EnID-300285.poscar,-1.7471,I4/mmm
ID-4133709_OQMD-EnID-310827.poscar,-1.7685,Fm-3m
ID-4156812_OQMD-EnID-322992.poscar,-1.7545,P63/mmc
ID-4171986_OQMD-EnID-347478.poscar,-1.712,Pm-3m
ID-5577327_OQMD-EnID-1233701.poscar,-1.9685,P42/mnm
ID-5962492_OQMD-EnID-1594180.poscar,0.6296,Fd-3m
ID-4071561_OQMD-EnID-20298.poscar,-3.8678,P-3m1
ID-4082886_OQMD-EnID-6311.poscar,-3.9533,I213
ID-4285419_OQMD-EnID-351264.poscar,-3.0043,Pm-3m
ID-4508853_OQMD-EnID-20310.poscar,-3.9045,C2/m
ID-4812414_OQMD-EnID-427779.poscar,-3.913,R-3c
ID-5011833_OQMD-EnID-7279.poscar,-3.9616,Ia-3
ID-5816157_OQMD-EnID-1440975.poscar,-3.9091,C2/c
ID-4118955_OQMD-EnID-301908.poscar,-0.1152,I4/mmm
ID-4138854_OQMD-EnID-312450.poscar,0.2,Fm-3m
ID-4152771_OQMD-EnID-321369.poscar,0.0184,P63/mmc
ID-4795974_OQMD-EnID-345855.poscar,0.0357,Pm-3m
ID-4886229_OQMD-EnID-356593.poscar,-3.182,P4/mmm
ID-6005584_OQMD-EnID-1603224.poscar,0.7742,P6/mmm
ID-4477608_OQMD-EnID-306645.poscar,-2.2501,Pm-3m
ID-4515384_OQMD-EnID-338187.poscar,-1.9886,P4/mmm
ID-5493610_OQMD-EnID-1105830.poscar,-2.9674,Fm-3m
ID-5571534_OQMD-EnID-1223244.poscar,-2.9845,F-43m
ID-5575546_OQMD-EnID-1230215.poscar,-2.739,P-6m2
ID-5577834_OQMD-EnID-1235032.poscar,-2.9668,R-3m
ID-4114875_OQMD-EnID-300285.poscar,-1.7471,I4/mmm
ID-4133709_OQMD-EnID-310827.poscar,-1.7685,Fm-3m
ID-4156812_OQMD-EnID-322992.poscar,-1.7545,P63/mmc
ID-4171986_OQMD-EnID-347478.poscar,-1.712,Pm-3m
ID-5577327_OQMD-EnID-1233701.poscar,-1.9685,P42/mnm
ID-5962492_OQMD-EnID-1594180.poscar,0.6296,Fd-3m
ID-4071561_OQMD-EnID-20298.poscar,-3.8678,P-3m1
ID-4082886_OQMD-EnID-6311.poscar,-3.9533,I213
ID-4285419_OQMD-EnID-351264.poscar,-3.0043,Pm-3m
ID-4508853_OQMD-EnID-20310.poscar,-3.9045,C2/m
ID-4812414_OQMD-EnID-427779.poscar,-3.913,R-3c
ID-5011833_OQMD-EnID-7279.poscar,-3.9616,Ia-3
ID-5816157_OQMD-EnID-1440975.poscar,-3.9091,C2/c
ID-4118955_OQMD-EnID-301908.poscar,-0.1152,I4/mmm
ID-4138854_OQMD-EnID-312450.poscar,0.2,Fm-3m
ID-4152771_OQMD-EnID-321369.poscar,0.0184,P63/mmc
ID-4795974_OQMD-EnID-345855.poscar,0.0357,Pm-3m
ID-4886229_OQMD-EnID-356593.poscar,-3.182,P4/mmm
ID-6005584_OQMD-EnID-1603224.poscar,0.7742,P6/mmm
ID-4477608_OQMD-EnID-306645.poscar,-2.2501,Pm-3m
ID-4515384_OQMD-EnID-338187.poscar,-1.9886,P4/mmm
ID-5493610_OQMD-EnID-1105830.poscar,-2.9674,Fm-3m
ID-5571534_OQMD-EnID-1223244.poscar,-2.9845,F-43m
ID-5575546_OQMD-EnID-1230215.poscar,-2.739,P-6m2
ID-5577834_OQMD-EnID-1235032.poscar,-2.9668,R-3m
ID-4114875_OQMD-EnID-300285.poscar,-1.7471,I4/mmm
ID-4133709_OQMD-EnID-310827.poscar,-1.7685,Fm-3m
ID-4156812_OQMD-EnID-322992.poscar,-1.7545,P63/mmc
ID-4171986_OQMD-EnID-347478.poscar,-1.712,Pm-3m
ID-5577327_OQMD-EnID-1233701.poscar,-1.9685,P42/mnm
ID-5962492_OQMD-EnID-1594180.poscar,0.6296,Fd-3m
ID-4071561_OQMD-EnID-20298.poscar,-3.8678,P-3m1
ID-4082886_OQMD-EnID-6311.poscar,-3.9533,I213
ID-4285419_OQMD-EnID-351264.poscar,-3.0043,Pm-3m
ID-4508853_OQMD-EnID-20310.poscar,-3.9045,C2/m
ID-4812414_OQMD-EnID-427779.poscar,-3.913,R-3c
ID-5011833_OQMD-EnID-7279.poscar,-3.9616,Ia-3
ID-5816157_OQMD-EnID-1440975.poscar,-3.9091,C2/c
ID-4118955_OQMD-EnID-301908.poscar,-0.1152,I4/mmm
ID-4138854_OQMD-EnID-312450.poscar,0.2,Fm-3m
ID-4152771_OQMD-EnID-321369.poscar,0.0184,P63/mmc
ID-4795974_OQMD-EnID-345855.poscar,0.0357,Pm-3m
ID-4886229_OQMD-EnID-356593.poscar,-3.182,P4/mmm
ID-6005584_OQMD-EnID-1603224.poscar,0.7742,P6/mmm
ID-4477608_OQMD-EnID-306645.poscar,-2.2501,Pm-3m
ID-4515384_OQMD-EnID-338187.poscar,-1.9886,P4/mmm
ID-5493610_OQMD-EnID-1105830.poscar,-2.9674,Fm-3m
ID-5571534_OQMD-EnID-1223244.poscar,-2.9845,F-43m
ID-5575546_OQMD-EnID-1230215.poscar,-2.739,P-6m2
ID-5577834_OQMD-EnID-1235032.poscar,-2.9668,R-3m
ID-4114875_OQMD-EnID-300285.poscar,-1.7471,I4/mmm
ID-4133709_OQMD-EnID-310827.poscar,-1.7685,Fm-3m
ID-4156812_OQMD-EnID-322992.poscar,-1.7545,P63/mmc
ID-4171986_OQMD-EnID-347478.poscar,-1.712,Pm-3m
ID-5577327_OQMD-EnID-1233701.poscar,-1.9685,P42/mnm
ID-5962492_OQMD-EnID-1594180.poscar,0.6296,Fd-3m
ID-4071561_OQMD-EnID-20298.poscar,-3.8678,P-3m1
ID-4082886_OQMD-EnID-6311.poscar,-3.9533,I213
ID-4285419_OQMD-EnID-351264.poscar,-3.0043,Pm-3m
ID-4508853_OQMD-EnID-20310.poscar,-3.9045,C2/m
ID-4812414_OQMD-EnID-427779.poscar,-3.913,R-3c
ID-5011833_OQMD-EnID-7279.poscar,-3.9616,Ia-3
ID-5816157_OQMD-EnID-1440975.poscar,-3.9091,C2/c
ID-4118955_OQMD-EnID-301908.poscar,-0.1152,I4/mmm
ID-4138854_OQMD-EnID-312450.poscar,0.2,Fm-3m
ID-4152771_OQMD-EnID-321369.poscar,0.0184,P63/mmc
ID-4795974_OQMD-EnID-345855.poscar,0.0357,Pm-3m
ID-4886229_OQMD-EnID-356593.poscar,-3.182,P4/mmm
ID-6005584_OQMD-EnID-1603224.poscar,0.7742,P6/mmm
