filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4062087_OQMD-EnID-2577.poscar,-2.9459,Fm-3m
ID-4066638_OQMD-EnID-22327.poscar,-2.9123,P63/mmc
ID-4068354_OQMD-EnID-20575.poscar,-2.9075,P63mc
ID-4101087_OQMD-EnID-67672.poscar,-2.905,P63/mmc
ID-4101177_OQMD-EnID-67550.poscar,-2.9457,Pmmn
ID-4101498_OQMD-EnID-67460.poscar,-2.706,C2/m
ID-4102353_OQMD-EnID-67305.poscar,-2.7775,Amm2
ID-4102446_OQMD-EnID-67529.poscar,-2.6936,P3m1
ID-4102464_OQMD-EnID-67486.poscar,-2.562,Amm2
ID-4102650_OQMD-EnID-67603.poscar,-2.9458,Immm
ID-4102959_OQMD-EnID-67508.poscar,-2.5158,Amm2
ID-4103088_OQMD-EnID-67394.poscar,-2.7692,C2
ID-4103253_OQMD-EnID-67334.poscar,-2.4442,Amm2
ID-4103361_OQMD-EnID-67361.poscar,-2.1102,P-6m2
ID-4103394_OQMD-EnID-67427.poscar,-2.619,Cm
ID-4103430_OQMD-EnID-67571.poscar,-2.8211,Cm
ID-4105296_OQMD-EnID-22333.poscar,-2.8168,Pm-3n
ID-4107315_OQMD-EnID-291105.poscar,-2.9051,P63/mmc
ID-4107468_OQMD-EnID-290880.poscar,-2.9457,Pmmn
ID-4107636_OQMD-EnID-290700.poscar,-2.706,C2/m
ID-4135344_OQMD-EnID-290745.poscar,-2.5621,Amm2
ID-4135512_OQMD-EnID-290835.poscar,-2.6936,P3m1
ID-4136283_OQMD-EnID-290790.poscar,-2.5157,Amm2
ID-4137075_OQMD-EnID-290610.poscar,-2.7691,C2
ID-4137495_OQMD-EnID-290475.poscar,-2.7775,Amm2
ID-4137747_OQMD-EnID-290520.poscar,-2.4469,Cmmm
ID-4138884_OQMD-EnID-290970.poscar,-2.9458,Immm
ID-4139229_OQMD-EnID-290565.poscar,-2.1052,P-6m2
ID-4145034_OQMD-EnID-290655.poscar,-2.6052,Cm
ID-4157778_OQMD-EnID-290925.poscar,-2.8226,Cm
ID-4176612_OQMD-EnID-327078.poscar,-2.945,R-3m
ID-4176888_OQMD-EnID-337536.poscar,-2.0267,Pm-3m
ID-4177065_OQMD-EnID-305994.poscar,-2.1853,Pm-3m
ID-4199502_OQMD-EnID-22330.poscar,-2.8738,Ibam
ID-4199640_OQMD-EnID-22326.poscar,-2.9063,P63/mmc
ID-4199850_OQMD-EnID-22331.poscar,-2.8364,P6/mcc
ID-4199988_OQMD-EnID-22332.poscar,-2.7972,Cm
ID-4200330_OQMD-EnID-22329.poscar,-2.8861,Ibam
ID-4202040_OQMD-EnID-22334.poscar,-2.7867,C2/c
ID-4786596_OQMD-EnID-22328.poscar,-1.8793,P1
ID-4810428_OQMD-EnID-104183.poscar,-2.8739,P63mc
ID-5492957_OQMD-EnID-1105179.poscar,-2.9463,Fm-3m
ID-5569017_OQMD-EnID-1221095.poscar,-2.5087,Pmma
ID-5571579_OQMD-EnID-1223289.poscar,-2.845,F-43m
ID-5573090_OQMD-EnID-1226774.poscar,-2.8785,P63mc
ID-5578433_OQMD-EnID-1236218.poscar,-2.6046,P-6m2
ID-5578443_OQMD-EnID-1236228.poscar,-2.6046,P-6m2
ID-5578469_OQMD-EnID-1236254.poscar,-2.5068,Pmma
ID-5578479_OQMD-EnID-1236264.poscar,-2.5068,Pmma
ID-5578594_OQMD-EnID-1236325.poscar,-2.6013,P-6m2
ID-5629192_OQMD-EnID-1277687.poscar,-2.8443,I-4m2
ID-5629193_OQMD-EnID-1277629.poscar,-2.8443,I-4m2
ID-5731757_OQMD-EnID-1343460.poscar,-2.5386,P4/nmm
ID-5731878_OQMD-EnID-1343722.poscar,-2.9462,P3121
ID-5811482_OQMD-EnID-1443171.poscar,-2.9458,Fm-3m
ID-5811506_OQMD-EnID-1444446.poscar,-2.9463,P-1
ID-5811773_OQMD-EnID-1442787.poscar,-2.1851,Pm-3m
ID-5812283_OQMD-EnID-1442539.poscar,-2.435,P42/mmc
ID-5814681_OQMD-EnID-1439993.poscar,-2.9462,Pnma
ID-5815278_OQMD-EnID-1443261.poscar,-2.9463,C2/m
ID-5815654_OQMD-EnID-1444121.poscar,-0.1336,Fd-3m
ID-5837441_OQMD-EnID-1472641.poscar,-2.9458,R3m
ID-5838729_OQMD-EnID-1473617.poscar,-2.6635,R3m
