filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4062090_OQMD-EnID-2578.poscar,-2.0361,Fm-3m
ID-4468686_OQMD-EnID-305726.poscar,-1.4915,Pm-3m
ID-4500522_OQMD-EnID-326810.poscar,-2.0367,R-3m
ID-4512804_OQMD-EnID-337268.poscar,-1.2593,P4/mmm
ID-5492689_OQMD-EnID-1104911.poscar,-2.0375,Fm-3m
ID-5571623_OQMD-EnID-1223333.poscar,-1.9932,F-43m
ID-5575628_OQMD-EnID-1230304.poscar,-1.8193,P-6m2
ID-5629578_OQMD-EnID-1277967.poscar,-2.0072,P63mc
ID-5731044_OQMD-EnID-1343241.poscar,-1.7219,Cmc21
ID-5731339_OQMD-EnID-1343282.poscar,-1.7287,P4/nmm
ID-5731739_OQMD-EnID-1343851.poscar,-2.0343,C2/c
ID-5731758_OQMD-EnID-1343279.poscar,-1.7175,P4/nmm
ID-5731773_OQMD-EnID-1343331.poscar,-1.7422,P42/mmc
ID-5731879_OQMD-EnID-1343389.poscar,-2.0381,P3121
ID-5762629_OQMD-EnID-1243357.poscar,-1.9102,P63/mmc
ID-5762630_OQMD-EnID-1243358.poscar,-1.9052,P63/mmc
ID-5811161_OQMD-EnID-1443176.poscar,-2.0375,I4/mmm
ID-5811502_OQMD-EnID-1442028.poscar,-2.0381,Immm
ID-5811757_OQMD-EnID-1444345.poscar,-2.0349,C2/m
ID-5811760_OQMD-EnID-1444449.poscar,-2.0352,P-1
ID-5812347_OQMD-EnID-1442288.poscar,-2.038,Pmn21
ID-5814682_OQMD-EnID-1439995.poscar,-2.038,Pnma
ID-5815248_OQMD-EnID-1441812.poscar,-2.0381,Cmma
ID-5815300_OQMD-EnID-1443265.poscar,-2.0372,P21/c
ID-5815357_OQMD-EnID-1443088.poscar,-2.0095,Pca21
ID-5815567_OQMD-EnID-1444124.poscar,0.0451,Fd-3m
ID-5816566_OQMD-EnID-1443144.poscar,-1.9274,C2/m
ID-5817814_OQMD-EnID-1443989.poscar,-1.9511,Pm-3n
ID-5837143_OQMD-EnID-1472681.poscar,-2.0369,Pmmn
ID-5838213_OQMD-EnID-1473839.poscar,-1.8699,R3m
ID-5838655_OQMD-EnID-1473082.poscar,-2.0378,R3m
ID-5846665_OQMD-EnID-1473532.poscar,-1.7854,Cmcm
ID-5853772_OQMD-EnID-1479339.poscar,-1.7374,P42/m
ID-5854954_OQMD-EnID-1479547.poscar,-1.7376,P42/m
ID-4073838_OQMD-EnID-1696.poscar,-1.712,P42/mnm
ID-4085202_OQMD-EnID-19294.poscar,-1.7318,C2/m
ID-4094991_OQMD-EnID-3832.poscar,-1.7394,Pnma
ID-4850901_OQMD-EnID-676107.poscar,-1.7176,Fd-3m
ID-4850937_OQMD-EnID-677684.poscar,-1.7508,I4/m
ID-4910616_OQMD-EnID-695442.poscar,-1.726,Fd-3m
ID-4910658_OQMD-EnID-695439.poscar,-1.7303,R-3m
ID-4910667_OQMD-EnID-695438.poscar,-1.7326,C2/m
ID-4910679_OQMD-EnID-695437.poscar,-1.5833,Pmmn
ID-4910691_OQMD-EnID-695446.poscar,-1.7293,P-3m1
ID-5594793_OQMD-EnID-1236615.poscar,-1.3616,Fd-3m
