filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4487682_OQMD-EnID-307705.poscar,-0.3396,Pm-3m
ID-4508064_OQMD-EnID-328789.poscar,-0.9259,R-3m
ID-4518291_OQMD-EnID-339247.poscar,-0.0069,P4/mmm
ID-5494664_OQMD-EnID-1106890.poscar,-0.4219,Fm-3m
ID-5571666_OQMD-EnID-1223376.poscar,-0.6923,F-43m
ID-5575669_OQMD-EnID-1230347.poscar,-0.8135,P-6m2
ID-4073667_OQMD-EnID-16924.poscar,-2.0989,P42/mnm
ID-4095471_OQMD-EnID-6714.poscar,-2.1546,P21
ID-4104663_OQMD-EnID-18938.poscar,-2.1548,P21/c
ID-5622016_OQMD-EnID-1241668.poscar,-1.778,Fd-3m
ID-5731273_OQMD-EnID-1343710.poscar,-2.1066,Pbcn
ID-5731300_OQMD-EnID-1343325.poscar,-2.1117,P63/mmc
ID-5731860_OQMD-EnID-1343572.poscar,-2.1073,P63/mmc
ID-5731901_OQMD-EnID-1343870.poscar,-2.1087,P63/mmc
ID-5811560_OQMD-EnID-1440463.poscar,-1.8889,Fm-3m
ID-5811587_OQMD-EnID-1440774.poscar,-1.8042,R-3m
ID-5811607_OQMD-EnID-1440814.poscar,-1.779,C2/m
ID-5811795_OQMD-EnID-1442163.poscar,-2.1066,R3m
ID-5816826_OQMD-EnID-1439745.poscar,-1.889,Pa-3
ID-5848425_OQMD-EnID-1472663.poscar,-1.9491,Pmn21
ID-5946996_OQMD-EnID-1589755.poscar,0.6075,Fd-3m
ID-6033954_OQMD-EnID-1739222.poscar,-2.0957,P2/m
ID-6033955_OQMD-EnID-1739802.poscar,-1.8893,I41/amd
ID-4081020_OQMD-EnID-14557.poscar,-2.1293,P21/m
ID-4110555_OQMD-EnID-298485.poscar,-0.7444,I4/mmm
ID-4128471_OQMD-EnID-309023.poscar,-0.7196,Fm-3m
ID-4175688_OQMD-EnID-349582.poscar,-0.2923,Pm-3m
ID-4781853_OQMD-EnID-5790.poscar,-2.1286,Pnma
ID-4867662_OQMD-EnID-691789.poscar,-1.9497,C2/m
ID-4880982_OQMD-EnID-30769.poscar,-2.163,P21/c
