filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4064184_OQMD-EnID-13991.poscar,-2.9124,Fm-3m
ID-4480374_OQMD-EnID-306930.poscar,-2.3841,Pm-3m
ID-4504548_OQMD-EnID-328014.poscar,-2.9134,R-3m
ID-4516173_OQMD-EnID-338472.poscar,-2.3667,P4/mmm
ID-5493893_OQMD-EnID-1106115.poscar,-2.9142,Fm-3m
ID-5571945_OQMD-EnID-1223655.poscar,-2.7247,F-43m
ID-5575944_OQMD-EnID-1230627.poscar,-2.6488,P-6m2
ID-5602163_OQMD-EnID-1241448.poscar,-0.9764,Fd-3m
ID-5770554_OQMD-EnID-1416301.poscar,-1.2243,Fm-3m
ID-5945091_OQMD-EnID-1576954.poscar,0.4093,Fd-3m
ID-4111443_OQMD-EnID-298864.poscar,-0.1229,I4/mmm
ID-4129422_OQMD-EnID-309405.poscar,0.1263,Fm-3m
ID-4158201_OQMD-EnID-323568.poscar,-0.7954,P63/mmc
ID-4797660_OQMD-EnID-348054.poscar,-0.1175,Pm-3m
ID-4788696_OQMD-EnID-1990.poscar,-3.2343,R-3
ID-4086612_OQMD-EnID-14501.poscar,-3.1667,P-1
ID-4105638_OQMD-EnID-24501.poscar,-2.823,Pnma
ID-4814382_OQMD-EnID-669609.poscar,-2.8416,Fm-3m
ID-5577484_OQMD-EnID-1234113.poscar,-2.634,P42/mnm
ID-5602167_OQMD-EnID-1241449.poscar,-2.3174,Fd-3m
ID-5763601_OQMD-EnID-1376331.poscar,-3.0932,C2/m
ID-5817380_OQMD-EnID-1441265.poscar,-2.854,Pcca
ID-5947036_OQMD-EnID-1589771.poscar,-1.009,Fd-3m
ID-6046024_OQMD-EnID-1753363.poscar,-2.85,Immm
ID-4812252_OQMD-EnID-428191.poscar,-2.2454,R-3c
ID-4120305_OQMD-EnID-302484.poscar,-1.6082,I4/mmm
ID-4140291_OQMD-EnID-313026.poscar,-1.754,Fm-3m
ID-4149141_OQMD-EnID-319947.poscar,-1.6807,P63/mmc
ID-4794723_OQMD-EnID-344433.poscar,-1.6194,Pm-3m
ID-4072566_OQMD-EnID-11434.poscar,-3.5472,P-3m1
ID-4298058_OQMD-EnID-353043.poscar,-2.6517,Pm-3m
ID-4508913_OQMD-EnID-20303.poscar,-3.5491,C2/m
ID-4840638_OQMD-EnID-678195.poscar,-3.5214,R-3
ID-5024514_OQMD-EnID-16545.poscar,-3.5761,Ia-3
ID-5731412_OQMD-EnID-1343275.poscar,-3.4837,Pnma
ID-5731625_OQMD-EnID-1344031.poscar,-3.5729,I213
ID-5812822_OQMD-EnID-1442710.poscar,-3.3574,P321
ID-5813207_OQMD-EnID-1444197.poscar,-3.3558,P321
ID-4887228_OQMD-EnID-358372.poscar,-2.6175,P4/mmm
ID-4064184_OQMD-EnID-13991.poscar,-2.9124,Fm-3m
ID-4480374_OQMD-EnID-306930.poscar,-2.3841,Pm-3m
ID-4504548_OQMD-EnID-328014.poscar,-2.9134,R-3m
ID-4516173_OQMD-EnID-338472.poscar,-2.3667,P4/mmm
ID-5493893_OQMD-EnID-1106115.poscar,-2.9142,Fm-3m
ID-5571945_OQMD-EnID-1223655.poscar,-2.7247,F-43m
ID-5575944_OQMD-EnID-1230627.poscar,-2.6488,P-6m2
ID-5602163_OQMD-EnID-1241448.poscar,-0.9764,Fd-3m
ID-5770554_OQMD-EnID-1416301.poscar,-1.2243,Fm-3m
ID-5945091_OQMD-EnID-1576954.poscar,0.4093,Fd-3m
ID-4111443_OQMD-EnID-298864.poscar,-0.1229,I4/mmm
ID-4129422_OQMD-EnID-309405.poscar,0.1263,Fm-3m
ID-4158201_OQMD-EnID-323568.poscar,-0.7954,P63/mmc
ID-4797660_OQMD-EnID-348054.poscar,-0.1175,Pm-3m
ID-4788696_OQMD-EnID-1990.poscar,-3.2343,R-3
ID-4086612_OQMD-EnID-14501.poscar,-3.1667,P-1
ID-4105638_OQMD-EnID-24501.poscar,-2.823,Pnma
ID-4814382_OQMD-EnID-669609.poscar,-2.8416,Fm-3m
ID-5577484_OQMD-EnID-1234113.poscar,-2.634,P42/mnm
ID-5602167_OQMD-EnID-1241449.poscar,-2.3174,Fd-3m
ID-5763601_OQMD-EnID-1376331.poscar,-3.0932,C2/m
ID-5817380_OQMD-EnID-1441265.poscar,-2.854,Pcca
ID-5947036_OQMD-EnID-1589771.poscar,-1.009,Fd-3m
ID-6046024_OQMD-EnID-1753363.poscar,-2.85,Immm
ID-4812252_OQMD-EnID-428191.poscar,-2.2454,R-3c
ID-4120305_OQMD-EnID-302484.poscar,-1.6082,I4/mmm
ID-4140291_OQMD-EnID-313026.poscar,-1.754,Fm-3m
ID-4149141_OQMD-EnID-319947.poscar,-1.6807,P63/mmc
ID-4794723_OQMD-EnID-344433.poscar,-1.6194,Pm-3m
ID-4072566_OQMD-EnID-11434.poscar,-3.5472,P-3m1
ID-4298058_OQMD-EnID-353043.poscar,-2.6517,Pm-3m
ID-4508913_OQMD-EnID-20303.poscar,-3.5491,C2/m
ID-4840638_OQMD-EnID-678195.poscar,-3.5214,R-3
ID-5024514_OQMD-EnID-16545.poscar,-3.5761,Ia-3
ID-5731412_OQMD-EnID-1343275.poscar,-3.4837,Pnma
ID-5731625_OQMD-EnID-1344031.poscar,-3.5729,I213
ID-5812822_OQMD-EnID-1442710.poscar,-3.3574,P321
ID-5813207_OQMD-EnID-1444197.poscar,-3.3558,P321
ID-4887228_OQMD-EnID-358372.poscar,-2.6175,P4/mmm
ID-4064184_OQMD-EnID-13991.poscar,-2.9124,Fm-3m
ID-4480374_OQMD-EnID-306930.poscar,-2.3841,Pm-3m
ID-4504548_OQMD-EnID-328014.poscar,-2.9134,R-3m
ID-4516173_OQMD-EnID-338472.poscar,-2.3667,P4/mmm
ID-5493893_OQMD-EnID-1106115.poscar,-2.9142,Fm-3m
ID-5571945_OQMD-EnID-1223655.poscar,-2.7247,F-43m
ID-5575944_OQMD-EnID-1230627.poscar,-2.6488,P-6m2
ID-5602163_OQMD-EnID-1241448.poscar,-0.9764,Fd-3m
ID-5770554_OQMD-EnID-1416301.poscar,-1.2243,Fm-3m
ID-5945091_OQMD-EnID-1576954.poscar,0.4093,Fd-3m
ID-4111443_OQMD-EnID-298864.poscar,-0.1229,I4/mmm
ID-4129422_OQMD-EnID-309405.poscar,0.1263,Fm-3m
ID-4158201_OQMD-EnID-323568.poscar,-0.7954,P63/mmc
ID-4797660_OQMD-EnID-348054.poscar,-0.1175,Pm-3m
ID-4788696_OQMD-EnID-1990.poscar,-3.2343,R-3
ID-4086612_OQMD-EnID-14501.poscar,-3.1667,P-1
ID-4105638_OQMD-EnID-24501.poscar,-2.823,Pnma
ID-4814382_OQMD-EnID-669609.poscar,-2.8416,Fm-3m
ID-5577484_OQMD-EnID-1234113.poscar,-2.634,P42/mnm
ID-5602167_OQMD-EnID-1241449.poscar,-2.3174,Fd-3m
ID-5763601_OQMD-EnID-1376331.poscar,-3.0932,C2/m
ID-5817380_OQMD-EnID-1441265.poscar,-2.854,Pcca
ID-5947036_OQMD-EnID-1589771.poscar,-1.009,Fd-3m
ID-6046024_OQMD-EnID-1753363.poscar,-2.85,Immm
ID-4812252_OQMD-EnID-428191.poscar,-2.2454,R-3c
ID-4120305_OQMD-EnID-302484.poscar,-1.6082,I4/mmm
ID-4140291_OQMD-EnID-313026.poscar,-1.754,Fm-3m
ID-4149141_OQMD-EnID-319947.poscar,-1.6807,P63/mmc
ID-4794723_OQMD-EnID-344433.poscar,-1.6194,Pm-3m
ID-4072566_OQMD-EnID-11434.poscar,-3.5472,P-3m1
ID-4298058_OQMD-EnID-353043.poscar,-2.6517,Pm-3m
ID-4508913_OQMD-EnID-20303.poscar,-3.5491,C2/m
ID-4840638_OQMD-EnID-678195.poscar,-3.5214,R-3
ID-5024514_OQMD-EnID-16545.poscar,-3.5761,Ia-3
ID-5731412_OQMD-EnID-1343275.poscar,-3.4837,Pnma
ID-5731625_OQMD-EnID-1344031.poscar,-3.5729,I213
ID-5812822_OQMD-EnID-1442710.poscar,-3.3574,P321
ID-5813207_OQMD-EnID-1444197.poscar,-3.3558,P321
ID-4887228_OQMD-EnID-358372.poscar,-2.6175,P4/mmm
ID-4064184_OQMD-EnID-13991.poscar,-2.9124,Fm-3m
ID-4480374_OQMD-EnID-306930.poscar,-2.3841,Pm-3m
ID-4504548_OQMD-EnID-328014.poscar,-2.9134,R-3m
ID-4516173_OQMD-EnID-338472.poscar,-2.3667,P4/mmm
ID-5493893_OQMD-EnID-1106115.poscar,-2.9142,Fm-3m
ID-5571945_OQMD-EnID-1223655.poscar,-2.7247,F-43m
ID-5575944_OQMD-EnID-1230627.poscar,-2.6488,P-6m2
ID-5602163_OQMD-EnID-1241448.poscar,-0.9764,Fd-3m
ID-5770554_OQMD-EnID-1416301.poscar,-1.2243,Fm-3m
ID-5945091_OQMD-EnID-1576954.poscar,0.4093,Fd-3m
ID-4111443_OQMD-EnID-298864.poscar,-0.1229,I4/mmm
ID-4129422_OQMD-EnID-309405.poscar,0.1263,Fm-3m
ID-4158201_OQMD-EnID-323568.poscar,-0.7954,P63/mmc
ID-4797660_OQMD-EnID-348054.poscar,-0.1175,Pm-3m
ID-4788696_OQMD-EnID-1990.poscar,-3.2343,R-3
ID-4086612_OQMD-EnID-14501.poscar,-3.1667,P-1
ID-4105638_OQMD-EnID-24501.poscar,-2.823,Pnma
ID-4814382_OQMD-EnID-669609.poscar,-2.8416,Fm-3m
ID-5577484_OQMD-EnID-1234113.poscar,-2.634,P42/mnm
ID-5602167_OQMD-EnID-1241449.poscar,-2.3174,Fd-3m
ID-5763601_OQMD-EnID-1376331.poscar,-3.0932,C2/m
ID-5817380_OQMD-EnID-1441265.poscar,-2.854,Pcca
ID-5947036_OQMD-EnID-1589771.poscar,-1.009,Fd-3m
ID-6046024_OQMD-EnID-1753363.poscar,-2.85,Immm
ID-4812252_OQMD-EnID-428191.poscar,-2.2454,R-3c
ID-4120305_OQMD-EnID-302484.poscar,-1.6082,I4/mmm
ID-4140291_OQMD-EnID-313026.poscar,-1.754,Fm-3m
ID-4149141_OQMD-EnID-319947.poscar,-1.6807,P63/mmc
ID-4794723_OQMD-EnID-344433.poscar,-1.6194,Pm-3m
ID-4072566_OQMD-EnID-11434.poscar,-3.5472,P-3m1
ID-4298058_OQMD-EnID-353043.poscar,-2.6517,Pm-3m
ID-4508913_OQMD-EnID-20303.poscar,-3.5491,C2/m
ID-4840638_OQMD-EnID-678195.poscar,-3.5214,R-3
ID-5024514_OQMD-EnID-16545.poscar,-3.5761,Ia-3
ID-5731412_OQMD-EnID-1343275.poscar,-3.4837,Pnma
ID-5731625_OQMD-EnID-1344031.poscar,-3.5729,I213
ID-5812822_OQMD-EnID-1442710.poscar,-3.3574,P321
ID-5813207_OQMD-EnID-1444197.poscar,-3.3558,P321
ID-4887228_OQMD-EnID-358372.poscar,-2.6175,P4/mmm
ID-4064184_OQMD-EnID-13991.poscar,-2.9124,Fm-3m
ID-4480374_OQMD-EnID-306930.poscar,-2.3841,Pm-3m
ID-4504548_OQMD-EnID-328014.poscar,-2.9134,R-3m
ID-4516173_OQMD-EnID-338472.poscar,-2.3667,P4/mmm
ID-5493893_OQMD-EnID-1106115.poscar,-2.9142,Fm-3m
ID-5571945_OQMD-EnID-1223655.poscar,-2.7247,F-43m
ID-5575944_OQMD-EnID-1230627.poscar,-2.6488,P-6m2
ID-5602163_OQMD-EnID-1241448.poscar,-0.9764,Fd-3m
ID-5770554_OQMD-EnID-1416301.poscar,-1.2243,Fm-3m
ID-5945091_OQMD-EnID-1576954.poscar,0.4093,Fd-3m
