filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4063743_OQMD-EnID-17895.poscar,0.3393,Fm-3m
ID-4066311_OQMD-EnID-5057.poscar,-0.4486,P42/mmc
ID-4469241_OQMD-EnID-305922.poscar,0.6228,Pm-3m
ID-4501389_OQMD-EnID-327006.poscar,0.2978,R-3m
ID-4513350_OQMD-EnID-337464.poscar,1.0068,P4/mmm
ID-5492885_OQMD-EnID-1105107.poscar,0.3388,Fm-3m
ID-5571946_OQMD-EnID-1223656.poscar,0.3991,F-43m
ID-5575945_OQMD-EnID-1230628.poscar,0.433,P-6m2
ID-5762943_OQMD-EnID-1243533.poscar,0.5016,P63/mmc
ID-5762944_OQMD-EnID-1243534.poscar,0.3412,P63/mmc
ID-5811160_OQMD-EnID-1443173.poscar,0.344,I4/mmm
ID-5595204_OQMD-EnID-1236784.poscar,0.5827,Fd-3m
ID-5777374_OQMD-EnID-1416626.poscar,0.7999,Fm-3m
ID-5963739_OQMD-EnID-1594701.poscar,1.2284,Fd-3m
ID-4108005_OQMD-EnID-297416.poscar,0.4839,I4/mmm
ID-4125741_OQMD-EnID-307938.poscar,0.4733,Fm-3m
ID-4153185_OQMD-EnID-321529.poscar,0.384,P63/mmc
ID-4796112_OQMD-EnID-346015.poscar,0.6825,Pm-3m
ID-6005253_OQMD-EnID-1603231.poscar,0.6653,P6/mmm
ID-4900512_OQMD-EnID-694455.poscar,-0.276,P1
ID-4900515_OQMD-EnID-694456.poscar,-0.2749,P1
ID-5122305_OQMD-EnID-825060.poscar,-0.2626,P1
ID-5122452_OQMD-EnID-825059.poscar,-0.2921,P1
ID-4065681_OQMD-EnID-20807.poscar,-0.7223,C2/m
ID-4076712_OQMD-EnID-13992.poscar,0.0475,Pn-3m
ID-4444404_OQMD-EnID-5851.poscar,-0.7409,Pnnm
ID-4444521_OQMD-EnID-4729.poscar,-0.7131,P63mc
ID-4810194_OQMD-EnID-67834.poscar,-0.7133,P-3m1
ID-5577485_OQMD-EnID-1234114.poscar,-0.7,P42/mnm
ID-5595215_OQMD-EnID-1236785.poscar,0.0197,Fd-3m
ID-5632081_OQMD-EnID-1280956.poscar,-0.6506,Pa-3
ID-5778492_OQMD-EnID-1416625.poscar,-0.3357,Fm-3m
ID-5811792_OQMD-EnID-1441344.poscar,0.4136,I4/mmm
ID-5811797_OQMD-EnID-1442169.poscar,0.2672,R3m
ID-5812114_OQMD-EnID-1444254.poscar,-0.3557,P2/m
ID-5812120_OQMD-EnID-1443935.poscar,-0.2693,Cmmm
ID-5813386_OQMD-EnID-1442046.poscar,0.1217,Cmcm
ID-5813434_OQMD-EnID-1441155.poscar,0.656,P4/nmm
ID-5813465_OQMD-EnID-1441832.poscar,0.2712,P63/mmc
ID-5813490_OQMD-EnID-1442386.poscar,-0.3347,P42/nmc
ID-5813754_OQMD-EnID-1443195.poscar,0.137,Cmcm
ID-5814001_OQMD-EnID-1443657.poscar,-0.7394,P2/m
ID-5816846_OQMD-EnID-1439847.poscar,-0.6516,Pnma
ID-5817075_OQMD-EnID-1441191.poscar,-0.6959,Pbcn
ID-5817229_OQMD-EnID-1441000.poscar,-0.7314,P21/c
ID-5817293_OQMD-EnID-1441634.poscar,-0.7069,P41212
ID-5817301_OQMD-EnID-1441467.poscar,-0.6574,Pa-3
ID-5817392_OQMD-EnID-1441608.poscar,-0.7406,P212121
ID-5817589_OQMD-EnID-1440291.poscar,-0.7258,P-1
ID-5817897_OQMD-EnID-1441663.poscar,-0.6515,P21/m
ID-5817997_OQMD-EnID-1444377.poscar,-0.7059,I4/m
ID-5947095_OQMD-EnID-1589790.poscar,1.4434,Fd-3m
ID-6047185_OQMD-EnID-1753569.poscar,-0.4965,I41/amd
ID-4811391_OQMD-EnID-428192.poscar,0.5694,R-3c
ID-4115259_OQMD-EnID-300445.poscar,0.7549,I4/mmm
ID-4134357_OQMD-EnID-310987.poscar,0.7511,Fm-3m
ID-4145508_OQMD-EnID-318480.poscar,0.4074,P63/mmc
ID-4163853_OQMD-EnID-342966.poscar,1.094,Pm-3m
ID-4857591_OQMD-EnID-690791.poscar,-0.3287,C2/m
ID-4906104_OQMD-EnID-694988.poscar,-0.2299,C2
ID-4906203_OQMD-EnID-694987.poscar,-0.2536,P1
ID-5121999_OQMD-EnID-824999.poscar,-0.3231,C2
ID-5124018_OQMD-EnID-825019.poscar,-0.3524,P1
ID-4276020_OQMD-EnID-350475.poscar,0.4304,Pm-3m
ID-6022738_OQMD-EnID-1719779.poscar,-0.1454,R-3c
ID-5726310_OQMD-EnID-1338396.poscar,-0.1037,Cm
ID-5732120_OQMD-EnID-1343163.poscar,0.0976,P2/c
ID-5758627_OQMD-EnID-1375582.poscar,-0.3159,P-1
ID-4077459_OQMD-EnID-30891.poscar,0.3941,Im-3m
ID-4447287_OQMD-EnID-5398.poscar,0.3941,Im-3m
ID-4501050_OQMD-EnID-5852.poscar,-0.6765,Pm-3n
ID-4900365_OQMD-EnID-694413.poscar,-0.22,P1
ID-4900407_OQMD-EnID-694414.poscar,-0.2164,Cm
ID-5632403_OQMD-EnID-1281176.poscar,-0.4904,Fd-3m
ID-5632404_OQMD-EnID-1281156.poscar,-0.4906,Fd-3m
ID-4063743_OQMD-EnID-17895.poscar,0.3393,Fm-3m
ID-4066311_OQMD-EnID-5057.poscar,-0.4486,P42/mmc
ID-4469241_OQMD-EnID-305922.poscar,0.6228,Pm-3m
ID-4501389_OQMD-EnID-327006.poscar,0.2978,R-3m
ID-4513350_OQMD-EnID-337464.poscar,1.0068,P4/mmm
ID-5492885_OQMD-EnID-1105107.poscar,0.3388,Fm-3m
ID-5571946_OQMD-EnID-1223656.poscar,0.3991,F-43m
ID-5575945_OQMD-EnID-1230628.poscar,0.433,P-6m2
ID-5762943_OQMD-EnID-1243533.poscar,0.5016,P63/mmc
ID-5762944_OQMD-EnID-1243534.poscar,0.3412,P63/mmc
ID-5811160_OQMD-EnID-1443173.poscar,0.344,I4/mmm
ID-5595204_OQMD-EnID-1236784.poscar,0.5827,Fd-3m
ID-5777374_OQMD-EnID-1416626.poscar,0.7999,Fm-3m
ID-5963739_OQMD-EnID-1594701.poscar,1.2284,Fd-3m
ID-4108005_OQMD-EnID-297416.poscar,0.4839,I4/mmm
ID-4125741_OQMD-EnID-307938.poscar,0.4733,Fm-3m
ID-4153185_OQMD-EnID-321529.poscar,0.384,P63/mmc
ID-4796112_OQMD-EnID-346015.poscar,0.6825,Pm-3m
ID-6005253_OQMD-EnID-1603231.poscar,0.6653,P6/mmm
ID-4900512_OQMD-EnID-694455.poscar,-0.276,P1
ID-4900515_OQMD-EnID-694456.poscar,-0.2749,P1
ID-5122305_OQMD-EnID-825060.poscar,-0.2626,P1
ID-5122452_OQMD-EnID-825059.poscar,-0.2921,P1
ID-4065681_OQMD-EnID-20807.poscar,-0.7223,C2/m
ID-4076712_OQMD-EnID-13992.poscar,0.0475,Pn-3m
ID-4444404_OQMD-EnID-5851.poscar,-0.7409,Pnnm
ID-4444521_OQMD-EnID-4729.poscar,-0.7131,P63mc
ID-4810194_OQMD-EnID-67834.poscar,-0.7133,P-3m1
ID-5577485_OQMD-EnID-1234114.poscar,-0.7,P42/mnm
ID-5595215_OQMD-EnID-1236785.poscar,0.0197,Fd-3m
ID-5632081_OQMD-EnID-1280956.poscar,-0.6506,Pa-3
ID-5778492_OQMD-EnID-1416625.poscar,-0.3357,Fm-3m
ID-5811792_OQMD-EnID-1441344.poscar,0.4136,I4/mmm
ID-5811797_OQMD-EnID-1442169.poscar,0.2672,R3m
ID-5812114_OQMD-EnID-1444254.poscar,-0.3557,P2/m
ID-5812120_OQMD-EnID-1443935.poscar,-0.2693,Cmmm
ID-5813386_OQMD-EnID-1442046.poscar,0.1217,Cmcm
ID-5813434_OQMD-EnID-1441155.poscar,0.656,P4/nmm
ID-5813465_OQMD-EnID-1441832.poscar,0.2712,P63/mmc
ID-5813490_OQMD-EnID-1442386.poscar,-0.3347,P42/nmc
ID-5813754_OQMD-EnID-1443195.poscar,0.137,Cmcm
ID-5814001_OQMD-EnID-1443657.poscar,-0.7394,P2/m
ID-5816846_OQMD-EnID-1439847.poscar,-0.6516,Pnma
ID-5817075_OQMD-EnID-1441191.poscar,-0.6959,Pbcn
ID-5817229_OQMD-EnID-1441000.poscar,-0.7314,P21/c
ID-5817293_OQMD-EnID-1441634.poscar,-0.7069,P41212
ID-5817301_OQMD-EnID-1441467.poscar,-0.6574,Pa-3
ID-5817392_OQMD-EnID-1441608.poscar,-0.7406,P212121
ID-5817589_OQMD-EnID-1440291.poscar,-0.7258,P-1
ID-5817897_OQMD-EnID-1441663.poscar,-0.6515,P21/m
ID-5817997_OQMD-EnID-1444377.poscar,-0.7059,I4/m
ID-5947095_OQMD-EnID-1589790.poscar,1.4434,Fd-3m
ID-6047185_OQMD-EnID-1753569.poscar,-0.4965,I41/amd
ID-4811391_OQMD-EnID-428192.poscar,0.5694,R-3c
ID-4115259_OQMD-EnID-300445.poscar,0.7549,I4/mmm
ID-4134357_OQMD-EnID-310987.poscar,0.7511,Fm-3m
ID-4145508_OQMD-EnID-318480.poscar,0.4074,P63/mmc
ID-4163853_OQMD-EnID-342966.poscar,1.094,Pm-3m
ID-4857591_OQMD-EnID-690791.poscar,-0.3287,C2/m
ID-4906104_OQMD-EnID-694988.poscar,-0.2299,C2
ID-4906203_OQMD-EnID-694987.poscar,-0.2536,P1
ID-5121999_OQMD-EnID-824999.poscar,-0.3231,C2
ID-5124018_OQMD-EnID-825019.poscar,-0.3524,P1
ID-4276020_OQMD-EnID-350475.poscar,0.4304,Pm-3m
ID-6022738_OQMD-EnID-1719779.poscar,-0.1454,R-3c
ID-5726310_OQMD-EnID-1338396.poscar,-0.1037,Cm
ID-5732120_OQMD-EnID-1343163.poscar,0.0976,P2/c
ID-5758627_OQMD-EnID-1375582.poscar,-0.3159,P-1
ID-4077459_OQMD-EnID-30891.poscar,0.3941,Im-3m
ID-4447287_OQMD-EnID-5398.poscar,0.3941,Im-3m
ID-4501050_OQMD-EnID-5852.poscar,-0.6765,Pm-3n
ID-4900365_OQMD-EnID-694413.poscar,-0.22,P1
ID-4900407_OQMD-EnID-694414.poscar,-0.2164,Cm
ID-5632403_OQMD-EnID-1281176.poscar,-0.4904,Fd-3m
ID-5632404_OQMD-EnID-1281156.poscar,-0.4906,Fd-3m
ID-4063743_OQMD-EnID-17895.poscar,0.3393,Fm-3m
ID-4066311_OQMD-EnID-5057.poscar,-0.4486,P42/mmc
ID-4469241_OQMD-EnID-305922.poscar,0.6228,Pm-3m
ID-4501389_OQMD-EnID-327006.poscar,0.2978,R-3m
ID-4513350_OQMD-EnID-337464.poscar,1.0068,P4/mmm
ID-5492885_OQMD-EnID-1105107.poscar,0.3388,Fm-3m
ID-5571946_OQMD-EnID-1223656.poscar,0.3991,F-43m
ID-5575945_OQMD-EnID-1230628.poscar,0.433,P-6m2
ID-5762943_OQMD-EnID-1243533.poscar,0.5016,P63/mmc
ID-5762944_OQMD-EnID-1243534.poscar,0.3412,P63/mmc
ID-5811160_OQMD-EnID-1443173.poscar,0.344,I4/mmm
ID-5595204_OQMD-EnID-1236784.poscar,0.5827,Fd-3m
ID-5777374_OQMD-EnID-1416626.poscar,0.7999,Fm-3m
ID-5963739_OQMD-EnID-1594701.poscar,1.2284,Fd-3m
ID-4108005_OQMD-EnID-297416.poscar,0.4839,I4/mmm
ID-4125741_OQMD-EnID-307938.poscar,0.4733,Fm-3m
ID-4153185_OQMD-EnID-321529.poscar,0.384,P63/mmc
ID-4796112_OQMD-EnID-346015.poscar,0.6825,Pm-3m
ID-6005253_OQMD-EnID-1603231.poscar,0.6653,P6/mmm
ID-4900512_OQMD-EnID-694455.poscar,-0.276,P1
ID-4900515_OQMD-EnID-694456.poscar,-0.2749,P1
ID-5122305_OQMD-EnID-825060.poscar,-0.2626,P1
ID-5122452_OQMD-EnID-825059.poscar,-0.2921,P1
ID-4065681_OQMD-EnID-20807.poscar,-0.7223,C2/m
ID-4076712_OQMD-EnID-13992.poscar,0.0475,Pn-3m
ID-4444404_OQMD-EnID-5851.poscar,-0.7409,Pnnm
ID-4444521_OQMD-EnID-4729.poscar,-0.7131,P63mc
ID-4810194_OQMD-EnID-67834.poscar,-0.7133,P-3m1
ID-5577485_OQMD-EnID-1234114.poscar,-0.7,P42/mnm
ID-5595215_OQMD-EnID-1236785.poscar,0.0197,Fd-3m
ID-5632081_OQMD-EnID-1280956.poscar,-0.6506,Pa-3
ID-5778492_OQMD-EnID-1416625.poscar,-0.3357,Fm-3m
ID-5811792_OQMD-EnID-1441344.poscar,0.4136,I4/mmm
ID-5811797_OQMD-EnID-1442169.poscar,0.2672,R3m
ID-5812114_OQMD-EnID-1444254.poscar,-0.3557,P2/m
ID-5812120_OQMD-EnID-1443935.poscar,-0.2693,Cmmm
