filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4479162_OQMD-EnID-306805.poscar,0.5765,Pm-3m
ID-4503909_OQMD-EnID-327889.poscar,-0.0688,R-3m
ID-4515840_OQMD-EnID-338347.poscar,0.9009,P4/mmm
ID-5493768_OQMD-EnID-1105990.poscar,0.7488,Fm-3m
ID-5571949_OQMD-EnID-1223659.poscar,0.0886,F-43m
ID-5575948_OQMD-EnID-1230631.poscar,0.0172,P-6m2
ID-5777222_OQMD-EnID-1416566.poscar,1.1941,Fm-3m
ID-5963174_OQMD-EnID-1594478.poscar,1.5788,Fd-3m
ID-4107909_OQMD-EnID-297377.poscar,0.833,I4/mmm
ID-4125630_OQMD-EnID-307899.poscar,0.6058,Fm-3m
ID-4157598_OQMD-EnID-323322.poscar,0.2812,P63/mmc
ID-4797501_OQMD-EnID-347808.poscar,1.1132,Pm-3m
ID-5350988_OQMD-EnID-297377.poscar,0.8325,I4/mmm
ID-6005192_OQMD-EnID-1603228.poscar,1.0151,P6/mmm
ID-4076508_OQMD-EnID-19777.poscar,-1.5877,P42/mnm
ID-4095114_OQMD-EnID-4516.poscar,-1.708,Pbcn
ID-5577488_OQMD-EnID-1234117.poscar,-1.5866,P42/mnm
ID-5731070_OQMD-EnID-1343750.poscar,-1.6354,P21/c
ID-5731403_OQMD-EnID-1343611.poscar,-1.6054,P-1
ID-5731516_OQMD-EnID-1343265.poscar,-1.6074,P-1
ID-5731794_OQMD-EnID-1343194.poscar,-1.6355,P21/c
ID-5778103_OQMD-EnID-1416565.poscar,-1.2345,Fm-3m
ID-5811540_OQMD-EnID-1440174.poscar,-1.2878,P-3m1
ID-5811600_OQMD-EnID-1440802.poscar,-1.2903,C2/m
ID-5812018_OQMD-EnID-1444252.poscar,-1.1065,P2/m
ID-5813035_OQMD-EnID-1439727.poscar,-1.5747,Pnnm
ID-5813507_OQMD-EnID-1442557.poscar,-1.1469,P63mc
ID-5813707_OQMD-EnID-1442800.poscar,-1.0525,Pn-3m
ID-5839535_OQMD-EnID-1473757.poscar,-1.1945,P63/mmc
ID-5848283_OQMD-EnID-1474145.poscar,-1.542,Pmn21
ID-5911559_OQMD-EnID-1473575.poscar,-1.1944,R3m
ID-5947076_OQMD-EnID-1589787.poscar,1.1938,Fd-3m
ID-6053949_OQMD-EnID-1757067.poscar,-1.215,Cmcm
ID-6054323_OQMD-EnID-1757694.poscar,-1.4527,P1
ID-6059275_OQMD-EnID-1745294.poscar,-1.0346,P3121
ID-4812198_OQMD-EnID-428195.poscar,-0.0253,R-3c
ID-4066227_OQMD-EnID-17897.poscar,-1.9008,Pm-3m
ID-4079658_OQMD-EnID-13997.poscar,-1.8999,P4/mbm
ID-4079775_OQMD-EnID-22781.poscar,-1.7988,P6322
ID-4119738_OQMD-EnID-302238.poscar,-0.2756,I4/mmm
ID-4139658_OQMD-EnID-312780.poscar,-0.2721,Fm-3m
ID-4145406_OQMD-EnID-318441.poscar,-0.3658,P63/mmc
ID-4782918_OQMD-EnID-17896.poscar,-1.8921,Im-3
ID-4793493_OQMD-EnID-342927.poscar,0.3428,Pm-3m
ID-6006763_OQMD-EnID-1706089.poscar,-1.8665,R-3c
ID-6007061_OQMD-EnID-1707993.poscar,-1.9047,P4/nmm
ID-6007704_OQMD-EnID-1707995.poscar,-1.8383,P6/mmm
ID-4301073_OQMD-EnID-353839.poscar,-0.0802,Pm-3m
ID-5726311_OQMD-EnID-1338397.poscar,-0.9858,Cm
ID-5732121_OQMD-EnID-1343164.poscar,-1.3721,P2/c
ID-5814278_OQMD-EnID-1444127.poscar,-1.2817,C2
ID-5814355_OQMD-EnID-1443328.poscar,-1.7584,C2/m
ID-4889649_OQMD-EnID-359168.poscar,-0.3878,P4/mmm
ID-5461794_OQMD-EnID-36624.poscar,-1.7567,P212121
ID-5632413_OQMD-EnID-1281441.poscar,-1.0139,Fd-3m
ID-5632414_OQMD-EnID-1281298.poscar,-1.0145,Fd-3m
ID-4479162_OQMD-EnID-306805.poscar,0.5765,Pm-3m
ID-4503909_OQMD-EnID-327889.poscar,-0.0688,R-3m
ID-4515840_OQMD-EnID-338347.poscar,0.9009,P4/mmm
ID-5493768_OQMD-EnID-1105990.poscar,0.7488,Fm-3m
ID-5571949_OQMD-EnID-1223659.poscar,0.0886,F-43m
ID-5575948_OQMD-EnID-1230631.poscar,0.0172,P-6m2
ID-5777222_OQMD-EnID-1416566.poscar,1.1941,Fm-3m
ID-5963174_OQMD-EnID-1594478.poscar,1.5788,Fd-3m
ID-4107909_OQMD-EnID-297377.poscar,0.833,I4/mmm
ID-4125630_OQMD-EnID-307899.poscar,0.6058,Fm-3m
ID-4157598_OQMD-EnID-323322.poscar,0.2812,P63/mmc
ID-4797501_OQMD-EnID-347808.poscar,1.1132,Pm-3m
ID-5350988_OQMD-EnID-297377.poscar,0.8325,I4/mmm
ID-6005192_OQMD-EnID-1603228.poscar,1.0151,P6/mmm
ID-4076508_OQMD-EnID-19777.poscar,-1.5877,P42/mnm
ID-4095114_OQMD-EnID-4516.poscar,-1.708,Pbcn
ID-5577488_OQMD-EnID-1234117.poscar,-1.5866,P42/mnm
ID-5731070_OQMD-EnID-1343750.poscar,-1.6354,P21/c
ID-5731403_OQMD-EnID-1343611.poscar,-1.6054,P-1
ID-5731516_OQMD-EnID-1343265.poscar,-1.6074,P-1
ID-5731794_OQMD-EnID-1343194.poscar,-1.6355,P21/c
ID-5778103_OQMD-EnID-1416565.poscar,-1.2345,Fm-3m
ID-5811540_OQMD-EnID-1440174.poscar,-1.2878,P-3m1
ID-5811600_OQMD-EnID-1440802.poscar,-1.2903,C2/m
ID-5812018_OQMD-EnID-1444252.poscar,-1.1065,P2/m
ID-5813035_OQMD-EnID-1439727.poscar,-1.5747,Pnnm
ID-5813507_OQMD-EnID-1442557.poscar,-1.1469,P63mc
ID-5813707_OQMD-EnID-1442800.poscar,-1.0525,Pn-3m
ID-5839535_OQMD-EnID-1473757.poscar,-1.1945,P63/mmc
ID-5848283_OQMD-EnID-1474145.poscar,-1.542,Pmn21
ID-5911559_OQMD-EnID-1473575.poscar,-1.1944,R3m
ID-5947076_OQMD-EnID-1589787.poscar,1.1938,Fd-3m
ID-6053949_OQMD-EnID-1757067.poscar,-1.215,Cmcm
ID-6054323_OQMD-EnID-1757694.poscar,-1.4527,P1
ID-6059275_OQMD-EnID-1745294.poscar,-1.0346,P3121
ID-4812198_OQMD-EnID-428195.poscar,-0.0253,R-3c
ID-4066227_OQMD-EnID-17897.poscar,-1.9008,Pm-3m
ID-4079658_OQMD-EnID-13997.poscar,-1.8999,P4/mbm
ID-4079775_OQMD-EnID-22781.poscar,-1.7988,P6322
ID-4119738_OQMD-EnID-302238.poscar,-0.2756,I4/mmm
ID-4139658_OQMD-EnID-312780.poscar,-0.2721,Fm-3m
ID-4145406_OQMD-EnID-318441.poscar,-0.3658,P63/mmc
ID-4782918_OQMD-EnID-17896.poscar,-1.8921,Im-3
ID-4793493_OQMD-EnID-342927.poscar,0.3428,Pm-3m
ID-6006763_OQMD-EnID-1706089.poscar,-1.8665,R-3c
ID-6007061_OQMD-EnID-1707993.poscar,-1.9047,P4/nmm
ID-6007704_OQMD-EnID-1707995.poscar,-1.8383,P6/mmm
ID-4301073_OQMD-EnID-353839.poscar,-0.0802,Pm-3m
ID-5726311_OQMD-EnID-1338397.poscar,-0.9858,Cm
ID-5732121_OQMD-EnID-1343164.poscar,-1.3721,P2/c
ID-5814278_OQMD-EnID-1444127.poscar,-1.2817,C2
ID-5814355_OQMD-EnID-1443328.poscar,-1.7584,C2/m
ID-4889649_OQMD-EnID-359168.poscar,-0.3878,P4/mmm
ID-5461794_OQMD-EnID-36624.poscar,-1.7567,P212121
ID-5632413_OQMD-EnID-1281441.poscar,-1.0139,Fd-3m
ID-5632414_OQMD-EnID-1281298.poscar,-1.0145,Fd-3m
ID-4479162_OQMD-EnID-306805.poscar,0.5765,Pm-3m
ID-4503909_OQMD-EnID-327889.poscar,-0.0688,R-3m
ID-4515840_OQMD-EnID-338347.poscar,0.9009,P4/mmm
ID-5493768_OQMD-EnID-1105990.poscar,0.7488,Fm-3m
ID-5571949_OQMD-EnID-1223659.poscar,0.0886,F-43m
ID-5575948_OQMD-EnID-1230631.poscar,0.0172,P-6m2
ID-5777222_OQMD-EnID-1416566.poscar,1.1941,Fm-3m
ID-5963174_OQMD-EnID-1594478.poscar,1.5788,Fd-3m
ID-4107909_OQMD-EnID-297377.poscar,0.833,I4/mmm
ID-4125630_OQMD-EnID-307899.poscar,0.6058,Fm-3m
ID-4157598_OQMD-EnID-323322.poscar,0.2812,P63/mmc
ID-4797501_OQMD-EnID-347808.poscar,1.1132,Pm-3m
ID-5350988_OQMD-EnID-297377.poscar,0.8325,I4/mmm
ID-6005192_OQMD-EnID-1603228.poscar,1.0151,P6/mmm
ID-4076508_OQMD-EnID-19777.poscar,-1.5877,P42/mnm
ID-4095114_OQMD-EnID-4516.poscar,-1.708,Pbcn
ID-5577488_OQMD-EnID-1234117.poscar,-1.5866,P42/mnm
ID-5731070_OQMD-EnID-1343750.poscar,-1.6354,P21/c
ID-5731403_OQMD-EnID-1343611.poscar,-1.6054,P-1
ID-5731516_OQMD-EnID-1343265.poscar,-1.6074,P-1
ID-5731794_OQMD-EnID-1343194.poscar,-1.6355,P21/c
ID-5778103_OQMD-EnID-1416565.poscar,-1.2345,Fm-3m
ID-5811540_OQMD-EnID-1440174.poscar,-1.2878,P-3m1
ID-5811600_OQMD-EnID-1440802.poscar,-1.2903,C2/m
ID-5812018_OQMD-EnID-1444252.poscar,-1.1065,P2/m
ID-5813035_OQMD-EnID-1439727.poscar,-1.5747,Pnnm
ID-5813507_OQMD-EnID-1442557.poscar,-1.1469,P63mc
ID-5813707_OQMD-EnID-1442800.poscar,-1.0525,Pn-3m
ID-5839535_OQMD-EnID-1473757.poscar,-1.1945,P63/mmc
ID-5848283_OQMD-EnID-1474145.poscar,-1.542,Pmn21
ID-5911559_OQMD-EnID-1473575.poscar,-1.1944,R3m
ID-5947076_OQMD-EnID-1589787.poscar,1.1938,Fd-3m
ID-6053949_OQMD-EnID-1757067.poscar,-1.215,Cmcm
ID-6054323_OQMD-EnID-1757694.poscar,-1.4527,P1
ID-6059275_OQMD-EnID-1745294.poscar,-1.0346,P3121
ID-4812198_OQMD-EnID-428195.poscar,-0.0253,R-3c
ID-4066227_OQMD-EnID-17897.poscar,-1.9008,Pm-3m
ID-4079658_OQMD-EnID-13997.poscar,-1.8999,P4/mbm
ID-4079775_OQMD-EnID-22781.poscar,-1.7988,P6322
ID-4119738_OQMD-EnID-302238.poscar,-0.2756,I4/mmm
ID-4139658_OQMD-EnID-312780.poscar,-0.2721,Fm-3m
ID-4145406_OQMD-EnID-318441.poscar,-0.3658,P63/mmc
ID-4782918_OQMD-EnID-17896.poscar,-1.8921,Im-3
ID-4793493_OQMD-EnID-342927.poscar,0.3428,Pm-3m
ID-6006763_OQMD-EnID-1706089.poscar,-1.8665,R-3c
ID-6007061_OQMD-EnID-1707993.poscar,-1.9047,P4/nmm
ID-6007704_OQMD-EnID-1707995.poscar,-1.8383,P6/mmm
ID-4301073_OQMD-EnID-353839.poscar,-0.0802,Pm-3m
ID-5726311_OQMD-EnID-1338397.poscar,-0.9858,Cm
ID-5732121_OQMD-EnID-1343164.poscar,-1.3721,P2/c
ID-5814278_OQMD-EnID-1444127.poscar,-1.2817,C2
ID-5814355_OQMD-EnID-1443328.poscar,-1.7584,C2/m
ID-4889649_OQMD-EnID-359168.poscar,-0.3878,P4/mmm
ID-5461794_OQMD-EnID-36624.poscar,-1.7567,P212121
ID-5632413_OQMD-EnID-1281441.poscar,-1.0139,Fd-3m
ID-5632414_OQMD-EnID-1281298.poscar,-1.0145,Fd-3m
ID-4479162_OQMD-EnID-306805.poscar,0.5765,Pm-3m
ID-4503909_OQMD-EnID-327889.poscar,-0.0688,R-3m
ID-4515840_OQMD-EnID-338347.poscar,0.9009,P4/mmm
ID-5493768_OQMD-EnID-1105990.poscar,0.7488,Fm-3m
ID-5571949_OQMD-EnID-1223659.poscar,0.0886,F-43m
ID-5575948_OQMD-EnID-1230631.poscar,0.0172,P-6m2
ID-5777222_OQMD-EnID-1416566.poscar,1.1941,Fm-3m
ID-5963174_OQMD-EnID-1594478.poscar,1.5788,Fd-3m
ID-4107909_OQMD-EnID-297377.poscar,0.833,I4/mmm
ID-4125630_OQMD-EnID-307899.poscar,0.6058,Fm-3m
ID-4157598_OQMD-EnID-323322.poscar,0.2812,P63/mmc
ID-4797501_OQMD-EnID-347808.poscar,1.1132,Pm-3m
ID-5350988_OQMD-EnID-297377.poscar,0.8325,I4/mmm
ID-6005192_OQMD-EnID-1603228.poscar,1.0151,P6/mmm
ID-4076508_OQMD-EnID-19777.poscar,-1.5877,P42/mnm
ID-4095114_OQMD-EnID-4516.poscar,-1.708,Pbcn
ID-5577488_OQMD-EnID-1234117.poscar,-1.5866,P42/mnm
ID-5731070_OQMD-EnID-1343750.poscar,-1.6354,P21/c
ID-5731403_OQMD-EnID-1343611.poscar,-1.6054,P-1
ID-5731516_OQMD-EnID-1343265.poscar,-1.6074,P-1
ID-5731794_OQMD-EnID-1343194.poscar,-1.6355,P21/c
ID-5778103_OQMD-EnID-1416565.poscar,-1.2345,Fm-3m
ID-5811540_OQMD-EnID-1440174.poscar,-1.2878,P-3m1
ID-5811600_OQMD-EnID-1440802.poscar,-1.2903,C2/m
ID-5812018_OQMD-EnID-1444252.poscar,-1.1065,P2/m
ID-5813035_OQMD-EnID-1439727.poscar,-1.5747,Pnnm
ID-5813507_OQMD-EnID-1442557.poscar,-1.1469,P63mc
ID-5813707_OQMD-EnID-1442800.poscar,-1.0525,Pn-3m
ID-5839535_OQMD-EnID-1473757.poscar,-1.1945,P63/mmc
ID-5848283_OQMD-EnID-1474145.poscar,-1.542,Pmn21
ID-5911559_OQMD-EnID-1473575.poscar,-1.1944,R3m
ID-5947076_OQMD-EnID-1589787.poscar,1.1938,Fd-3m
ID-6053949_OQMD-EnID-1757067.poscar,-1.215,Cmcm
ID-6054323_OQMD-EnID-1757694.poscar,-1.4527,P1
ID-6059275_OQMD-EnID-1745294.poscar,-1.0346,P3121
ID-4812198_OQMD-EnID-428195.poscar,-0.0253,R-3c
ID-4066227_OQMD-EnID-17897.poscar,-1.9008,Pm-3m
ID-4079658_OQMD-EnID-13997.poscar,-1.8999,P4/mbm
ID-4079775_OQMD-EnID-22781.poscar,-1.7988,P6322
ID-4119738_OQMD-EnID-302238.poscar,-0.2756,I4/mmm
ID-4139658_OQMD-EnID-312780.poscar,-0.2721,Fm-3m
