filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4484853_OQMD-EnID-307404.poscar,0.1705,Pm-3m
ID-4507062_OQMD-EnID-328488.poscar,-0.1427,R-3m
ID-4517472_OQMD-EnID-338946.poscar,0.5235,P4/mmm
ID-5494365_OQMD-EnID-1106589.poscar,-0.0445,Fm-3m
ID-5571950_OQMD-EnID-1223660.poscar,-0.1703,F-43m
ID-5575949_OQMD-EnID-1230632.poscar,-0.0068,P-6m2
ID-6033236_OQMD-EnID-1733405.poscar,-0.1483,P4/nmm
ID-6035090_OQMD-EnID-1739201.poscar,-0.1476,Cmc21
ID-5955797_OQMD-EnID-1592288.poscar,1.2074,Fd-3m
ID-4108560_OQMD-EnID-297655.poscar,0.4437,I4/mmm
ID-4126332_OQMD-EnID-308184.poscar,0.4671,Fm-3m
ID-4160436_OQMD-EnID-324473.poscar,0.2612,P63/mmc
ID-4798404_OQMD-EnID-348959.poscar,0.6547,Pm-3m
ID-6004899_OQMD-EnID-1603200.poscar,0.9003,P6/mmm
ID-4900596_OQMD-EnID-694474.poscar,-0.5199,P1
ID-4900962_OQMD-EnID-694473.poscar,-0.5379,P1
ID-5122128_OQMD-EnID-825084.poscar,-0.5695,P1
ID-5122419_OQMD-EnID-825083.poscar,-0.5133,P1
ID-5122506_OQMD-EnID-825085.poscar,-0.5502,P1
ID-4076139_OQMD-EnID-5528.poscar,-1.0378,P42/mnm
ID-5577489_OQMD-EnID-1234118.poscar,-1.0404,P42/mnm
ID-5597556_OQMD-EnID-1239183.poscar,-0.4766,Fd-3m
ID-5632085_OQMD-EnID-1281014.poscar,-0.9721,Pa-3
ID-5811568_OQMD-EnID-1440473.poscar,-0.7756,Fm-3m
ID-5811598_OQMD-EnID-1440800.poscar,-0.8549,C2/m
ID-5813034_OQMD-EnID-1439726.poscar,-1.0404,Pnnm
ID-5813506_OQMD-EnID-1442554.poscar,-0.8601,P63mc
ID-5813705_OQMD-EnID-1442797.poscar,-0.4315,Pn-3m
ID-5815588_OQMD-EnID-1440704.poscar,-0.9938,C2/m
ID-5816850_OQMD-EnID-1439862.poscar,-0.8034,Pnma
ID-5817138_OQMD-EnID-1441190.poscar,-0.9908,Pbcn
ID-5817932_OQMD-EnID-1444382.poscar,-0.9676,I4/m
ID-5947009_OQMD-EnID-1589758.poscar,1.1575,Fd-3m
ID-6037009_OQMD-EnID-1739232.poscar,-0.9892,P21/c
ID-6047186_OQMD-EnID-1753570.poscar,-0.8526,I41/amd
ID-4811724_OQMD-EnID-428196.poscar,-0.2426,R-3c
ID-4122447_OQMD-EnID-303389.poscar,0.4701,I4/mmm
ID-4142517_OQMD-EnID-313931.poscar,0.4673,Fm-3m
ID-4146117_OQMD-EnID-318726.poscar,0.3062,P63/mmc
ID-4164282_OQMD-EnID-343212.poscar,0.7813,Pm-3m
ID-4857390_OQMD-EnID-690792.poscar,-0.5166,C2/m
ID-4906032_OQMD-EnID-694990.poscar,-0.4091,C2
ID-4906059_OQMD-EnID-694989.poscar,-0.4832,C2
ID-5122011_OQMD-EnID-825006.poscar,-0.511,C2
ID-5122131_OQMD-EnID-825032.poscar,-0.4282,P1
ID-5122134_OQMD-EnID-825033.poscar,-0.4343,P1
ID-4090236_OQMD-EnID-6305.poscar,-0.9112,R-3c
ID-4288896_OQMD-EnID-352166.poscar,-0.004,Pm-3m
ID-4819323_OQMD-EnID-4042.poscar,-0.9164,Pbcn
ID-4822647_OQMD-EnID-22375.poscar,-0.6105,Pnma
ID-4822737_OQMD-EnID-116702.poscar,-0.6371,Pnma
ID-4838634_OQMD-EnID-678207.poscar,-0.9121,R-3
ID-5042907_OQMD-EnID-33730.poscar,-0.9171,Pbca
ID-5731501_OQMD-EnID-1343744.poscar,-0.8131,Ia-3
ID-5731595_OQMD-EnID-1344110.poscar,-0.8134,Ia-3
ID-5731601_OQMD-EnID-1343680.poscar,-0.8128,Ia-3
ID-5816164_OQMD-EnID-1440988.poscar,-0.7205,Fdd2
ID-5816252_OQMD-EnID-1442527.poscar,-0.7926,Pn-3m
ID-5728841_OQMD-EnID-1338398.poscar,-0.2241,Cm
ID-5732122_OQMD-EnID-1343165.poscar,-0.085,P2/c
ID-5758296_OQMD-EnID-1376702.poscar,-0.5631,P2/m
ID-4900566_OQMD-EnID-694432.poscar,-0.5623,Cm
ID-4900929_OQMD-EnID-694431.poscar,-0.5721,P1
ID-4885158_OQMD-EnID-357495.poscar,0.0061,P4/mmm
ID-5632415_OQMD-EnID-1281324.poscar,-0.8217,Fd-3m
ID-5632416_OQMD-EnID-1281232.poscar,-0.8219,Fd-3m
ID-4484853_OQMD-EnID-307404.poscar,0.1705,Pm-3m
ID-4507062_OQMD-EnID-328488.poscar,-0.1427,R-3m
ID-4517472_OQMD-EnID-338946.poscar,0.5235,P4/mmm
ID-5494365_OQMD-EnID-1106589.poscar,-0.0445,Fm-3m
ID-5571950_OQMD-EnID-1223660.poscar,-0.1703,F-43m
ID-5575949_OQMD-EnID-1230632.poscar,-0.0068,P-6m2
ID-6033236_OQMD-EnID-1733405.poscar,-0.1483,P4/nmm
ID-6035090_OQMD-EnID-1739201.poscar,-0.1476,Cmc21
ID-5955797_OQMD-EnID-1592288.poscar,1.2074,Fd-3m
ID-4108560_OQMD-EnID-297655.poscar,0.4437,I4/mmm
ID-4126332_OQMD-EnID-308184.poscar,0.4671,Fm-3m
ID-4160436_OQMD-EnID-324473.poscar,0.2612,P63/mmc
ID-4798404_OQMD-EnID-348959.poscar,0.6547,Pm-3m
ID-6004899_OQMD-EnID-1603200.poscar,0.9003,P6/mmm
ID-4900596_OQMD-EnID-694474.poscar,-0.5199,P1
ID-4900962_OQMD-EnID-694473.poscar,-0.5379,P1
ID-5122128_OQMD-EnID-825084.poscar,-0.5695,P1
ID-5122419_OQMD-EnID-825083.poscar,-0.5133,P1
