filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4468638_OQMD-EnID-305710.poscar,-0.293,Pm-3m
ID-4500480_OQMD-EnID-326794.poscar,-0.6367,R-3m
ID-4512756_OQMD-EnID-337252.poscar,-0.2814,P4/mmm
ID-5492673_OQMD-EnID-1104895.poscar,-0.597,Fm-3m
ID-5571953_OQMD-EnID-1223663.poscar,-0.5564,F-43m
ID-5575952_OQMD-EnID-1230635.poscar,-0.6568,P-6m2
ID-5762931_OQMD-EnID-1243568.poscar,-0.494,P63/mmc
ID-5762983_OQMD-EnID-1243567.poscar,-0.6918,P63/mmc
ID-5595267_OQMD-EnID-1236817.poscar,0.1412,Fd-3m
ID-5767679_OQMD-EnID-1415507.poscar,0.0946,Fm-3m
ID-5957949_OQMD-EnID-1592742.poscar,0.7734,Fd-3m
ID-4124661_OQMD-EnID-304201.poscar,0.2702,I4/mmm
ID-4144524_OQMD-EnID-314743.poscar,0.1448,Fm-3m
ID-4152141_OQMD-EnID-321126.poscar,-0.0697,P63/mmc
ID-4795791_OQMD-EnID-345612.poscar,0.3533,Pm-3m
ID-6005525_OQMD-EnID-1603206.poscar,0.5233,P6/mmm
ID-4079373_OQMD-EnID-1780.poscar,-1.6342,Pna21
ID-4096239_OQMD-EnID-11787.poscar,-1.6508,C2/c
ID-4854612_OQMD-EnID-4785.poscar,-1.6522,Pnna
ID-4866207_OQMD-EnID-4573.poscar,-1.3176,Fd-3m
ID-4868898_OQMD-EnID-42222.poscar,-1.189,Fd-3m
ID-4869153_OQMD-EnID-669630.poscar,-1.6336,Pnna
ID-5577492_OQMD-EnID-1234121.poscar,-1.4841,P42/mnm
ID-5595268_OQMD-EnID-1236818.poscar,-1.3709,Fd-3m
ID-5637573_OQMD-EnID-1285241.poscar,-1.2614,Pnnm
ID-5637574_OQMD-EnID-1285240.poscar,-1.4476,P42/mnm
ID-5767604_OQMD-EnID-1415506.poscar,-1.2726,Fm-3m
ID-5817314_OQMD-EnID-1441725.poscar,-1.473,P21/m
ID-5947024_OQMD-EnID-1589764.poscar,0.6094,Fd-3m
ID-6053453_OQMD-EnID-1754888.poscar,-1.5233,Cmcm
ID-6054077_OQMD-EnID-1757174.poscar,-1.4598,I41/a
ID-4812546_OQMD-EnID-428199.poscar,-0.7648,R-3c
ID-4114290_OQMD-EnID-300042.poscar,-0.1739,I4/mmm
ID-4132980_OQMD-EnID-310584.poscar,-0.2105,Fm-3m
ID-4162512_OQMD-EnID-325285.poscar,-0.0545,P63/mmc
ID-4176030_OQMD-EnID-349771.poscar,0.0618,Pm-3m
ID-4288134_OQMD-EnID-352367.poscar,-0.8973,Pm-3m
ID-4818270_OQMD-EnID-2016.poscar,-1.5704,Fd-3m
ID-4818285_OQMD-EnID-2045.poscar,-1.5796,Pccn
ID-4822623_OQMD-EnID-40438.poscar,-1.3437,Pccn
ID-5731369_OQMD-EnID-1344124.poscar,-1.5426,P21/c
ID-5731379_OQMD-EnID-1343656.poscar,-1.4864,Pnma
ID-5731446_OQMD-EnID-1343296.poscar,-1.4883,Pnma
ID-5812998_OQMD-EnID-1443918.poscar,-1.1788,P-4m2
ID-5816548_OQMD-EnID-1443920.poscar,-1.5088,R3m
ID-5816668_OQMD-EnID-1443913.poscar,-1.2774,P42/mcm
ID-5840093_OQMD-EnID-1472913.poscar,-1.1195,R-3m
ID-5845822_OQMD-EnID-1472478.poscar,-1.4149,C2/m
ID-4500627_OQMD-EnID-1921.poscar,-1.5501,C2/c
ID-4873914_OQMD-EnID-42223.poscar,-0.4526,Fd-3m
ID-5731496_OQMD-EnID-1343587.poscar,-1.4917,P41212
ID-5814258_OQMD-EnID-1443333.poscar,-1.471,C2/m
ID-5814721_OQMD-EnID-1444128.poscar,-1.3777,C2
ID-6058472_OQMD-EnID-1758937.poscar,-1.3426,Pccm
ID-4884915_OQMD-EnID-357696.poscar,-0.9003,P4/mmm
ID-5632426_OQMD-EnID-1281303.poscar,-1.3607,Fd-3m
ID-5632427_OQMD-EnID-1281418.poscar,-1.3588,Fd-3m
ID-4468638_OQMD-EnID-305710.poscar,-0.293,Pm-3m
ID-4500480_OQMD-EnID-326794.poscar,-0.6367,R-3m
ID-4512756_OQMD-EnID-337252.poscar,-0.2814,P4/mmm
ID-5492673_OQMD-EnID-1104895.poscar,-0.597,Fm-3m
ID-5571953_OQMD-EnID-1223663.poscar,-0.5564,F-43m
ID-5575952_OQMD-EnID-1230635.poscar,-0.6568,P-6m2
ID-5762931_OQMD-EnID-1243568.poscar,-0.494,P63/mmc
ID-5762983_OQMD-EnID-1243567.poscar,-0.6918,P63/mmc
ID-5595267_OQMD-EnID-1236817.poscar,0.1412,Fd-3m
ID-5767679_OQMD-EnID-1415507.poscar,0.0946,Fm-3m
ID-5957949_OQMD-EnID-1592742.poscar,0.7734,Fd-3m
ID-4124661_OQMD-EnID-304201.poscar,0.2702,I4/mmm
ID-4144524_OQMD-EnID-314743.poscar,0.1448,Fm-3m
ID-4152141_OQMD-EnID-321126.poscar,-0.0697,P63/mmc
ID-4795791_OQMD-EnID-345612.poscar,0.3533,Pm-3m
ID-6005525_OQMD-EnID-1603206.poscar,0.5233,P6/mmm
ID-4079373_OQMD-EnID-1780.poscar,-1.6342,Pna21
ID-4096239_OQMD-EnID-11787.poscar,-1.6508,C2/c
ID-4854612_OQMD-EnID-4785.poscar,-1.6522,Pnna
ID-4866207_OQMD-EnID-4573.poscar,-1.3176,Fd-3m
ID-4868898_OQMD-EnID-42222.poscar,-1.189,Fd-3m
ID-4869153_OQMD-EnID-669630.poscar,-1.6336,Pnna
ID-5577492_OQMD-EnID-1234121.poscar,-1.4841,P42/mnm
ID-5595268_OQMD-EnID-1236818.poscar,-1.3709,Fd-3m
ID-5637573_OQMD-EnID-1285241.poscar,-1.2614,Pnnm
ID-5637574_OQMD-EnID-1285240.poscar,-1.4476,P42/mnm
ID-5767604_OQMD-EnID-1415506.poscar,-1.2726,Fm-3m
ID-5817314_OQMD-EnID-1441725.poscar,-1.473,P21/m
ID-5947024_OQMD-EnID-1589764.poscar,0.6094,Fd-3m
ID-6053453_OQMD-EnID-1754888.poscar,-1.5233,Cmcm
ID-6054077_OQMD-EnID-1757174.poscar,-1.4598,I41/a
ID-4812546_OQMD-EnID-428199.poscar,-0.7648,R-3c
ID-4114290_OQMD-EnID-300042.poscar,-0.1739,I4/mmm
ID-4132980_OQMD-EnID-310584.poscar,-0.2105,Fm-3m
ID-4162512_OQMD-EnID-325285.poscar,-0.0545,P63/mmc
ID-4176030_OQMD-EnID-349771.poscar,0.0618,Pm-3m
ID-4288134_OQMD-EnID-352367.poscar,-0.8973,Pm-3m
ID-4818270_OQMD-EnID-2016.poscar,-1.5704,Fd-3m
ID-4818285_OQMD-EnID-2045.poscar,-1.5796,Pccn
ID-4822623_OQMD-EnID-40438.poscar,-1.3437,Pccn
ID-5731369_OQMD-EnID-1344124.poscar,-1.5426,P21/c
ID-5731379_OQMD-EnID-1343656.poscar,-1.4864,Pnma
ID-5731446_OQMD-EnID-1343296.poscar,-1.4883,Pnma
ID-5812998_OQMD-EnID-1443918.poscar,-1.1788,P-4m2
ID-5816548_OQMD-EnID-1443920.poscar,-1.5088,R3m
ID-5816668_OQMD-EnID-1443913.poscar,-1.2774,P42/mcm
ID-5840093_OQMD-EnID-1472913.poscar,-1.1195,R-3m
ID-5845822_OQMD-EnID-1472478.poscar,-1.4149,C2/m
ID-4500627_OQMD-EnID-1921.poscar,-1.5501,C2/c
ID-4873914_OQMD-EnID-42223.poscar,-0.4526,Fd-3m
ID-5731496_OQMD-EnID-1343587.poscar,-1.4917,P41212
ID-5814258_OQMD-EnID-1443333.poscar,-1.471,C2/m
ID-5814721_OQMD-EnID-1444128.poscar,-1.3777,C2
ID-6058472_OQMD-EnID-1758937.poscar,-1.3426,Pccm
ID-4884915_OQMD-EnID-357696.poscar,-0.9003,P4/mmm
ID-5632426_OQMD-EnID-1281303.poscar,-1.3607,Fd-3m
ID-5632427_OQMD-EnID-1281418.poscar,-1.3588,Fd-3m
ID-4468638_OQMD-EnID-305710.poscar,-0.293,Pm-3m
ID-4500480_OQMD-EnID-326794.poscar,-0.6367,R-3m
ID-4512756_OQMD-EnID-337252.poscar,-0.2814,P4/mmm
ID-5492673_OQMD-EnID-1104895.poscar,-0.597,Fm-3m
ID-5571953_OQMD-EnID-1223663.poscar,-0.5564,F-43m
ID-5575952_OQMD-EnID-1230635.poscar,-0.6568,P-6m2
ID-5762931_OQMD-EnID-1243568.poscar,-0.494,P63/mmc
ID-5762983_OQMD-EnID-1243567.poscar,-0.6918,P63/mmc
ID-5595267_OQMD-EnID-1236817.poscar,0.1412,Fd-3m
ID-5767679_OQMD-EnID-1415507.poscar,0.0946,Fm-3m
ID-5957949_OQMD-EnID-1592742.poscar,0.7734,Fd-3m
ID-4124661_OQMD-EnID-304201.poscar,0.2702,I4/mmm
ID-4144524_OQMD-EnID-314743.poscar,0.1448,Fm-3m
ID-4152141_OQMD-EnID-321126.poscar,-0.0697,P63/mmc
ID-4795791_OQMD-EnID-345612.poscar,0.3533,Pm-3m
ID-6005525_OQMD-EnID-1603206.poscar,0.5233,P6/mmm
ID-4079373_OQMD-EnID-1780.poscar,-1.6342,Pna21
ID-4096239_OQMD-EnID-11787.poscar,-1.6508,C2/c
ID-4854612_OQMD-EnID-4785.poscar,-1.6522,Pnna
ID-4866207_OQMD-EnID-4573.poscar,-1.3176,Fd-3m
ID-4868898_OQMD-EnID-42222.poscar,-1.189,Fd-3m
ID-4869153_OQMD-EnID-669630.poscar,-1.6336,Pnna
ID-5577492_OQMD-EnID-1234121.poscar,-1.4841,P42/mnm
ID-5595268_OQMD-EnID-1236818.poscar,-1.3709,Fd-3m
ID-5637573_OQMD-EnID-1285241.poscar,-1.2614,Pnnm
ID-5637574_OQMD-EnID-1285240.poscar,-1.4476,P42/mnm
ID-5767604_OQMD-EnID-1415506.poscar,-1.2726,Fm-3m
ID-5817314_OQMD-EnID-1441725.poscar,-1.473,P21/m
ID-5947024_OQMD-EnID-1589764.poscar,0.6094,Fd-3m
ID-6053453_OQMD-EnID-1754888.poscar,-1.5233,Cmcm
ID-6054077_OQMD-EnID-1757174.poscar,-1.4598,I41/a
ID-4812546_OQMD-EnID-428199.poscar,-0.7648,R-3c
ID-4114290_OQMD-EnID-300042.poscar,-0.1739,I4/mmm
ID-4132980_OQMD-EnID-310584.poscar,-0.2105,Fm-3m
ID-4162512_OQMD-EnID-325285.poscar,-0.0545,P63/mmc
ID-4176030_OQMD-EnID-349771.poscar,0.0618,Pm-3m
ID-4288134_OQMD-EnID-352367.poscar,-0.8973,Pm-3m
ID-4818270_OQMD-EnID-2016.poscar,-1.5704,Fd-3m
ID-4818285_OQMD-EnID-2045.poscar,-1.5796,Pccn
ID-4822623_OQMD-EnID-40438.poscar,-1.3437,Pccn
ID-5731369_OQMD-EnID-1344124.poscar,-1.5426,P21/c
ID-5731379_OQMD-EnID-1343656.poscar,-1.4864,Pnma
ID-5731446_OQMD-EnID-1343296.poscar,-1.4883,Pnma
ID-5812998_OQMD-EnID-1443918.poscar,-1.1788,P-4m2
ID-5816548_OQMD-EnID-1443920.poscar,-1.5088,R3m
ID-5816668_OQMD-EnID-1443913.poscar,-1.2774,P42/mcm
ID-5840093_OQMD-EnID-1472913.poscar,-1.1195,R-3m
ID-5845822_OQMD-EnID-1472478.poscar,-1.4149,C2/m
ID-4500627_OQMD-EnID-1921.poscar,-1.5501,C2/c
ID-4873914_OQMD-EnID-42223.poscar,-0.4526,Fd-3m
ID-5731496_OQMD-EnID-1343587.poscar,-1.4917,P41212
ID-5814258_OQMD-EnID-1443333.poscar,-1.471,C2/m
ID-5814721_OQMD-EnID-1444128.poscar,-1.3777,C2
ID-6058472_OQMD-EnID-1758937.poscar,-1.3426,Pccm
ID-4884915_OQMD-EnID-357696.poscar,-0.9003,P4/mmm
ID-5632426_OQMD-EnID-1281303.poscar,-1.3607,Fd-3m
ID-5632427_OQMD-EnID-1281418.poscar,-1.3588,Fd-3m
ID-4468638_OQMD-EnID-305710.poscar,-0.293,Pm-3m
ID-4500480_OQMD-EnID-326794.poscar,-0.6367,R-3m
ID-4512756_OQMD-EnID-337252.poscar,-0.2814,P4/mmm
ID-5492673_OQMD-EnID-1104895.poscar,-0.597,Fm-3m
ID-5571953_OQMD-EnID-1223663.poscar,-0.5564,F-43m
ID-5575952_OQMD-EnID-1230635.poscar,-0.6568,P-6m2
ID-5762931_OQMD-EnID-1243568.poscar,-0.494,P63/mmc
ID-5762983_OQMD-EnID-1243567.poscar,-0.6918,P63/mmc
ID-5595267_OQMD-EnID-1236817.poscar,0.1412,Fd-3m
ID-5767679_OQMD-EnID-1415507.poscar,0.0946,Fm-3m
ID-5957949_OQMD-EnID-1592742.poscar,0.7734,Fd-3m
ID-4124661_OQMD-EnID-304201.poscar,0.2702,I4/mmm
ID-4144524_OQMD-EnID-314743.poscar,0.1448,Fm-3m
ID-4152141_OQMD-EnID-321126.poscar,-0.0697,P63/mmc
ID-4795791_OQMD-EnID-345612.poscar,0.3533,Pm-3m
ID-6005525_OQMD-EnID-1603206.poscar,0.5233,P6/mmm
ID-4079373_OQMD-EnID-1780.poscar,-1.6342,Pna21
ID-4096239_OQMD-EnID-11787.poscar,-1.6508,C2/c
ID-4854612_OQMD-EnID-4785.poscar,-1.6522,Pnna
ID-4866207_OQMD-EnID-4573.poscar,-1.3176,Fd-3m
ID-4868898_OQMD-EnID-42222.poscar,-1.189,Fd-3m
ID-4869153_OQMD-EnID-669630.poscar,-1.6336,Pnna
ID-5577492_OQMD-EnID-1234121.poscar,-1.4841,P42/mnm
ID-5595268_OQMD-EnID-1236818.poscar,-1.3709,Fd-3m
ID-5637573_OQMD-EnID-1285241.poscar,-1.2614,Pnnm
ID-5637574_OQMD-EnID-1285240.poscar,-1.4476,P42/mnm
ID-5767604_OQMD-EnID-1415506.poscar,-1.2726,Fm-3m
ID-5817314_OQMD-EnID-1441725.poscar,-1.473,P21/m
ID-5947024_OQMD-EnID-1589764.poscar,0.6094,Fd-3m
ID-6053453_OQMD-EnID-1754888.poscar,-1.5233,Cmcm
ID-6054077_OQMD-EnID-1757174.poscar,-1.4598,I41/a
ID-4812546_OQMD-EnID-428199.poscar,-0.7648,R-3c
ID-4114290_OQMD-EnID-300042.poscar,-0.1739,I4/mmm
ID-4132980_OQMD-EnID-310584.poscar,-0.2105,Fm-3m
ID-4162512_OQMD-EnID-325285.poscar,-0.0545,P63/mmc
ID-4176030_OQMD-EnID-349771.poscar,0.0618,Pm-3m
ID-4288134_OQMD-EnID-352367.poscar,-0.8973,Pm-3m
ID-4818270_OQMD-EnID-2016.poscar,-1.5704,Fd-3m
ID-4818285_OQMD-EnID-2045.poscar,-1.5796,Pccn
ID-4822623_OQMD-EnID-40438.poscar,-1.3437,Pccn
ID-5731369_OQMD-EnID-1344124.poscar,-1.5426,P21/c
ID-5731379_OQMD-EnID-1343656.poscar,-1.4864,Pnma
ID-5731446_OQMD-EnID-1343296.poscar,-1.4883,Pnma
ID-5812998_OQMD-EnID-1443918.poscar,-1.1788,P-4m2
ID-5816548_OQMD-EnID-1443920.poscar,-1.5088,R3m
ID-5816668_OQMD-EnID-1443913.poscar,-1.2774,P42/mcm
ID-5840093_OQMD-EnID-1472913.poscar,-1.1195,R-3m
ID-5845822_OQMD-EnID-1472478.poscar,-1.4149,C2/m
ID-4500627_OQMD-EnID-1921.poscar,-1.5501,C2/c
ID-4873914_OQMD-EnID-42223.poscar,-0.4526,Fd-3m
ID-5731496_OQMD-EnID-1343587.poscar,-1.4917,P41212
ID-5814258_OQMD-EnID-1443333.poscar,-1.471,C2/m
ID-5814721_OQMD-EnID-1444128.poscar,-1.3777,C2
ID-6058472_OQMD-EnID-1758937.poscar,-1.3426,Pccm
ID-4884915_OQMD-EnID-357696.poscar,-0.9003,P4/mmm
ID-5632426_OQMD-EnID-1281303.poscar,-1.3607,Fd-3m
ID-5632427_OQMD-EnID-1281418.poscar,-1.3588,Fd-3m
ID-4468638_OQMD-EnID-305710.poscar,-0.293,Pm-3m
ID-4500480_OQMD-EnID-326794.poscar,-0.6367,R-3m
ID-4512756_OQMD-EnID-337252.poscar,-0.2814,P4/mmm
ID-5492673_OQMD-EnID-1104895.poscar,-0.597,Fm-3m
ID-5571953_OQMD-EnID-1223663.poscar,-0.5564,F-43m
ID-5575952_OQMD-EnID-1230635.poscar,-0.6568,P-6m2
ID-5762931_OQMD-EnID-1243568.poscar,-0.494,P63/mmc
ID-5762983_OQMD-EnID-1243567.poscar,-0.6918,P63/mmc
ID-5595267_OQMD-EnID-1236817.poscar,0.1412,Fd-3m
ID-5767679_OQMD-EnID-1415507.poscar,0.0946,Fm-3m
ID-5957949_OQMD-EnID-1592742.poscar,0.7734,Fd-3m
ID-4124661_OQMD-EnID-304201.poscar,0.2702,I4/mmm
ID-4144524_OQMD-EnID-314743.poscar,0.1448,Fm-3m
ID-4152141_OQMD-EnID-321126.poscar,-0.0697,P63/mmc
ID-4795791_OQMD-EnID-345612.poscar,0.3533,Pm-3m
ID-6005525_OQMD-EnID-1603206.poscar,0.5233,P6/mmm
ID-4079373_OQMD-EnID-1780.poscar,-1.6342,Pna21
ID-4096239_OQMD-EnID-11787.poscar,-1.6508,C2/c
ID-4854612_OQMD-EnID-4785.poscar,-1.6522,Pnna
ID-4866207_OQMD-EnID-4573.poscar,-1.3176,Fd-3m
ID-4868898_OQMD-EnID-42222.poscar,-1.189,Fd-3m
ID-4869153_OQMD-EnID-669630.poscar,-1.6336,Pnna
ID-5577492_OQMD-EnID-1234121.poscar,-1.4841,P42/mnm
ID-5595268_OQMD-EnID-1236818.poscar,-1.3709,Fd-3m
ID-5637573_OQMD-EnID-1285241.poscar,-1.2614,Pnnm
ID-5637574_OQMD-EnID-1285240.poscar,-1.4476,P42/mnm
ID-5767604_OQMD-EnID-1415506.poscar,-1.2726,Fm-3m
ID-5817314_OQMD-EnID-1441725.poscar,-1.473,P21/m
ID-5947024_OQMD-EnID-1589764.poscar,0.6094,Fd-3m
ID-6053453_OQMD-EnID-1754888.poscar,-1.5233,Cmcm
ID-6054077_OQMD-EnID-1757174.poscar,-1.4598,I41/a
ID-4812546_OQMD-EnID-428199.poscar,-0.7648,R-3c
ID-4114290_OQMD-EnID-300042.poscar,-0.1739,I4/mmm
ID-4132980_OQMD-EnID-310584.poscar,-0.2105,Fm-3m
ID-4162512_OQMD-EnID-325285.poscar,-0.0545,P63/mmc
ID-4176030_OQMD-EnID-349771.poscar,0.0618,Pm-3m
ID-4288134_OQMD-EnID-352367.poscar,-0.8973,Pm-3m
ID-4818270_OQMD-EnID-2016.poscar,-1.5704,Fd-3m
ID-4818285_OQMD-EnID-2045.poscar,-1.5796,Pccn
ID-4822623_OQMD-EnID-40438.poscar,-1.3437,Pccn
ID-5731369_OQMD-EnID-1344124.poscar,-1.5426,P21/c
ID-5731379_OQMD-EnID-1343656.poscar,-1.4864,Pnma
ID-5731446_OQMD-EnID-1343296.poscar,-1.4883,Pnma
ID-5812998_OQMD-EnID-1443918.poscar,-1.1788,P-4m2
ID-5816548_OQMD-EnID-1443920.poscar,-1.5088,R3m
ID-5816668_OQMD-EnID-1443913.poscar,-1.2774,P42/mcm
ID-5840093_OQMD-EnID-1472913.poscar,-1.1195,R-3m
ID-5845822_OQMD-EnID-1472478.poscar,-1.4149,C2/m
ID-4500627_OQMD-EnID-1921.poscar,-1.5501,C2/c
ID-4873914_OQMD-EnID-42223.poscar,-0.4526,Fd-3m
ID-5731496_OQMD-EnID-1343587.poscar,-1.4917,P41212
ID-5814258_OQMD-EnID-1443333.poscar,-1.471,C2/m
ID-5814721_OQMD-EnID-1444128.poscar,-1.3777,C2
ID-6058472_OQMD-EnID-1758937.poscar,-1.3426,Pccm
ID-4884915_OQMD-EnID-357696.poscar,-0.9003,P4/mmm
ID-5632426_OQMD-EnID-1281303.poscar,-1.3607,Fd-3m
ID-5632427_OQMD-EnID-1281418.poscar,-1.3588,Fd-3m
