filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4062366_OQMD-EnID-22298.poscar,-2.5262,Pm-3m
ID-4062384_OQMD-EnID-5182.poscar,-2.9411,Fm-3m
ID-4388271_OQMD-EnID-305496.poscar,-2.5293,Pm-3m
ID-4499940_OQMD-EnID-326580.poscar,-2.9441,R-3m
ID-4512162_OQMD-EnID-337038.poscar,-2.5095,Pm-3m
ID-5492460_OQMD-EnID-1104681.poscar,-2.9456,Fm-3m
ID-5571959_OQMD-EnID-1223669.poscar,-2.8007,F-43m
ID-5575958_OQMD-EnID-1230641.poscar,-2.7468,P-6m2
ID-5731759_OQMD-EnID-1343300.poscar,-2.6595,P4/nmm
ID-5731880_OQMD-EnID-1343358.poscar,-2.9412,P3121
ID-5811517_OQMD-EnID-1443892.poscar,-2.9452,I4/mmm
ID-5812245_OQMD-EnID-1441861.poscar,-2.888,P63mc
ID-5812267_OQMD-EnID-1442197.poscar,-2.8543,P63/mmc
ID-5812991_OQMD-EnID-1444221.poscar,-2.7549,I4/mmm
ID-5815063_OQMD-EnID-1443637.poscar,-2.9437,I4/mmm
ID-5815270_OQMD-EnID-1443090.poscar,-2.9439,Pbcm
ID-5815526_OQMD-EnID-1441814.poscar,-2.944,Pbcm
ID-5815656_OQMD-EnID-1444122.poscar,-0.2011,Fd-3m
ID-5598069_OQMD-EnID-1239855.poscar,-1.5692,Fd-3m
ID-5769387_OQMD-EnID-1416040.poscar,-1.2355,Fm-3m
ID-5953526_OQMD-EnID-1591760.poscar,0.5471,Fd-3m
ID-4112613_OQMD-EnID-299356.poscar,-0.1531,I4/mmm
ID-4131132_OQMD-EnID-309898.poscar,0.1576,Fm-3m
ID-4150992_OQMD-EnID-320685.poscar,-1.0669,P63/mmc
ID-4167699_OQMD-EnID-345171.poscar,-0.045,Pm-3m
ID-4064580_OQMD-EnID-4577.poscar,-2.1593,I4/mmm
ID-5577496_OQMD-EnID-1234127.poscar,-2.1089,P42/mnm
ID-5598075_OQMD-EnID-1239856.poscar,-0.8348,Fd-3m
ID-5759272_OQMD-EnID-1368171.poscar,-2.2043,C2/c
ID-5769214_OQMD-EnID-1416039.poscar,-1.4406,Fm-3m
ID-5946982_OQMD-EnID-1589751.poscar,-0.921,Fd-3m
ID-4812600_OQMD-EnID-428205.poscar,-2.1255,R-3c
ID-4113225_OQMD-EnID-299601.poscar,-0.6398,I4/mmm
ID-4131900_OQMD-EnID-310143.poscar,-0.5919,Fm-3m
ID-4150347_OQMD-EnID-320440.poscar,-0.8879,P63/mmc
ID-4795155_OQMD-EnID-344926.poscar,-0.6644,Pm-3m
ID-4304091_OQMD-EnID-354460.poscar,-1.7384,Pm-3m
ID-4841214_OQMD-EnID-678202.poscar,-2.0576,R-3
ID-4891194_OQMD-EnID-359789.poscar,-2.1516,P4/mmm
ID-4062366_OQMD-EnID-22298.poscar,-2.5262,Pm-3m
ID-4062384_OQMD-EnID-5182.poscar,-2.9411,Fm-3m
ID-4388271_OQMD-EnID-305496.poscar,-2.5293,Pm-3m
ID-4499940_OQMD-EnID-326580.poscar,-2.9441,R-3m
ID-4512162_OQMD-EnID-337038.poscar,-2.5095,Pm-3m
ID-5492460_OQMD-EnID-1104681.poscar,-2.9456,Fm-3m
ID-5571959_OQMD-EnID-1223669.poscar,-2.8007,F-43m
ID-5575958_OQMD-EnID-1230641.poscar,-2.7468,P-6m2
ID-5731759_OQMD-EnID-1343300.poscar,-2.6595,P4/nmm
ID-5731880_OQMD-EnID-1343358.poscar,-2.9412,P3121
ID-5811517_OQMD-EnID-1443892.poscar,-2.9452,I4/mmm
ID-5812245_OQMD-EnID-1441861.poscar,-2.888,P63mc
ID-5812267_OQMD-EnID-1442197.poscar,-2.8543,P63/mmc
ID-5812991_OQMD-EnID-1444221.poscar,-2.7549,I4/mmm
ID-5815063_OQMD-EnID-1443637.poscar,-2.9437,I4/mmm
ID-5815270_OQMD-EnID-1443090.poscar,-2.9439,Pbcm
ID-5815526_OQMD-EnID-1441814.poscar,-2.944,Pbcm
ID-5815656_OQMD-EnID-1444122.poscar,-0.2011,Fd-3m
ID-5598069_OQMD-EnID-1239855.poscar,-1.5692,Fd-3m
ID-5769387_OQMD-EnID-1416040.poscar,-1.2355,Fm-3m
ID-5953526_OQMD-EnID-1591760.poscar,0.5471,Fd-3m
ID-4112613_OQMD-EnID-299356.poscar,-0.1531,I4/mmm
ID-4131132_OQMD-EnID-309898.poscar,0.1576,Fm-3m
ID-4150992_OQMD-EnID-320685.poscar,-1.0669,P63/mmc
ID-4167699_OQMD-EnID-345171.poscar,-0.045,Pm-3m
ID-4064580_OQMD-EnID-4577.poscar,-2.1593,I4/mmm
ID-5577496_OQMD-EnID-1234127.poscar,-2.1089,P42/mnm
ID-5598075_OQMD-EnID-1239856.poscar,-0.8348,Fd-3m
ID-5759272_OQMD-EnID-1368171.poscar,-2.2043,C2/c
ID-5769214_OQMD-EnID-1416039.poscar,-1.4406,Fm-3m
ID-5946982_OQMD-EnID-1589751.poscar,-0.921,Fd-3m
ID-4812600_OQMD-EnID-428205.poscar,-2.1255,R-3c
