filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4062453_OQMD-EnID-11517.poscar,-1.0975,Fm-3m
ID-4484205_OQMD-EnID-307336.poscar,-0.7658,Pm-3m
ID-4506816_OQMD-EnID-328420.poscar,-1.5019,R-3m
ID-4517274_OQMD-EnID-338878.poscar,-0.3976,P4/mmm
ID-5494298_OQMD-EnID-1106521.poscar,-1.0984,Fm-3m
ID-5571960_OQMD-EnID-1223670.poscar,-1.3243,F-43m
ID-5575959_OQMD-EnID-1230642.poscar,-1.423,P-6m2
ID-5811504_OQMD-EnID-1444327.poscar,-1.4881,Pmmm
ID-5812274_OQMD-EnID-1442206.poscar,-1.5884,P63/mmc
ID-5895696_OQMD-EnID-1520403.poscar,-1.1906,P63/mmc
ID-4095459_OQMD-EnID-5506.poscar,0.3069,I-43m
ID-5597609_OQMD-EnID-1239269.poscar,0.7698,Fd-3m
ID-5962825_OQMD-EnID-1594334.poscar,1.1836,Fd-3m
ID-4116711_OQMD-EnID-301046.poscar,0.3351,I4/mmm
ID-4136517_OQMD-EnID-311588.poscar,0.4322,Fm-3m
ID-4160100_OQMD-EnID-324337.poscar,0.2991,P63/mmc
ID-4174362_OQMD-EnID-348823.poscar,0.3494,Pm-3m
ID-4789137_OQMD-EnID-603843.poscar,-0.6635,Pmmm
ID-6005227_OQMD-EnID-1603226.poscar,1.1205,P6/mmm
ID-4074894_OQMD-EnID-13645.poscar,-2.8535,P42/mnm
ID-4085610_OQMD-EnID-11337.poscar,-2.8512,I41/a
ID-4850184_OQMD-EnID-657040.poscar,-2.8563,P42/mnm
ID-5454032_OQMD-EnID-56310.poscar,-2.8795,I41/a
ID-5597601_OQMD-EnID-1239270.poscar,-2.5301,Fd-3m
ID-5811564_OQMD-EnID-1440467.poscar,-2.6078,Fm-3m
ID-5817157_OQMD-EnID-1441016.poscar,-2.8835,P21/c
ID-5818471_OQMD-EnID-1439748.poscar,-2.6076,Pa-3
ID-5947070_OQMD-EnID-1589785.poscar,0.2774,Fd-3m
ID-6036294_OQMD-EnID-1733844.poscar,-2.8024,Pbcn
ID-4812582_OQMD-EnID-428206.poscar,-1.2273,R-3c
ID-4122129_OQMD-EnID-303253.poscar,-1.6064,I4/mmm
ID-4142190_OQMD-EnID-313795.poscar,-1.5274,Fm-3m
ID-4154685_OQMD-EnID-322130.poscar,-1.6,P63/mmc
