filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4469133_OQMD-EnID-305882.poscar,-0.0237,Pm-3m
ID-4501248_OQMD-EnID-326966.poscar,-0.4771,R-3m
ID-4513239_OQMD-EnID-337424.poscar,0.3427,P4/mmm
ID-5492845_OQMD-EnID-1105067.poscar,-0.0435,Fm-3m
ID-5571962_OQMD-EnID-1223672.poscar,-0.4679,F-43m
ID-5575961_OQMD-EnID-1230644.poscar,-0.4014,P-6m2
ID-5598821_OQMD-EnID-1240821.poscar,1.2185,Fd-3m
ID-5955157_OQMD-EnID-1592138.poscar,1.2189,Fd-3m
ID-4120704_OQMD-EnID-302655.poscar,0.5444,I4/mmm
ID-4140723_OQMD-EnID-313197.poscar,0.4749,Fm-3m
ID-4152939_OQMD-EnID-321437.poscar,0.0581,P21/m
ID-4169112_OQMD-EnID-345923.poscar,0.7549,Pm-3m
ID-4901091_OQMD-EnID-694491.poscar,-1.4505,P1
ID-4901106_OQMD-EnID-694492.poscar,-1.4499,P1
ID-5122521_OQMD-EnID-825111.poscar,-1.4255,P1
ID-5122539_OQMD-EnID-825110.poscar,-1.3848,P1
ID-5122545_OQMD-EnID-825112.poscar,-1.4905,P1
ID-4103712_OQMD-EnID-21968.poscar,-1.7005,P21/c
ID-5577498_OQMD-EnID-1234130.poscar,-1.6507,P42/mnm
ID-5598829_OQMD-EnID-1240822.poscar,-1.3102,Fd-3m
ID-5947001_OQMD-EnID-1589756.poscar,0.9452,Fd-3m
ID-4811541_OQMD-EnID-428208.poscar,-0.158,R-3c
ID-4115034_OQMD-EnID-300353.poscar,-0.2376,I4/mmm
ID-4133997_OQMD-EnID-310895.poscar,-0.2215,Fm-3m
ID-4158624_OQMD-EnID-323739.poscar,-0.3182,P63/mmc
ID-4797786_OQMD-EnID-348225.poscar,0.2217,Pm-3m
ID-4857570_OQMD-EnID-690795.poscar,-1.413,C2/m
ID-4906209_OQMD-EnID-694996.poscar,-1.4636,C2
ID-4906230_OQMD-EnID-694995.poscar,-1.5168,C2
ID-5122017_OQMD-EnID-825015.poscar,-1.4057,C2
ID-5122377_OQMD-EnID-825051.poscar,-1.4393,P1
ID-5122959_OQMD-EnID-825050.poscar,-1.4851,P1
ID-4274607_OQMD-EnID-350222.poscar,-0.6338,Pm-3m
ID-5726313_OQMD-EnID-1338402.poscar,-0.7612,Cm
ID-5736483_OQMD-EnID-1343169.poscar,-1.1574,P2/c
ID-4900731_OQMD-EnID-694450.poscar,-1.4394,Cm
ID-4901250_OQMD-EnID-694449.poscar,-1.4926,P1
ID-4880481_OQMD-EnID-355551.poscar,-0.4316,P4/mmm
ID-4900122_OQMD-EnID-3358.poscar,-1.5499,Pbca
ID-4469133_OQMD-EnID-305882.poscar,-0.0237,Pm-3m
ID-4501248_OQMD-EnID-326966.poscar,-0.4771,R-3m
ID-4513239_OQMD-EnID-337424.poscar,0.3427,P4/mmm
ID-5492845_OQMD-EnID-1105067.poscar,-0.0435,Fm-3m
ID-5571962_OQMD-EnID-1223672.poscar,-0.4679,F-43m
ID-5575961_OQMD-EnID-1230644.poscar,-0.4014,P-6m2
ID-5598821_OQMD-EnID-1240821.poscar,1.2185,Fd-3m
ID-5955157_OQMD-EnID-1592138.poscar,1.2189,Fd-3m
ID-4120704_OQMD-EnID-302655.poscar,0.5444,I4/mmm
ID-4140723_OQMD-EnID-313197.poscar,0.4749,Fm-3m
ID-4152939_OQMD-EnID-321437.poscar,0.0581,P21/m
ID-4169112_OQMD-EnID-345923.poscar,0.7549,Pm-3m
ID-4901091_OQMD-EnID-694491.poscar,-1.4505,P1
ID-4901106_OQMD-EnID-694492.poscar,-1.4499,P1
ID-5122521_OQMD-EnID-825111.poscar,-1.4255,P1
ID-5122539_OQMD-EnID-825110.poscar,-1.3848,P1
ID-5122545_OQMD-EnID-825112.poscar,-1.4905,P1
ID-4103712_OQMD-EnID-21968.poscar,-1.7005,P21/c
ID-5577498_OQMD-EnID-1234130.poscar,-1.6507,P42/mnm
ID-5598829_OQMD-EnID-1240822.poscar,-1.3102,Fd-3m
ID-5947001_OQMD-EnID-1589756.poscar,0.9452,Fd-3m
ID-4811541_OQMD-EnID-428208.poscar,-0.158,R-3c
ID-4115034_OQMD-EnID-300353.poscar,-0.2376,I4/mmm
ID-4133997_OQMD-EnID-310895.poscar,-0.2215,Fm-3m
ID-4158624_OQMD-EnID-323739.poscar,-0.3182,P63/mmc
ID-4797786_OQMD-EnID-348225.poscar,0.2217,Pm-3m
ID-4857570_OQMD-EnID-690795.poscar,-1.413,C2/m
ID-4906209_OQMD-EnID-694996.poscar,-1.4636,C2
ID-4906230_OQMD-EnID-694995.poscar,-1.5168,C2
ID-5122017_OQMD-EnID-825015.poscar,-1.4057,C2
ID-5122377_OQMD-EnID-825051.poscar,-1.4393,P1
ID-5122959_OQMD-EnID-825050.poscar,-1.4851,P1
