filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4477344_OQMD-EnID-306618.poscar,0.1081,Pm-3m
ID-4503423_OQMD-EnID-327702.poscar,-0.0701,R-3m
ID-4515315_OQMD-EnID-338160.poscar,0.1139,P4/mmm
ID-5493583_OQMD-EnID-1105803.poscar,0.0202,Fm-3m
ID-5571963_OQMD-EnID-1223673.poscar,0.0473,F-43m
ID-5575962_OQMD-EnID-1230645.poscar,-0.1698,P-6m2
ID-5598320_OQMD-EnID-1240238.poscar,0.0005,Fd-3m
ID-5629367_OQMD-EnID-1274889.poscar,-0.29,P4/nmm
ID-5647103_OQMD-EnID-1274597.poscar,-0.2847,P213
ID-5647302_OQMD-EnID-1274670.poscar,-0.3108,Cmca
ID-5769633_OQMD-EnID-1416101.poscar,0.2568,Fm-3m
ID-5958323_OQMD-EnID-1592816.poscar,0.8932,Fd-3m
ID-4118526_OQMD-EnID-301735.poscar,0.4157,I4/mmm
ID-4138437_OQMD-EnID-312277.poscar,0.4082,Fm-3m
ID-4156686_OQMD-EnID-322933.poscar,0.1278,P63/mmc
ID-4171875_OQMD-EnID-347419.poscar,0.5002,Pm-3m
ID-5637436_OQMD-EnID-1274232.poscar,-0.0866,P4/nmm
ID-5644042_OQMD-EnID-1274305.poscar,-0.0783,P4/nmm
ID-6005393_OQMD-EnID-1603207.poscar,0.6807,P6/mmm
ID-4092738_OQMD-EnID-10053.poscar,-1.0793,P42/mnm
ID-4094397_OQMD-EnID-21207.poscar,-0.7074,Cmcm
ID-4095180_OQMD-EnID-4838.poscar,-1.2875,P41212
ID-4095393_OQMD-EnID-6443.poscar,-1.2779,P212121
ID-4096230_OQMD-EnID-11731.poscar,-1.2873,P43212
ID-4107696_OQMD-EnID-21205.poscar,-1.1681,Pnma
ID-4107708_OQMD-EnID-21206.poscar,-1.122,P21/m
ID-4812963_OQMD-EnID-79276.poscar,-1.2833,P212121
ID-4812999_OQMD-EnID-109287.poscar,-1.2534,P212121
ID-4813155_OQMD-EnID-109288.poscar,-1.2842,P212121
ID-4813932_OQMD-EnID-669653.poscar,-1.0791,P42/mnm
ID-4818177_OQMD-EnID-108436.poscar,-1.2367,P-1
ID-4854717_OQMD-EnID-5143.poscar,-1.2997,Pbca
ID-5577499_OQMD-EnID-1234131.poscar,-1.089,P42/mnm
ID-5598321_OQMD-EnID-1240239.poscar,-0.9546,Fd-3m
ID-5731057_OQMD-EnID-1343591.poscar,-0.7454,Cmcm
ID-5731276_OQMD-EnID-1343878.poscar,-1.2201,Pbcn
ID-5731513_OQMD-EnID-1343409.poscar,-1.2257,Pbam
ID-5731715_OQMD-EnID-1343808.poscar,-0.5501,R3m
ID-5731796_OQMD-EnID-1343741.poscar,-1.2586,P21/c
ID-5731851_OQMD-EnID-1343763.poscar,-1.0527,I41/amd
ID-5769269_OQMD-EnID-1416100.poscar,-0.9856,Fm-3m
ID-5811602_OQMD-EnID-1440807.poscar,-0.9148,C2/m
ID-5813309_OQMD-EnID-1439732.poscar,-1.0842,Pnnm
ID-5813559_OQMD-EnID-1441839.poscar,-0.5574,P63/mmc
ID-5813588_OQMD-EnID-1442385.poscar,-0.9825,P42/nmc
ID-5813674_OQMD-EnID-1442565.poscar,-0.9716,P3m1
ID-5813712_OQMD-EnID-1442808.poscar,-0.8876,Pn-3m
ID-5838144_OQMD-EnID-1472613.poscar,-0.8458,P-3m1
ID-5848995_OQMD-EnID-1473062.poscar,-1.1845,Pmn21
ID-5947025_OQMD-EnID-1589765.poscar,0.8509,Fd-3m
ID-6046025_OQMD-EnID-1753364.poscar,-1.0849,Pnnm
ID-4812327_OQMD-EnID-428209.poscar,-0.2973,R-3c
ID-5626685_OQMD-EnID-1274451.poscar,-0.2878,I4/mmm
ID-5627155_OQMD-EnID-1275035.poscar,-0.0213,P6mm
ID-5627223_OQMD-EnID-1274524.poscar,-0.3742,P-3m1
ID-5644553_OQMD-EnID-1274378.poscar,-0.4119,Pnnm
ID-5644908_OQMD-EnID-1274816.poscar,-0.3585,P63/mmc
ID-4079409_OQMD-EnID-5212.poscar,-1.1054,R-3c
ID-4118811_OQMD-EnID-301849.poscar,0.0097,I4/mmm
ID-4138719_OQMD-EnID-312391.poscar,0.0105,Fm-3m
ID-4156398_OQMD-EnID-322819.poscar,0.1233,P63/mmc
ID-4171656_OQMD-EnID-347305.poscar,0.2359,Pm-3m
ID-5731160_OQMD-EnID-1343866.poscar,-0.9401,P21/m
ID-5731588_OQMD-EnID-1343679.poscar,-1.0981,P21/c
ID-5815151_OQMD-EnID-1443560.poscar,-1.0336,P6322
ID-5815155_OQMD-EnID-1443557.poscar,-1.0185,P4/mbm
ID-6007062_OQMD-EnID-1707994.poscar,-0.9398,P4/nmm
ID-6007705_OQMD-EnID-1707996.poscar,-1.0304,P6/mmm
ID-4287327_OQMD-EnID-352139.poscar,-0.4267,Pm-3m
ID-5646695_OQMD-EnID-1274743.poscar,-0.3232,Amm2
ID-5647320_OQMD-EnID-1274962.poscar,-0.3749,I4/mmm
ID-4500612_OQMD-EnID-2220.poscar,-1.2077,P21
ID-4884546_OQMD-EnID-357468.poscar,-0.6187,P4/mmm
ID-6057427_OQMD-EnID-1753496.poscar,-1.1377,Pmn21
ID-4870305_OQMD-EnID-32853.poscar,-1.2477,R-3
ID-4477344_OQMD-EnID-306618.poscar,0.1081,Pm-3m
ID-4503423_OQMD-EnID-327702.poscar,-0.0701,R-3m
ID-4515315_OQMD-EnID-338160.poscar,0.1139,P4/mmm
ID-5493583_OQMD-EnID-1105803.poscar,0.0202,Fm-3m
ID-5571963_OQMD-EnID-1223673.poscar,0.0473,F-43m
ID-5575962_OQMD-EnID-1230645.poscar,-0.1698,P-6m2
ID-5598320_OQMD-EnID-1240238.poscar,0.0005,Fd-3m
ID-5629367_OQMD-EnID-1274889.poscar,-0.29,P4/nmm
ID-5647103_OQMD-EnID-1274597.poscar,-0.2847,P213
ID-5647302_OQMD-EnID-1274670.poscar,-0.3108,Cmca
ID-5769633_OQMD-EnID-1416101.poscar,0.2568,Fm-3m
ID-5958323_OQMD-EnID-1592816.poscar,0.8932,Fd-3m
ID-4118526_OQMD-EnID-301735.poscar,0.4157,I4/mmm
ID-4138437_OQMD-EnID-312277.poscar,0.4082,Fm-3m
ID-4156686_OQMD-EnID-322933.poscar,0.1278,P63/mmc
ID-4171875_OQMD-EnID-347419.poscar,0.5002,Pm-3m
ID-5637436_OQMD-EnID-1274232.poscar,-0.0866,P4/nmm
ID-5644042_OQMD-EnID-1274305.poscar,-0.0783,P4/nmm
ID-6005393_OQMD-EnID-1603207.poscar,0.6807,P6/mmm
ID-4092738_OQMD-EnID-10053.poscar,-1.0793,P42/mnm
ID-4094397_OQMD-EnID-21207.poscar,-0.7074,Cmcm
ID-4095180_OQMD-EnID-4838.poscar,-1.2875,P41212
ID-4095393_OQMD-EnID-6443.poscar,-1.2779,P212121
ID-4096230_OQMD-EnID-11731.poscar,-1.2873,P43212
ID-4107696_OQMD-EnID-21205.poscar,-1.1681,Pnma
ID-4107708_OQMD-EnID-21206.poscar,-1.122,P21/m
ID-4812963_OQMD-EnID-79276.poscar,-1.2833,P212121
ID-4812999_OQMD-EnID-109287.poscar,-1.2534,P212121
ID-4813155_OQMD-EnID-109288.poscar,-1.2842,P212121
ID-4813932_OQMD-EnID-669653.poscar,-1.0791,P42/mnm
ID-4818177_OQMD-EnID-108436.poscar,-1.2367,P-1
ID-4854717_OQMD-EnID-5143.poscar,-1.2997,Pbca
ID-5577499_OQMD-EnID-1234131.poscar,-1.089,P42/mnm
ID-5598321_OQMD-EnID-1240239.poscar,-0.9546,Fd-3m
ID-5731057_OQMD-EnID-1343591.poscar,-0.7454,Cmcm
ID-5731276_OQMD-EnID-1343878.poscar,-1.2201,Pbcn
ID-5731513_OQMD-EnID-1343409.poscar,-1.2257,Pbam
ID-5731715_OQMD-EnID-1343808.poscar,-0.5501,R3m
ID-5731796_OQMD-EnID-1343741.poscar,-1.2586,P21/c
ID-5731851_OQMD-EnID-1343763.poscar,-1.0527,I41/amd
ID-5769269_OQMD-EnID-1416100.poscar,-0.9856,Fm-3m
ID-5811602_OQMD-EnID-1440807.poscar,-0.9148,C2/m
ID-5813309_OQMD-EnID-1439732.poscar,-1.0842,Pnnm
ID-5813559_OQMD-EnID-1441839.poscar,-0.5574,P63/mmc
ID-5813588_OQMD-EnID-1442385.poscar,-0.9825,P42/nmc
ID-5813674_OQMD-EnID-1442565.poscar,-0.9716,P3m1
ID-5813712_OQMD-EnID-1442808.poscar,-0.8876,Pn-3m
ID-5838144_OQMD-EnID-1472613.poscar,-0.8458,P-3m1
ID-5848995_OQMD-EnID-1473062.poscar,-1.1845,Pmn21
ID-5947025_OQMD-EnID-1589765.poscar,0.8509,Fd-3m
ID-6046025_OQMD-EnID-1753364.poscar,-1.0849,Pnnm
ID-4812327_OQMD-EnID-428209.poscar,-0.2973,R-3c
ID-5626685_OQMD-EnID-1274451.poscar,-0.2878,I4/mmm
ID-5627155_OQMD-EnID-1275035.poscar,-0.0213,P6mm
ID-5627223_OQMD-EnID-1274524.poscar,-0.3742,P-3m1
ID-5644553_OQMD-EnID-1274378.poscar,-0.4119,Pnnm
ID-5644908_OQMD-EnID-1274816.poscar,-0.3585,P63/mmc
ID-4079409_OQMD-EnID-5212.poscar,-1.1054,R-3c
ID-4118811_OQMD-EnID-301849.poscar,0.0097,I4/mmm
ID-4138719_OQMD-EnID-312391.poscar,0.0105,Fm-3m
ID-4156398_OQMD-EnID-322819.poscar,0.1233,P63/mmc
ID-4171656_OQMD-EnID-347305.poscar,0.2359,Pm-3m
