filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4061754_OQMD-EnID-17898.poscar,-2.5223,Fm-3m
ID-4089960_OQMD-EnID-10207.poscar,-2.7428,C2/m
ID-4498050_OQMD-EnID-325823.poscar,-2.5208,R-3m
ID-4510197_OQMD-EnID-336281.poscar,-1.998,Pm-3m
ID-4791807_OQMD-EnID-304739.poscar,-2.2389,Pm-3m
ID-4850637_OQMD-EnID-675662.poscar,-2.5284,C2/m
ID-5491712_OQMD-EnID-1103925.poscar,-2.5242,Fm-3m
ID-5569104_OQMD-EnID-1221482.poscar,-2.2397,Pmma
ID-5571965_OQMD-EnID-1223675.poscar,-2.3871,F-43m
ID-5573182_OQMD-EnID-1227161.poscar,-2.4513,P63mc
ID-5575964_OQMD-EnID-1230647.poscar,-2.7094,P-6m2
ID-5637536_OQMD-EnID-1285203.poscar,-2.4502,P6/mmm
ID-5637537_OQMD-EnID-1285202.poscar,-2.0013,P6/mmm
ID-5763284_OQMD-EnID-1243631.poscar,-2.6671,P63/mmc
ID-5763285_OQMD-EnID-1243632.poscar,-2.6059,P63/mmc
ID-5811852_OQMD-EnID-1440236.poscar,-2.4247,P4/nmm
ID-5814741_OQMD-EnID-1440030.poscar,-2.6176,Pnma
ID-6033342_OQMD-EnID-1739153.poscar,-2.5055,P42/mmc
ID-4810221_OQMD-EnID-87089.poscar,-1.9864,P-3m1
ID-5595406_OQMD-EnID-1236879.poscar,-0.5469,Fd-3m
ID-5949312_OQMD-EnID-1590635.poscar,0.288,Fd-3m
ID-4079166_OQMD-EnID-4353.poscar,-1.4323,P-31m
ID-4817679_OQMD-EnID-3785.poscar,-1.5499,P-31c
ID-4846143_OQMD-EnID-314218.poscar,0.1071,Fm-3m
ID-4846593_OQMD-EnID-319139.poscar,-0.1722,P63/mmc
ID-4846851_OQMD-EnID-303676.poscar,-0.2905,I4/mmm
ID-4847814_OQMD-EnID-343625.poscar,0.1045,Pm-3m
ID-4855149_OQMD-EnID-6672.poscar,-1.5446,P312
ID-6005111_OQMD-EnID-1603179.poscar,0.6886,P6/mmm
ID-4078437_OQMD-EnID-3786.poscar,-0.9206,P-31m
ID-4815660_OQMD-EnID-3661.poscar,-0.933,Cc
ID-4901238_OQMD-EnID-694496.poscar,-2.3928,P1
ID-4901274_OQMD-EnID-694495.poscar,-2.4411,P1
ID-4910769_OQMD-EnID-695453.poscar,-2.3485,P1
ID-5122167_OQMD-EnID-825117.poscar,-2.3594,P1
ID-5122359_OQMD-EnID-825118.poscar,-2.4145,P1
ID-5122440_OQMD-EnID-825116.poscar,-2.3139,P1
ID-4894140_OQMD-EnID-6508.poscar,-3.2042,P-1
ID-4895001_OQMD-EnID-15943.poscar,-3.2091,C2/m
ID-5131014_OQMD-EnID-827584.poscar,-2.4729,P1
ID-5045640_OQMD-EnID-43771.poscar,-3.2068,P-1
ID-4071720_OQMD-EnID-2475.poscar,-3.2158,P42/mnm
ID-4073211_OQMD-EnID-2575.poscar,-3.2426,I41/amd
ID-4084455_OQMD-EnID-7500.poscar,-3.1492,P3121
ID-4094856_OQMD-EnID-3070.poscar,-3.2167,Pbcn
ID-4095693_OQMD-EnID-7408.poscar,-3.2413,C2/m
ID-4103871_OQMD-EnID-13527.poscar,-3.1919,Pnma
ID-4107360_OQMD-EnID-19782.poscar,-3.189,P21/c
ID-4813665_OQMD-EnID-117322.poscar,-2.98,Pnma
ID-4813680_OQMD-EnID-112497.poscar,-3.2378,C2/m
ID-4814769_OQMD-EnID-97161.poscar,-3.1876,P21/c
ID-4815606_OQMD-EnID-84685.poscar,-3.0478,Pmm2
ID-4816941_OQMD-EnID-31247.poscar,-3.1986,P21/m
ID-4851573_OQMD-EnID-117323.poscar,-2.9834,Pnma
ID-4854993_OQMD-EnID-5979.poscar,-3.2287,Pbca
ID-4910580_OQMD-EnID-695461.poscar,-3.2224,I41/amd
ID-4910619_OQMD-EnID-695460.poscar,-3.0831,Fd-3m
ID-4910676_OQMD-EnID-695465.poscar,-3.0856,I41/amd
ID-4910712_OQMD-EnID-695464.poscar,-3.2421,C2/m
ID-5595410_OQMD-EnID-1236880.poscar,-3.1845,Fd-3m
ID-5632119_OQMD-EnID-1280931.poscar,-3.0071,Pa-3
ID-5731452_OQMD-EnID-1343459.poscar,-3.0983,P-1
ID-5731463_OQMD-EnID-1343580.poscar,-3.1853,I4/m
ID-5811563_OQMD-EnID-1440466.poscar,-2.9635,Fm-3m
ID-5811630_OQMD-EnID-1441306.poscar,-2.3239,I4/mmm
ID-5811765_OQMD-EnID-1440185.poscar,-3.0954,P-3m1
ID-5811806_OQMD-EnID-1443748.poscar,-1.3854,Cmmm
ID-5812901_OQMD-EnID-1439691.poscar,-3.2166,Pnnm
ID-5813260_OQMD-EnID-1440197.poscar,-2.4878,P63/mmc
ID-5813479_OQMD-EnID-1442047.poscar,-2.5132,Cmcm
ID-5813555_OQMD-EnID-1441819.poscar,-2.6821,P63/mmc
ID-5813589_OQMD-EnID-1442388.poscar,-3.0998,P42/nmc
ID-5813673_OQMD-EnID-1442562.poscar,-3.0818,P63mc
ID-5813710_OQMD-EnID-1442805.poscar,-3.0526,Pn-3m
ID-5813721_OQMD-EnID-1443656.poscar,-3.2106,Pnnm
ID-5817268_OQMD-EnID-1441633.poscar,-3.0823,P41212
ID-5817746_OQMD-EnID-1443408.poscar,-3.1422,Pca21
ID-5818940_OQMD-EnID-1441609.poscar,-3.0757,P1
ID-5946944_OQMD-EnID-1589736.poscar,-0.1891,Fd-3m
ID-4812573_OQMD-EnID-428211.poscar,-2.2768,R-3c
ID-4843929_OQMD-EnID-308597.poscar,-1.1969,Fm-3m
ID-4847196_OQMD-EnID-324760.poscar,-1.3157,P63/mmc
ID-4848333_OQMD-EnID-349246.poscar,-1.1164,Pm-3m
ID-4848927_OQMD-EnID-298065.poscar,-1.2756,I4/mmm
ID-4857564_OQMD-EnID-690796.poscar,-1.7473,C2/m
ID-4905864_OQMD-EnID-694998.poscar,-1.7825,C2
ID-4906152_OQMD-EnID-694997.poscar,-2.0049,C2
ID-4910586_OQMD-EnID-695462.poscar,-1.7925,C2/m
ID-4910646_OQMD-EnID-695458.poscar,-1.1099,Pm-3m
ID-4910649_OQMD-EnID-695455.poscar,-1.7369,P4mm
ID-4910718_OQMD-EnID-695459.poscar,-2.0521,Pnma
ID-4910721_OQMD-EnID-695456.poscar,-1.7467,C2
ID-4910724_OQMD-EnID-695454.poscar,-1.7473,C2/m
ID-5121984_OQMD-EnID-825017.poscar,-1.7398,C2
ID-5122086_OQMD-EnID-825054.poscar,-1.8598,P1
