filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4479612_OQMD-EnID-306855.poscar,-0.2995,Pm-3m
ID-4515981_OQMD-EnID-338397.poscar,-0.2802,P4/mmm
ID-5493818_OQMD-EnID-1106040.poscar,-0.6776,Fm-3m
ID-5571966_OQMD-EnID-1223676.poscar,-0.7592,F-43m
ID-5575965_OQMD-EnID-1230648.poscar,-0.5381,P-6m2
ID-5577865_OQMD-EnID-1235063.poscar,-0.6755,R-3m
ID-4073436_OQMD-EnID-3353.poscar,-0.7216,R-3m
ID-4076907_OQMD-EnID-14000.poscar,-0.7199,C2/m
ID-5597906_OQMD-EnID-1239594.poscar,-0.1414,Fd-3m
ID-5731242_OQMD-EnID-1344081.poscar,-0.6698,Pnma
ID-5731321_OQMD-EnID-1343665.poscar,-0.4016,Fm-3m
ID-5731536_OQMD-EnID-1343327.poscar,-0.7247,R3
ID-5731680_OQMD-EnID-1343593.poscar,-0.4006,Fm-3m
ID-5731681_OQMD-EnID-1343422.poscar,-0.3991,Fm-3m
ID-5731958_OQMD-EnID-1343806.poscar,-0.7125,Fdd2
ID-5811761_OQMD-EnID-1440136.poscar,-0.7189,P-3m1
ID-5813951_OQMD-EnID-1442811.poscar,-0.2025,Pn-3m
ID-5964308_OQMD-EnID-1594924.poscar,0.5105,Fd-3m
ID-4124217_OQMD-EnID-304018.poscar,-0.0497,I4/mmm
ID-4144080_OQMD-EnID-314560.poscar,0.0175,Fm-3m
ID-4157823_OQMD-EnID-323413.poscar,-0.3909,P63/mmc
ID-4797552_OQMD-EnID-347899.poscar,-0.0624,Pm-3m
ID-6005466_OQMD-EnID-1603234.poscar,0.3232,P6/mmm
ID-5577501_OQMD-EnID-1234134.poscar,-0.3918,P42/mnm
ID-5597905_OQMD-EnID-1239595.poscar,0.0725,Fd-3m
ID-5947102_OQMD-EnID-1589793.poscar,0.7036,Fd-3m
ID-4811394_OQMD-EnID-428212.poscar,-0.5363,R-3c
ID-4119951_OQMD-EnID-302329.poscar,0.411,I4/mmm
ID-4139886_OQMD-EnID-312871.poscar,0.4562,Fm-3m
ID-4162047_OQMD-EnID-325102.poscar,0.5283,P63/mmc
ID-4175703_OQMD-EnID-349588.poscar,0.594,Pm-3m
ID-4082772_OQMD-EnID-5430.poscar,-0.9168,I213
ID-4303173_OQMD-EnID-354448.poscar,-0.3081,Pm-3m
ID-4841787_OQMD-EnID-678212.poscar,-0.9077,R-3
ID-4854858_OQMD-EnID-682795.poscar,-0.8569,Pnma
ID-4894320_OQMD-EnID-681175.poscar,3.7983,P4mm
ID-4997388_OQMD-EnID-5130.poscar,-0.9373,Ia-3
ID-5196681_OQMD-EnID-827233.poscar,-0.8232,R-3c
ID-5812523_OQMD-EnID-1440427.poscar,-0.8093,P-3m1
ID-5844216_OQMD-EnID-1473329.poscar,-0.8387,C2/c
ID-4500990_OQMD-EnID-4323.poscar,-0.8107,P21/m
ID-4891116_OQMD-EnID-359777.poscar,-0.7557,P4/mmm
ID-5632490_OQMD-EnID-1281186.poscar,-0.6217,Fd-3m
ID-5632491_OQMD-EnID-1281198.poscar,-0.6148,Fd-3m
ID-4479612_OQMD-EnID-306855.poscar,-0.2995,Pm-3m
ID-4515981_OQMD-EnID-338397.poscar,-0.2802,P4/mmm
ID-5493818_OQMD-EnID-1106040.poscar,-0.6776,Fm-3m
ID-5571966_OQMD-EnID-1223676.poscar,-0.7592,F-43m
ID-5575965_OQMD-EnID-1230648.poscar,-0.5381,P-6m2
ID-5577865_OQMD-EnID-1235063.poscar,-0.6755,R-3m
ID-4073436_OQMD-EnID-3353.poscar,-0.7216,R-3m
ID-4076907_OQMD-EnID-14000.poscar,-0.7199,C2/m
ID-5597906_OQMD-EnID-1239594.poscar,-0.1414,Fd-3m
ID-5731242_OQMD-EnID-1344081.poscar,-0.6698,Pnma
ID-5731321_OQMD-EnID-1343665.poscar,-0.4016,Fm-3m
ID-5731536_OQMD-EnID-1343327.poscar,-0.7247,R3
ID-5731680_OQMD-EnID-1343593.poscar,-0.4006,Fm-3m
ID-5731681_OQMD-EnID-1343422.poscar,-0.3991,Fm-3m
ID-5731958_OQMD-EnID-1343806.poscar,-0.7125,Fdd2
ID-5811761_OQMD-EnID-1440136.poscar,-0.7189,P-3m1
ID-5813951_OQMD-EnID-1442811.poscar,-0.2025,Pn-3m
ID-5964308_OQMD-EnID-1594924.poscar,0.5105,Fd-3m
ID-4124217_OQMD-EnID-304018.poscar,-0.0497,I4/mmm
ID-4144080_OQMD-EnID-314560.poscar,0.0175,Fm-3m
ID-4157823_OQMD-EnID-323413.poscar,-0.3909,P63/mmc
ID-4797552_OQMD-EnID-347899.poscar,-0.0624,Pm-3m
ID-6005466_OQMD-EnID-1603234.poscar,0.3232,P6/mmm
ID-5577501_OQMD-EnID-1234134.poscar,-0.3918,P42/mnm
ID-5597905_OQMD-EnID-1239595.poscar,0.0725,Fd-3m
ID-5947102_OQMD-EnID-1589793.poscar,0.7036,Fd-3m
ID-4811394_OQMD-EnID-428212.poscar,-0.5363,R-3c
ID-4119951_OQMD-EnID-302329.poscar,0.411,I4/mmm
ID-4139886_OQMD-EnID-312871.poscar,0.4562,Fm-3m
ID-4162047_OQMD-EnID-325102.poscar,0.5283,P63/mmc
ID-4175703_OQMD-EnID-349588.poscar,0.594,Pm-3m
ID-4082772_OQMD-EnID-5430.poscar,-0.9168,I213
ID-4303173_OQMD-EnID-354448.poscar,-0.3081,Pm-3m
ID-4841787_OQMD-EnID-678212.poscar,-0.9077,R-3
ID-4854858_OQMD-EnID-682795.poscar,-0.8569,Pnma
ID-4894320_OQMD-EnID-681175.poscar,3.7983,P4mm
ID-4997388_OQMD-EnID-5130.poscar,-0.9373,Ia-3
ID-5196681_OQMD-EnID-827233.poscar,-0.8232,R-3c
ID-5812523_OQMD-EnID-1440427.poscar,-0.8093,P-3m1
ID-5844216_OQMD-EnID-1473329.poscar,-0.8387,C2/c
ID-4500990_OQMD-EnID-4323.poscar,-0.8107,P21/m
ID-4891116_OQMD-EnID-359777.poscar,-0.7557,P4/mmm
ID-5632490_OQMD-EnID-1281186.poscar,-0.6217,Fd-3m
ID-5632491_OQMD-EnID-1281198.poscar,-0.6148,Fd-3m
ID-4479612_OQMD-EnID-306855.poscar,-0.2995,Pm-3m
ID-4515981_OQMD-EnID-338397.poscar,-0.2802,P4/mmm
ID-5493818_OQMD-EnID-1106040.poscar,-0.6776,Fm-3m
ID-5571966_OQMD-EnID-1223676.poscar,-0.7592,F-43m
ID-5575965_OQMD-EnID-1230648.poscar,-0.5381,P-6m2
ID-5577865_OQMD-EnID-1235063.poscar,-0.6755,R-3m
ID-4073436_OQMD-EnID-3353.poscar,-0.7216,R-3m
ID-4076907_OQMD-EnID-14000.poscar,-0.7199,C2/m
ID-5597906_OQMD-EnID-1239594.poscar,-0.1414,Fd-3m
ID-5731242_OQMD-EnID-1344081.poscar,-0.6698,Pnma
ID-5731321_OQMD-EnID-1343665.poscar,-0.4016,Fm-3m
ID-5731536_OQMD-EnID-1343327.poscar,-0.7247,R3
ID-5731680_OQMD-EnID-1343593.poscar,-0.4006,Fm-3m
ID-5731681_OQMD-EnID-1343422.poscar,-0.3991,Fm-3m
ID-5731958_OQMD-EnID-1343806.poscar,-0.7125,Fdd2
ID-5811761_OQMD-EnID-1440136.poscar,-0.7189,P-3m1
ID-5813951_OQMD-EnID-1442811.poscar,-0.2025,Pn-3m
ID-5964308_OQMD-EnID-1594924.poscar,0.5105,Fd-3m
ID-4124217_OQMD-EnID-304018.poscar,-0.0497,I4/mmm
ID-4144080_OQMD-EnID-314560.poscar,0.0175,Fm-3m
ID-4157823_OQMD-EnID-323413.poscar,-0.3909,P63/mmc
ID-4797552_OQMD-EnID-347899.poscar,-0.0624,Pm-3m
ID-6005466_OQMD-EnID-1603234.poscar,0.3232,P6/mmm
ID-5577501_OQMD-EnID-1234134.poscar,-0.3918,P42/mnm
ID-5597905_OQMD-EnID-1239595.poscar,0.0725,Fd-3m
ID-5947102_OQMD-EnID-1589793.poscar,0.7036,Fd-3m
ID-4811394_OQMD-EnID-428212.poscar,-0.5363,R-3c
ID-4119951_OQMD-EnID-302329.poscar,0.411,I4/mmm
ID-4139886_OQMD-EnID-312871.poscar,0.4562,Fm-3m
ID-4162047_OQMD-EnID-325102.poscar,0.5283,P63/mmc
ID-4175703_OQMD-EnID-349588.poscar,0.594,Pm-3m
ID-4082772_OQMD-EnID-5430.poscar,-0.9168,I213
ID-4303173_OQMD-EnID-354448.poscar,-0.3081,Pm-3m
ID-4841787_OQMD-EnID-678212.poscar,-0.9077,R-3
ID-4854858_OQMD-EnID-682795.poscar,-0.8569,Pnma
ID-4894320_OQMD-EnID-681175.poscar,3.7983,P4mm
ID-4997388_OQMD-EnID-5130.poscar,-0.9373,Ia-3
ID-5196681_OQMD-EnID-827233.poscar,-0.8232,R-3c
ID-5812523_OQMD-EnID-1440427.poscar,-0.8093,P-3m1
ID-5844216_OQMD-EnID-1473329.poscar,-0.8387,C2/c
ID-4500990_OQMD-EnID-4323.poscar,-0.8107,P21/m
ID-4891116_OQMD-EnID-359777.poscar,-0.7557,P4/mmm
ID-5632490_OQMD-EnID-1281186.poscar,-0.6217,Fd-3m
ID-5632491_OQMD-EnID-1281198.poscar,-0.6148,Fd-3m
ID-4479612_OQMD-EnID-306855.poscar,-0.2995,Pm-3m
ID-4515981_OQMD-EnID-338397.poscar,-0.2802,P4/mmm
ID-5493818_OQMD-EnID-1106040.poscar,-0.6776,Fm-3m
ID-5571966_OQMD-EnID-1223676.poscar,-0.7592,F-43m
ID-5575965_OQMD-EnID-1230648.poscar,-0.5381,P-6m2
ID-5577865_OQMD-EnID-1235063.poscar,-0.6755,R-3m
ID-4073436_OQMD-EnID-3353.poscar,-0.7216,R-3m
ID-4076907_OQMD-EnID-14000.poscar,-0.7199,C2/m
ID-5597906_OQMD-EnID-1239594.poscar,-0.1414,Fd-3m
ID-5731242_OQMD-EnID-1344081.poscar,-0.6698,Pnma
ID-5731321_OQMD-EnID-1343665.poscar,-0.4016,Fm-3m
ID-5731536_OQMD-EnID-1343327.poscar,-0.7247,R3
ID-5731680_OQMD-EnID-1343593.poscar,-0.4006,Fm-3m
ID-5731681_OQMD-EnID-1343422.poscar,-0.3991,Fm-3m
ID-5731958_OQMD-EnID-1343806.poscar,-0.7125,Fdd2
ID-5811761_OQMD-EnID-1440136.poscar,-0.7189,P-3m1
ID-5813951_OQMD-EnID-1442811.poscar,-0.2025,Pn-3m
ID-5964308_OQMD-EnID-1594924.poscar,0.5105,Fd-3m
ID-4124217_OQMD-EnID-304018.poscar,-0.0497,I4/mmm
ID-4144080_OQMD-EnID-314560.poscar,0.0175,Fm-3m
ID-4157823_OQMD-EnID-323413.poscar,-0.3909,P63/mmc
ID-4797552_OQMD-EnID-347899.poscar,-0.0624,Pm-3m
ID-6005466_OQMD-EnID-1603234.poscar,0.3232,P6/mmm
ID-5577501_OQMD-EnID-1234134.poscar,-0.3918,P42/mnm
