filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4487070_OQMD-EnID-307641.poscar,-2.3155,Pm-3m
ID-4518120_OQMD-EnID-339183.poscar,-2.0509,P4/mmm
ID-5494600_OQMD-EnID-1106826.poscar,-2.9971,Fm-3m
ID-5571967_OQMD-EnID-1223677.poscar,-2.9751,F-43m
ID-5575966_OQMD-EnID-1230649.poscar,-2.7556,P-6m2
ID-5577866_OQMD-EnID-1235064.poscar,-2.997,R-3m
ID-6033233_OQMD-EnID-1733402.poscar,-3.1954,P4/nmm
ID-6042264_OQMD-EnID-1743080.poscar,-3.0007,Cmc21
ID-5597613_OQMD-EnID-1239263.poscar,-1.134,Fd-3m
ID-5962080_OQMD-EnID-1594030.poscar,0.6252,Fd-3m
ID-4127067_OQMD-EnID-308475.poscar,0.2013,Fm-3m
ID-4161726_OQMD-EnID-324978.poscar,-0.9192,P63/mmc
ID-4518951_OQMD-EnID-297944.poscar,-0.136,I4/mmm
ID-4798848_OQMD-EnID-349464.poscar,0.0273,Pm-3m
ID-6005527_OQMD-EnID-1603222.poscar,0.7844,P6/mmm
ID-5577502_OQMD-EnID-1234135.poscar,-2.9326,P42/mnm
ID-5597610_OQMD-EnID-1239264.poscar,-2.5495,Fd-3m
ID-5761550_OQMD-EnID-1374194.poscar,-3.3231,C2/m
ID-5947067_OQMD-EnID-1589781.poscar,-0.8208,Fd-3m
ID-4812660_OQMD-EnID-428213.poscar,-2.3965,R-3c
ID-4123866_OQMD-EnID-303894.poscar,-1.7508,I4/mmm
ID-4143762_OQMD-EnID-314436.poscar,-1.7882,Fm-3m
ID-4146849_OQMD-EnID-319017.poscar,-1.7941,P63/mmc
ID-4793952_OQMD-EnID-343503.poscar,-1.7289,Pm-3m
ID-4070796_OQMD-EnID-20297.poscar,-3.85,P-3m1
ID-4085628_OQMD-EnID-11465.poscar,-3.923,Ia-3
ID-4277724_OQMD-EnID-350671.poscar,-2.9763,Pm-3m
ID-4508826_OQMD-EnID-20309.poscar,-3.8796,C2/m
ID-5035011_OQMD-EnID-6310.poscar,-3.9318,I213
ID-5812947_OQMD-EnID-1442701.poscar,-3.7218,P321
ID-4881129_OQMD-EnID-356000.poscar,-3.1559,P4/mmm
ID-4487070_OQMD-EnID-307641.poscar,-2.3155,Pm-3m
ID-4518120_OQMD-EnID-339183.poscar,-2.0509,P4/mmm
ID-5494600_OQMD-EnID-1106826.poscar,-2.9971,Fm-3m
ID-5571967_OQMD-EnID-1223677.poscar,-2.9751,F-43m
ID-5575966_OQMD-EnID-1230649.poscar,-2.7556,P-6m2
ID-5577866_OQMD-EnID-1235064.poscar,-2.997,R-3m
ID-6033233_OQMD-EnID-1733402.poscar,-3.1954,P4/nmm
ID-6042264_OQMD-EnID-1743080.poscar,-3.0007,Cmc21
ID-5597613_OQMD-EnID-1239263.poscar,-1.134,Fd-3m
ID-5962080_OQMD-EnID-1594030.poscar,0.6252,Fd-3m
ID-4127067_OQMD-EnID-308475.poscar,0.2013,Fm-3m
ID-4161726_OQMD-EnID-324978.poscar,-0.9192,P63/mmc
ID-4518951_OQMD-EnID-297944.poscar,-0.136,I4/mmm
ID-4798848_OQMD-EnID-349464.poscar,0.0273,Pm-3m
ID-6005527_OQMD-EnID-1603222.poscar,0.7844,P6/mmm
ID-5577502_OQMD-EnID-1234135.poscar,-2.9326,P42/mnm
ID-5597610_OQMD-EnID-1239264.poscar,-2.5495,Fd-3m
ID-5761550_OQMD-EnID-1374194.poscar,-3.3231,C2/m
ID-5947067_OQMD-EnID-1589781.poscar,-0.8208,Fd-3m
ID-4812660_OQMD-EnID-428213.poscar,-2.3965,R-3c
ID-4123866_OQMD-EnID-303894.poscar,-1.7508,I4/mmm
ID-4143762_OQMD-EnID-314436.poscar,-1.7882,Fm-3m
ID-4146849_OQMD-EnID-319017.poscar,-1.7941,P63/mmc
ID-4793952_OQMD-EnID-343503.poscar,-1.7289,Pm-3m
ID-4070796_OQMD-EnID-20297.poscar,-3.85,P-3m1
ID-4085628_OQMD-EnID-11465.poscar,-3.923,Ia-3
ID-4277724_OQMD-EnID-350671.poscar,-2.9763,Pm-3m
ID-4508826_OQMD-EnID-20309.poscar,-3.8796,C2/m
ID-5035011_OQMD-EnID-6310.poscar,-3.9318,I213
ID-5812947_OQMD-EnID-1442701.poscar,-3.7218,P321
ID-4881129_OQMD-EnID-356000.poscar,-3.1559,P4/mmm
ID-4487070_OQMD-EnID-307641.poscar,-2.3155,Pm-3m
ID-4518120_OQMD-EnID-339183.poscar,-2.0509,P4/mmm
ID-5494600_OQMD-EnID-1106826.poscar,-2.9971,Fm-3m
ID-5571967_OQMD-EnID-1223677.poscar,-2.9751,F-43m
ID-5575966_OQMD-EnID-1230649.poscar,-2.7556,P-6m2
ID-5577866_OQMD-EnID-1235064.poscar,-2.997,R-3m
ID-6033233_OQMD-EnID-1733402.poscar,-3.1954,P4/nmm
ID-6042264_OQMD-EnID-1743080.poscar,-3.0007,Cmc21
ID-5597613_OQMD-EnID-1239263.poscar,-1.134,Fd-3m
ID-5962080_OQMD-EnID-1594030.poscar,0.6252,Fd-3m
ID-4127067_OQMD-EnID-308475.poscar,0.2013,Fm-3m
ID-4161726_OQMD-EnID-324978.poscar,-0.9192,P63/mmc
ID-4518951_OQMD-EnID-297944.poscar,-0.136,I4/mmm
ID-4798848_OQMD-EnID-349464.poscar,0.0273,Pm-3m
ID-6005527_OQMD-EnID-1603222.poscar,0.7844,P6/mmm
ID-5577502_OQMD-EnID-1234135.poscar,-2.9326,P42/mnm
ID-5597610_OQMD-EnID-1239264.poscar,-2.5495,Fd-3m
ID-5761550_OQMD-EnID-1374194.poscar,-3.3231,C2/m
ID-5947067_OQMD-EnID-1589781.poscar,-0.8208,Fd-3m
ID-4812660_OQMD-EnID-428213.poscar,-2.3965,R-3c
ID-4123866_OQMD-EnID-303894.poscar,-1.7508,I4/mmm
ID-4143762_OQMD-EnID-314436.poscar,-1.7882,Fm-3m
ID-4146849_OQMD-EnID-319017.poscar,-1.7941,P63/mmc
ID-4793952_OQMD-EnID-343503.poscar,-1.7289,Pm-3m
ID-4070796_OQMD-EnID-20297.poscar,-3.85,P-3m1
ID-4085628_OQMD-EnID-11465.poscar,-3.923,Ia-3
ID-4277724_OQMD-EnID-350671.poscar,-2.9763,Pm-3m
ID-4508826_OQMD-EnID-20309.poscar,-3.8796,C2/m
ID-5035011_OQMD-EnID-6310.poscar,-3.9318,I213
ID-5812947_OQMD-EnID-1442701.poscar,-3.7218,P321
ID-4881129_OQMD-EnID-356000.poscar,-3.1559,P4/mmm
ID-4487070_OQMD-EnID-307641.poscar,-2.3155,Pm-3m
ID-4518120_OQMD-EnID-339183.poscar,-2.0509,P4/mmm
ID-5494600_OQMD-EnID-1106826.poscar,-2.9971,Fm-3m
ID-5571967_OQMD-EnID-1223677.poscar,-2.9751,F-43m
ID-5575966_OQMD-EnID-1230649.poscar,-2.7556,P-6m2
ID-5577866_OQMD-EnID-1235064.poscar,-2.997,R-3m
ID-6033233_OQMD-EnID-1733402.poscar,-3.1954,P4/nmm
ID-6042264_OQMD-EnID-1743080.poscar,-3.0007,Cmc21
ID-5597613_OQMD-EnID-1239263.poscar,-1.134,Fd-3m
ID-5962080_OQMD-EnID-1594030.poscar,0.6252,Fd-3m
ID-4127067_OQMD-EnID-308475.poscar,0.2013,Fm-3m
ID-4161726_OQMD-EnID-324978.poscar,-0.9192,P63/mmc
ID-4518951_OQMD-EnID-297944.poscar,-0.136,I4/mmm
ID-4798848_OQMD-EnID-349464.poscar,0.0273,Pm-3m
ID-6005527_OQMD-EnID-1603222.poscar,0.7844,P6/mmm
ID-5577502_OQMD-EnID-1234135.poscar,-2.9326,P42/mnm
ID-5597610_OQMD-EnID-1239264.poscar,-2.5495,Fd-3m
ID-5761550_OQMD-EnID-1374194.poscar,-3.3231,C2/m
ID-5947067_OQMD-EnID-1589781.poscar,-0.8208,Fd-3m
ID-4812660_OQMD-EnID-428213.poscar,-2.3965,R-3c
ID-4123866_OQMD-EnID-303894.poscar,-1.7508,I4/mmm
ID-4143762_OQMD-EnID-314436.poscar,-1.7882,Fm-3m
ID-4146849_OQMD-EnID-319017.poscar,-1.7941,P63/mmc
ID-4793952_OQMD-EnID-343503.poscar,-1.7289,Pm-3m
ID-4070796_OQMD-EnID-20297.poscar,-3.85,P-3m1
ID-4085628_OQMD-EnID-11465.poscar,-3.923,Ia-3
ID-4277724_OQMD-EnID-350671.poscar,-2.9763,Pm-3m
ID-4508826_OQMD-EnID-20309.poscar,-3.8796,C2/m
ID-5035011_OQMD-EnID-6310.poscar,-3.9318,I213
ID-5812947_OQMD-EnID-1442701.poscar,-3.7218,P321
ID-4881129_OQMD-EnID-356000.poscar,-3.1559,P4/mmm
ID-4487070_OQMD-EnID-307641.poscar,-2.3155,Pm-3m
ID-4518120_OQMD-EnID-339183.poscar,-2.0509,P4/mmm
ID-5494600_OQMD-EnID-1106826.poscar,-2.9971,Fm-3m
ID-5571967_OQMD-EnID-1223677.poscar,-2.9751,F-43m
ID-5575966_OQMD-EnID-1230649.poscar,-2.7556,P-6m2
ID-5577866_OQMD-EnID-1235064.poscar,-2.997,R-3m
ID-6033233_OQMD-EnID-1733402.poscar,-3.1954,P4/nmm
ID-6042264_OQMD-EnID-1743080.poscar,-3.0007,Cmc21
ID-5597613_OQMD-EnID-1239263.poscar,-1.134,Fd-3m
ID-5962080_OQMD-EnID-1594030.poscar,0.6252,Fd-3m
ID-4127067_OQMD-EnID-308475.poscar,0.2013,Fm-3m
ID-4161726_OQMD-EnID-324978.poscar,-0.9192,P63/mmc
ID-4518951_OQMD-EnID-297944.poscar,-0.136,I4/mmm
ID-4798848_OQMD-EnID-349464.poscar,0.0273,Pm-3m
ID-6005527_OQMD-EnID-1603222.poscar,0.7844,P6/mmm
ID-5577502_OQMD-EnID-1234135.poscar,-2.9326,P42/mnm
ID-5597610_OQMD-EnID-1239264.poscar,-2.5495,Fd-3m
ID-5761550_OQMD-EnID-1374194.poscar,-3.3231,C2/m
ID-5947067_OQMD-EnID-1589781.poscar,-0.8208,Fd-3m
ID-4812660_OQMD-EnID-428213.poscar,-2.3965,R-3c
ID-4123866_OQMD-EnID-303894.poscar,-1.7508,I4/mmm
ID-4143762_OQMD-EnID-314436.poscar,-1.7882,Fm-3m
ID-4146849_OQMD-EnID-319017.poscar,-1.7941,P63/mmc
ID-4793952_OQMD-EnID-343503.poscar,-1.7289,Pm-3m
ID-4070796_OQMD-EnID-20297.poscar,-3.85,P-3m1
ID-4085628_OQMD-EnID-11465.poscar,-3.923,Ia-3
ID-4277724_OQMD-EnID-350671.poscar,-2.9763,Pm-3m
ID-4508826_OQMD-EnID-20309.poscar,-3.8796,C2/m
ID-5035011_OQMD-EnID-6310.poscar,-3.9318,I213
ID-5812947_OQMD-EnID-1442701.poscar,-3.7218,P321
ID-4881129_OQMD-EnID-356000.poscar,-3.1559,P4/mmm
