filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4373316_OQMD-EnID-304516.poscar,0.1854,Pm-3m
ID-4497495_OQMD-EnID-325600.poscar,-0.5625,R-3m
ID-4509573_OQMD-EnID-336058.poscar,0.5307,P4/mmm
ID-5491487_OQMD-EnID-1103702.poscar,0.1267,Fm-3m
ID-5571970_OQMD-EnID-1223680.poscar,-0.3454,F-43m
ID-5575969_OQMD-EnID-1230652.poscar,-0.4464,P-6m2
ID-5597015_OQMD-EnID-1238465.poscar,1.7083,Fd-3m
ID-5963011_OQMD-EnID-1594404.poscar,1.5917,Fd-3m
ID-4081179_OQMD-EnID-19304.poscar,0.7389,Pm-3n
ID-4109520_OQMD-EnID-298052.poscar,0.7655,I4/mmm
ID-4127352_OQMD-EnID-308584.poscar,0.7638,Fm-3m
ID-4145970_OQMD-EnID-318663.poscar,0.6185,P63/mmc
ID-4793658_OQMD-EnID-343149.poscar,0.8014,Pm-3m
ID-6005228_OQMD-EnID-1603227.poscar,1.2178,P6/mmm
ID-4854693_OQMD-EnID-12866.poscar,-1.1245,Cmm2
ID-4468263_OQMD-EnID-2444.poscar,-2.1768,P21/c
ID-4901784_OQMD-EnID-13405.poscar,-2.1753,Pnma
ID-5577504_OQMD-EnID-1234138.poscar,-2.1191,P42/mnm
ID-5597016_OQMD-EnID-1238466.poscar,-1.629,Fd-3m
ID-5731058_OQMD-EnID-1343560.poscar,-2.1625,P63/mmc
ID-5731247_OQMD-EnID-1343273.poscar,-1.971,Pmn21
ID-5731277_OQMD-EnID-1344023.poscar,-2.1353,Pbcn
ID-5731464_OQMD-EnID-1343777.poscar,-2.0029,I4/m
ID-5731473_OQMD-EnID-1343655.poscar,-2.0494,Pbca
ID-5731514_OQMD-EnID-1344075.poscar,-1.7885,Pbam
ID-5731716_OQMD-EnID-1343473.poscar,-2.1638,R3m
ID-5731906_OQMD-EnID-1343654.poscar,-2.1628,P63/mmc
ID-5811538_OQMD-EnID-1440169.poscar,-1.7672,P-3m1
