filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4373277_OQMD-EnID-304512.poscar,-2.3632,Pm-3m
ID-4497486_OQMD-EnID-325596.poscar,-2.3594,R-3m
ID-4509564_OQMD-EnID-336054.poscar,-2.1383,P4/mmm
ID-5491483_OQMD-EnID-1103698.poscar,-2.9776,Fm-3m
ID-5571971_OQMD-EnID-1223681.poscar,-2.9138,F-43m
ID-5575970_OQMD-EnID-1230653.poscar,-2.7398,P-6m2
ID-5953796_OQMD-EnID-1591836.poscar,0.6006,Fd-3m
ID-4120737_OQMD-EnID-302667.poscar,-0.1087,I4/mmm
ID-4140753_OQMD-EnID-313209.poscar,0.2461,Fm-3m
ID-4145958_OQMD-EnID-318658.poscar,-0.8355,P63/mmc
ID-4793655_OQMD-EnID-343144.poscar,0.0502,Pm-3m
ID-4987452_OQMD-EnID-711611.poscar,-2.4276,P1
ID-4958109_OQMD-EnID-711606.poscar,-2.7922,P21/c
ID-4958214_OQMD-EnID-711612.poscar,-2.6467,I41/amd
ID-5577505_OQMD-EnID-1234139.poscar,-2.8274,P42/mnm
ID-5759574_OQMD-EnID-1369105.poscar,-3.2323,C2/m
ID-5946987_OQMD-EnID-1589752.poscar,-0.8745,Fd-3m
ID-4812165_OQMD-EnID-428217.poscar,-2.3657,R-3c
ID-4108410_OQMD-EnID-297589.poscar,-1.6833,I4/mmm
ID-4126164_OQMD-EnID-308116.poscar,-1.7545,Fm-3m
ID-4158657_OQMD-EnID-323751.poscar,-1.7314,P63/mmc
ID-4173312_OQMD-EnID-348237.poscar,-1.6661,Pm-3m
ID-4956933_OQMD-EnID-711609.poscar,-1.4895,Pm-3m
ID-4957146_OQMD-EnID-711607.poscar,-1.6686,P4/mmm
ID-4958244_OQMD-EnID-711608.poscar,-1.5789,R-3m
ID-4958463_OQMD-EnID-711605.poscar,-2.0298,Cm
ID-4958625_OQMD-EnID-711610.poscar,-1.7438,Pnma
ID-4072062_OQMD-EnID-20290.poscar,-3.7372,P-3m1
ID-4082877_OQMD-EnID-6307.poscar,-3.7953,I213
ID-4290744_OQMD-EnID-352101.poscar,-2.8883,Pm-3m
ID-4508874_OQMD-EnID-20300.poscar,-3.7624,C2/m
ID-4811184_OQMD-EnID-116699.poscar,-3.7333,P-3m1
ID-4822254_OQMD-EnID-22374.poscar,-3.6829,Pnma
ID-4840716_OQMD-EnID-678215.poscar,-3.7583,R-3
ID-4987158_OQMD-EnID-3427.poscar,-3.8082,Ia-3
ID-5628235_OQMD-EnID-1276750.poscar,-3.6965,Pnma
ID-5731440_OQMD-EnID-1343893.poscar,-3.6231,Fddd
ID-5731579_OQMD-EnID-1344022.poscar,-3.7572,P21/m
ID-5812973_OQMD-EnID-1442705.poscar,-3.5994,P321
ID-5813213_OQMD-EnID-1444201.poscar,-3.5942,P-62m
ID-5816133_OQMD-EnID-1440286.poscar,-3.755,R-3c
ID-5847334_OQMD-EnID-1472689.poscar,-3.5454,C2/c
ID-5726337_OQMD-EnID-1338406.poscar,-1.8373,C2/m
ID-5736507_OQMD-EnID-1343173.poscar,-1.8187,P2/c
ID-4957632_OQMD-EnID-711613.poscar,-2.3241,P4/mmm
ID-4885140_OQMD-EnID-357430.poscar,-3.0898,P4/mmm
ID-5632516_OQMD-EnID-1281287.poscar,-3.2498,Fd-3m
ID-5632517_OQMD-EnID-1281273.poscar,-3.2472,Fd-3m
ID-4373277_OQMD-EnID-304512.poscar,-2.3632,Pm-3m
ID-4497486_OQMD-EnID-325596.poscar,-2.3594,R-3m
ID-4509564_OQMD-EnID-336054.poscar,-2.1383,P4/mmm
ID-5491483_OQMD-EnID-1103698.poscar,-2.9776,Fm-3m
ID-5571971_OQMD-EnID-1223681.poscar,-2.9138,F-43m
ID-5575970_OQMD-EnID-1230653.poscar,-2.7398,P-6m2
ID-5953796_OQMD-EnID-1591836.poscar,0.6006,Fd-3m
ID-4120737_OQMD-EnID-302667.poscar,-0.1087,I4/mmm
ID-4140753_OQMD-EnID-313209.poscar,0.2461,Fm-3m
ID-4145958_OQMD-EnID-318658.poscar,-0.8355,P63/mmc
ID-4793655_OQMD-EnID-343144.poscar,0.0502,Pm-3m
ID-4987452_OQMD-EnID-711611.poscar,-2.4276,P1
ID-4958109_OQMD-EnID-711606.poscar,-2.7922,P21/c
