filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4063644_OQMD-EnID-13641.poscar,-2.4235,Fm-3m
ID-4479933_OQMD-EnID-306887.poscar,-1.9979,Pm-3m
ID-4504287_OQMD-EnID-327971.poscar,-2.4517,R-3m
ID-4516056_OQMD-EnID-338429.poscar,-1.7173,P4/mmm
ID-5493850_OQMD-EnID-1106072.poscar,-2.4239,Fm-3m
ID-5571974_OQMD-EnID-1223684.poscar,-2.3481,F-43m
ID-5575973_OQMD-EnID-1230656.poscar,-2.5231,P-6m2
ID-5816428_OQMD-EnID-1443141.poscar,-2.4441,C2/m
ID-4444830_OQMD-EnID-14001.poscar,-1.6811,Pn-3m
ID-5954036_OQMD-EnID-1591912.poscar,0.6818,Fd-3m
ID-4081680_OQMD-EnID-14002.poscar,-1.4737,P6322
ID-4120383_OQMD-EnID-302517.poscar,-0.0294,I4/mmm
ID-4158006_OQMD-EnID-323490.poscar,0.0148,P63/mmc
ID-4467366_OQMD-EnID-5214.poscar,-1.4788,R-3c
ID-4781613_OQMD-EnID-4293.poscar,-1.4785,R32
ID-4792956_OQMD-EnID-313059.poscar,0.1994,Fm-3m
ID-4797609_OQMD-EnID-347976.poscar,0.028,Pm-3m
ID-4901097_OQMD-EnID-694493.poscar,-2.655,P1
ID-4901115_OQMD-EnID-694494.poscar,-2.685,P1
ID-4978950_OQMD-EnID-711546.poscar,-2.6591,P1
ID-5122524_OQMD-EnID-825114.poscar,-2.6802,P1
ID-5122551_OQMD-EnID-825113.poscar,-2.6525,P1
ID-5122680_OQMD-EnID-825115.poscar,-2.6494,P1
ID-4064238_OQMD-EnID-17899.poscar,-3.5646,Fm-3m
ID-4103811_OQMD-EnID-12228.poscar,-3.6109,Pca21
ID-4468368_OQMD-EnID-3278.poscar,-3.633,P21/c
ID-4468461_OQMD-EnID-10208.poscar,-3.5299,Pnma
ID-4802316_OQMD-EnID-646648.poscar,-3.596,P42/nmc
ID-4804218_OQMD-EnID-648020.poscar,-3.5987,P42/nmc
ID-4812972_OQMD-EnID-61797.poscar,-3.632,P21/c
ID-4868757_OQMD-EnID-114533.poscar,-3.6147,Pbca
ID-4958067_OQMD-EnID-711550.poscar,-3.3456,I41/amd
ID-5577508_OQMD-EnID-1234142.poscar,-3.5833,P42/mnm
ID-5731278_OQMD-EnID-1343402.poscar,-3.5935,Pbcn
ID-5731465_OQMD-EnID-1343732.poscar,-3.5132,I4/m
ID-5731672_OQMD-EnID-1343424.poscar,-3.3917,P-3m1
ID-5731689_OQMD-EnID-1343427.poscar,-3.3924,C2/m
ID-5731691_OQMD-EnID-1343324.poscar,-3.386,P-3m1
ID-5813219_OQMD-EnID-1439733.poscar,-3.5776,Pnnm
ID-5813272_OQMD-EnID-1440523.poscar,-3.4346,P4/nmm
ID-5813436_OQMD-EnID-1441169.poscar,-3.435,P4/nmm
ID-5813713_OQMD-EnID-1442809.poscar,-3.2964,Pn-3m
ID-5814000_OQMD-EnID-1443654.poscar,-3.5787,Pnnm
ID-5814035_OQMD-EnID-1443921.poscar,-3.5842,P42/mnm
ID-5814088_OQMD-EnID-1444273.poscar,-3.3222,Pmm2
ID-5815624_OQMD-EnID-1443170.poscar,-3.2563,P3121
ID-5816861_OQMD-EnID-1439769.poscar,-3.4733,Pa-3
