M,oxidising a1,oxidising a2,reducing a1,reducing a2
Ag,0,0.349,0.086,-0.1719
Al,0,0.8182,0.2109,0.4306
As,0.0303,-0.0261,0,0.5427
Au,0,0.0913,0,0.1522
Ba,1.8464,-3.6928,2.3522,-4.7044
Be,0.7936,-1.5872,2.5849,-5.1697
Bi,0.098,0.062,0,0.5473
Br,0.0092,-0.0552,0,0.0658
Ca,0.0023,0.0409,0.9093,-1.8185
Cd,0.7771,-1.5542,1.1434,-2.2867
Ce,0.4803,-0.5763,0.3604,0.175
Co,8.0583,-3.2233,0.466,-0.9319
Cr,0,1.112,0.5282,-0.2544
Cs,0.217,-0.2036,0.2456,-0.3709
Cu,0,0.3161,0.1102,-0.2204
Dy,0,0.9271,0,1.3362
Er,0,0.9562,0.2113,0.7179
Eu,0,0.7748,0.4244,-0.2827
Fe,0,0.3412,0.6151,-0.3955
Ga,0,0.7858,0,0.9481
Gd,0,0.8405,0.219,0.6411
Ge,0.5896,-1.1793,0,0.496
Hf,3.0138,-6.0277,0,0.3349
Hg,0.3092,-0.6185,0.5309,-1.0618
Ho,0,0.9473,0.2176,0.6915
I,0.1133,-0.453,0,0.1007
In,0,0.6855,0.0116,0.6303
Ir,0.9447,-1.8893,0,0.105
K,1.1022,-2.2044,1.1712,-2.3424
La,0,0.9189,0.3107,0.3589
Li,0.8034,-1.6068,0.368,-1.4721
Lu,0,1.021,0,1.3743
Mg,1.6595,-3.319,2.5448,-5.0896
Mn,0.0103,0.2319,0.33,-0.2198
Mo,0.5266,-1.0532,0.33,0.8085
Na,0.8541,-1.7082,0.258,-1.0318
Nb,0.1387,-0.5086,0.1526,0.134
Nd,0,0.4799,0.276,0.432
Ni,0.0466,-0.0931,0.5783,-1.1566
Os,0.0229,-0.229,0,0.3181
Pb,0.3631,-0.2693,0.0759,-0.1519
Pd,0.045,0.005,0.6587,-1.3175
Pr,0,0.7803,0.278,0.4106
Pt,0.694,-1.388,5.3602,-3.5699
Rb,0.0214,-0.0048,0.0048,-0.0096
Re,0.1185,-0.7113,0,0.3556
Rh,0.1456,-0.2912,0,0.3602
Ru,1.0922,-2.1845,0,0.1214
Sb,0.0856,-0.1712,0,0.5835
Sc,0,1.0372,0,1.3225
Se,0.8646,-1.7292,0,0.0961
Si,1.1015,-2.2031,0.356,-0.2382
Sm,0,0.8871,0,1.287
Sn,0.4554,-0.9108,0.3125,-0.375
Sr,0,0.588,1.1282,-2.2565
Ta,0.1855,-0.7421,0.312,-0.0268
Tb,0,0.8772,0,1.3275
Tc,1.4115,-2.823,0,0.1568
Te,1.12,-2.24,0,0.1244
Ti,0.198,-0.396,0.3302,-0.0195
Tl,0,0.2206,0.0621,0.0174
Tm,0,0.9665,0,1.3639
V,0.104,-0.0876,0.5421,-0.1949
W,0.1361,-0.8167,0.5901,0.0388
Y,0,0.9415,0.2239,0.6517
Yb,0.1656,-0.0552,0.9301,-1.8602
Zn,0.9068,-1.8137,1.4917,-2.9833
Zr,2.8592,-5.7184,1.6037,-3.2074
