M,oxidising a1,oxidising a2,reducing a1,reducing a2
Ag,0,0.349,0.0213,-0.0851
Al,0.0723,0.3785,0.7555,-1.5109
As,0.0377,-0.0097,0.0411,-0.0821
Au,0,0.0913,0.3653,-0.7305
Ba,0,0.2163,0.1264,-0.5058
Be,0,0.3276,0.4478,-1.7913
Bi,0,0.3649,0.1823,-0.3647
Br,0,0.0425,0.1174,-0.2348
Ca,0,0.5888,0.2381,-0.9525
Cd,0,0.2514,0.0916,-0.3663
Ce,0.1176,0.5113,0.0928,-0.0742
Co,0,0.2698,0.051,-0.2041
Cr,0,0.5116,0.319,-0.638
Cs,0,0.3323,0.0135,-0.0269
Cu,0,0.1321,0.1033,-0.4134
Dy,0.1029,0.3799,0.8418,-1.6835
Er,0.1191,0.3232,0.8575,-1.715
Eu,0.1142,0.1656,0.409,-1.0903
Fe,0,0.793,0.4709,-0.9419
Ga,0.0033,0.3818,0.6879,-1.3759
Gd,0.0541,0.5581,0.7969,-1.5939
Ge,0,1.3438,0.0245,0.5652
Hf,0,1.0046,0,1.0046
Hg,0,0.1039,0.0554,-0.2217
Ho,0.1185,0.3217,0.8501,-1.7003
I,0.0599,-0.1198,0,0.1738
In,0.081,0.0343,0.5632,-1.1263
Ir,0.0877,-0.036,0,0.3149
K,0.1264,-0.1714,0.0172,-0.069
La,0.1957,-0.0108,0.7844,-1.5687
Li,0,0.1437,0.0743,-0.4458
Lu,0.1762,0.106,0.8803,-1.7606
Mg,0,0.5421,0.2213,-0.8853
Mn,0.0183,0.2169,0.1378,-0.3673
Mo,0.0225,0.0034,0.3171,0.2024
Na,0,0.3167,0.0197,-0.1185
Nb,0.2035,-0.3391,0.0381,0.2296
Nd,0,0.8266,0.474,-0.9481
Ni,0,0.5,0.1329,-0.5318
Os,0.0115,-0.0924,0,0.3355
Pb,0,0.7209,0.0424,-0.1698
Pd,0,0.1818,0.0158,-0.0632
Pr,0.1071,0.3278,0.7096,-1.4191
Pt,0,0.2313,0.131,-0.0999
Rb,0.1248,-0.169,0.0053,-0.0214
Re,0.0597,-0.2388,0,0.4738
Rh,0,0.3065,0.0536,0.092
Ru,0,0.3641,0,0.3641
Sb,0.0336,0.0227,0.1245,-0.0388
Sc,0.0673,0.4892,0.9339,-1.8677
Se,0.0332,0.0768,0,0.2882
Si,0,2.2182,0,0.8166
Sm,0.1135,0.3111,0.7999,-1.5998
Sn,0,0.7731,0.0574,0.1225
Sr,0,0.588,0.181,-0.724
Ta,0.2831,-0.5662,0.0926,0.3555
Tb,0.1128,0.3455,0.7959,-1.5918
Tc,0.4424,-1.2991,0,0.4705
Te,0.0092,0.0582,0,0.3733
Ti,0,1.0262,0.2244,-0.1379
Tl,0,0.0552,0.8825,-1.765
Tm,0.1206,0.3242,0.8662,-1.7324
V,0.1209,0.0705,0.0459,-0.0918
W,0.0605,-0.2419,0.2059,0.5989
Y,0.1142,0.3245,0.8443,-1.6887
Yb,0,0.6469,0.2601,-1.0405
Zn,0,0.3013,0.1462,-0.5848
Zr,0,1.1808,0.0514,0.555
