M,oxidising a1,oxidising a2,reducing a1,reducing a2
Ag,0,0.074,0,0.2221
Al,1.8742,-3.7485,0,1.416
As,1.0854,-2.1708,0,0.2714
Au,0.3044,-0.6088,0,0.0761
Ba,0,0.2721,0,1.4113
Be,0,0.517,0,1.5509
Bi,0.7585,-1.5171,0,0.7
Br,0.0536,-0.4289,0.6429,-1.2858
Ca,0,0.9553,0,1.6539
Cd,0,0.2287,0,0.686
Ce,0.2767,-0.8854,0,1.6166
Co,0.0261,0.0512,0,0.6417
Cr,0.3993,-0.7986,0,0.983
Cs,0.0022,-0.0044,0.5058,-0.3531
Cu,0.0965,0.0138,0,0.4709
Dy,2.6723,-5.3446,0,0.6681
Er,0.9293,-1.8586,0,1.5633
Eu,0.2161,-0.2883,0,1.56
Fe,0.2253,-0.4506,0,0.7404
Ga,0.884,-1.768,0,0.6919
Gd,0.8601,-1.7202,0,1.517
Ge,0.2597,-1.0388,0,0.5194
Hf,0.5023,-2.0092,0,1.0046
Hg,0,0.1062,0,0.3185
Ho,0.909,-1.8181,0,1.5617
I,0.0336,-0.2013,0,0.2265
In,0.642,-1.284,0,0.6769
Ir,0.1574,-0.6298,0,0.3149
K,0.0117,0.0111,0.5445,-0.3862
La,0.6696,-1.3392,0,1.6017
Li,0,0.1935,0.3008,-0.6015
Lu,2.7486,-5.4971,0,0.6871
Mg,0,0.509,0,1.5269
Mn,0.1596,-0.213,0,0.9892
Mo,0.252,-1.0079,0,0.5039
Na,0,0.2371,0.0217,-0.0435
Nb,0.0938,-0.5314,0,1.1424
Nd,0.708,-1.416,0,1.5362
Ni,0,0.2655,0.2809,1.0692
Os,0.0106,-0.1272,0,0.5725
Pb,0.0947,-0.0298,0,0.734
Pd,0,0.1317,0,0.3952
Pr,0.6886,-1.3772,0,1.5226
Pt,0.0855,-0.3419,0,0.2917
Rb,0.0165,-0.021,0.4671,-0.2566
Re,0.0445,-0.3556,0,0.7113
Rh,0.1533,-0.6131,0,0.3065
Ru,0.182,-0.7282,0,0.3641
Sb,0.2295,-0.9181,0,0.459
Sc,0.728,-1.4561,0,1.6197
Se,0.1441,-0.5764,0,0.2882
Si,0.3048,-1.2194,0,1.0235
Sm,0.7545,-1.509,0,1.5533
Sn,0.1186,-0.4745,0,0.8187
Sr,0,1.1879,0,1.538
Ta,0.2344,-1.4067,60.2492,-10.9654
Tb,2.6549,-5.3098,0,0.6637
Tc,0.2353,-0.941,0,0.4705
Te,0.2992,-1.1966,0,0.1484
Ti,0.1483,-0.5933,0.4256,0.4244
Tl,0.6672,-1.3343,0,0.5
Tm,2.7279,-5.4558,0,0.682
V,0.4352,-0.8705,0,1.045
W,0.0455,-0.3639,0,0.7278
Y,0.8756,-1.7511,0,1.5471
Yb,0.0049,0.5105,0,1.8142
Zn,0,0.2983,0,0.895
Zr,0.3139,-1.2555,0,1.2784
